Case study,Summary,LLM,Role,Example,Insight,BLEU,METEOR,ROUGE-1,ROUGE-2,ROUGE-L,Flesch Reading Ease,Coverage (Claude),Faithfulness (GPT)
Milk,BART,Claude,Yes,Yes,Yes,0.106192817970265,0.331164230674886,0.567768037761295,0.214719783929777,0.24409979770735,54.52,4,2.0
Milk,BART,Claude,Yes,Yes,No,0.109434740975423,0.342250287105587,0.578599735799207,0.214285714285714,0.266842800528402,61.06,4,5.0
Milk,BART,Claude,Yes,No,Yes,0.0661007239385048,0.318916673976217,0.545938748335553,0.185333333333333,0.237017310252996,54.12,4,3.0
Milk,BART,Claude,Yes,No,No,0.107950125388742,0.30922203102262,0.564755838641189,0.194188518781006,0.24203821656051,63.7,4,3.0
Milk,BART,Claude,No,Yes,Yes,0.097807034885012,0.325783684723044,0.565916398713826,0.224082421120412,0.267524115755627,44.85,5,3.0
Milk,BART,Claude,No,Yes,No,0.0963506094777603,0.351507597340931,0.58160621761658,0.223086900129702,0.270725388601036,53.61,5,4.0
Milk,BART,Claude,No,No,Yes,0.103052582369205,0.315976088403007,0.559210526315789,0.212121212121212,0.253947368421053,52.49,4,2.0
Milk,BART,Claude,No,No,No,0.0979943804380731,0.33275869238762,0.551282051282051,0.214377406931964,0.247435897435897,63.09,4,3.0
Milk,BART,GPT,Yes,Yes,Yes,0.128355568012821,0.364191993299429,0.643051771117166,0.268758526603001,0.279291553133515,51.68,4,4.0
Milk,BART,GPT,Yes,Yes,No,0.0997482775392514,0.342084647377739,0.574481458202389,0.211453744493392,0.253928346951603,45.66,3,4.0
Milk,BART,GPT,Yes,No,Yes,0.110152473095293,0.349297372098488,0.564763658686311,0.21880762138906,0.245549416820135,45.56,3,3.0
Milk,BART,GPT,Yes,No,No,0.110195691003441,0.337544858047494,0.572958500669344,0.225201072386059,0.263721552878179,51.68,2,3.0
Milk,BART,GPT,No,Yes,Yes,0.0860771815110144,0.353261378831749,0.566105769230769,0.202166064981949,0.25,52.7,4,5.0
Milk,BART,GPT,No,Yes,No,0.117898209643164,0.349179757858631,0.616922051965356,0.240160106737825,0.262491672218521,53.21,5,3.0
Milk,BART,GPT,No,No,Yes,0.0861611011378805,0.337316722125536,0.592302674494455,0.21685173089484,0.264840182648402,54.83,5,3.0
Milk,BART,GPT,No,No,No,0.128478614729415,0.34313880234862,0.593288590604027,0.237903225806452,0.264429530201342,54.22,5,3.0
Milk,BART,DeepSeek,Yes,Yes,Yes,0.0664499947890836,0.327876756798045,0.543916720884841,0.186319218241042,0.232921275211451,54.73,2,2.0
Milk,BART,DeepSeek,Yes,Yes,No,0.0666279129420852,0.335743096618228,0.57371581054036,0.200400801603206,0.238825883922615,53.0,2,2.0
Milk,BART,DeepSeek,Yes,No,Yes,0.063065879603601,0.317848638149871,0.536015574302401,0.181936322287199,0.225827384815055,60.95,2,2.0
Milk,BART,DeepSeek,Yes,No,No,0.0663643113724764,0.314060167004438,0.530639730639731,0.18745785569791,0.234343434343434,52.8,3,3.0
Milk,BART,DeepSeek,No,Yes,Yes,0.0888043298208952,0.322249913816912,0.585128561501042,0.221294363256785,0.247394023627519,51.28,2,2.0
Milk,BART,DeepSeek,No,Yes,No,0.0769895508056586,0.331091116718048,0.587755102040816,0.216621253405995,0.250340136054422,54.73,3,3.0
Milk,BART,DeepSeek,No,No,Yes,0.0868897328450995,0.316229491587368,0.56188605108055,0.213770491803279,0.250163719711853,61.87,3,3.0
Milk,BART,DeepSeek,No,No,No,0.0792244579233298,0.302419640895908,0.554400554400554,0.205412907702984,0.227304227304227,61.77,4,3.0
Milk,BERT,Claude,Yes,Yes,Yes,0.0545318750410816,0.244559035891869,0.512261580381471,0.172884440400364,0.198001816530427,51.07,4,3.0
Milk,BERT,Claude,Yes,Yes,No,0.0660148263540764,0.275577361408303,0.569343065693431,0.19821283509342,0.235198702351987,50.77,3,4.0
Milk,BERT,Claude,Yes,No,Yes,0.0667650675741688,0.242305909664147,0.524255319148936,0.18073316283035,0.207659574468085,59.74,3,3.0
Milk,BERT,Claude,Yes,No,No,0.0518039634184788,0.220283667380884,0.480417754569191,0.13077593722755,0.200174064403829,59.13,2,2.0
Milk,BERT,Claude,No,Yes,Yes,0.0881362530959418,0.275713768825993,0.569974554707379,0.212404418011895,0.242578456318914,51.28,4,3.0
Milk,BERT,Claude,No,Yes,No,0.0655657698841604,0.253537398762862,0.53405017921147,0.197486535008977,0.224014336917563,59.84,4,3.0
Milk,BERT,Claude,No,No,Yes,0.0731480861771371,0.243099393267575,0.500425531914894,0.187553282182438,0.214468085106383,51.28,3,3.0
Milk,BERT,Claude,No,No,No,0.0566237724763935,0.224940006157114,0.495495495495496,0.160649819494585,0.209009009009009,59.13,3,2.0
Milk,BERT,GPT,Yes,Yes,Yes,0.0955652871392202,0.274092943741249,0.566473988439306,0.19520264681555,0.218001651527663,50.67,4,3.0
Milk,BERT,GPT,Yes,Yes,No,0.073872504403138,0.290623088734877,0.577487765089723,0.199346405228758,0.234910277324633,50.87,3,3.0
Milk,BERT,GPT,Yes,No,Yes,0.0699155808289444,0.260448058017864,0.533109807208718,0.16624685138539,0.221290863369656,52.09,3,2.0
Milk,BERT,GPT,Yes,No,No,0.0852237810110139,0.260096487443169,0.565481352992194,0.203301476976542,0.237640936686904,59.03,5,4.0
Milk,BERT,GPT,No,Yes,Yes,0.093500814325623,0.281290922964265,0.591304347826087,0.20383275261324,0.227826086956522,43.22,2,3.0
Milk,BERT,GPT,No,Yes,No,0.0666094557155853,0.267981992492641,0.548494983277592,0.21608040201005,0.22742474916388,51.28,4,2.0
Milk,BERT,GPT,No,No,Yes,0.0754947067810017,0.290964413872086,0.574712643678161,0.174342105263158,0.221674876847291,51.18,4,3.0
Milk,BERT,GPT,No,No,No,0.089876468086338,0.27106935112304,0.532062391681109,0.206597222222222,0.237435008665511,51.38,3,3.0
Milk,BERT,DeepSeek,Yes,Yes,Yes,0.0510410080433415,0.233703890192579,0.506896551724138,0.132987910189983,0.196551724137931,42.82,3,2.0
Milk,BERT,DeepSeek,Yes,Yes,No,0.041722606023547,0.237561340951114,0.496803652968037,0.159194876486734,0.210045662100457,51.48,2,2.0
Milk,BERT,DeepSeek,Yes,No,Yes,0.0600454934455864,0.263853681268098,0.555369127516779,0.203361344537815,0.226510067114094,59.33,3,2.0
Milk,BERT,DeepSeek,Yes,No,No,0.0527135086319793,0.257007238880469,0.547153780798641,0.204255319148936,0.234494477485132,59.03,4,2.0
Milk,BERT,DeepSeek,No,Yes,Yes,0.0559230559656921,0.223992164605149,0.512867647058824,0.173112338858195,0.226102941176471,50.97,2,2.0
Milk,BERT,DeepSeek,No,Yes,No,0.057661252612797,0.240322133347836,0.543617998163453,0.185832566697332,0.24058769513315,50.87,3,2.0
Milk,BERT,DeepSeek,No,No,Yes,0.0554308956241261,0.221330837366023,0.513259195893926,0.179948586118252,0.220701454234388,58.72,4,2.0
Milk,BERT,DeepSeek,No,No,No,0.0534114533646802,0.248747376069022,0.531328320802005,0.189121338912134,0.230576441102757,51.38,3,2.0
Grazing,BART,Claude,Yes,Yes,Yes,0.0212683420878521,0.232576042237845,0.418300653594771,0.0814545454545454,0.171387073347858,45.35,4,3.0
Grazing,BART,Claude,Yes,Yes,No,0.0235481167483068,0.221778447076323,0.415204678362573,0.0732064421669106,0.160818713450292,52.49,4,3.0
Grazing,BART,Claude,Yes,No,Yes,0.0297942405487363,0.20682272048487,0.388081395348837,0.0858806404657933,0.161337209302326,45.35,3,5.0
Grazing,BART,Claude,Yes,No,No,0.0142711172234407,0.204044646707818,0.396462785556374,0.0752767527675276,0.157700810611643,46.17,2,3.0
Grazing,BART,Claude,No,Yes,Yes,0.0158068617656369,0.226990641667091,0.423802612481858,0.0813953488372093,0.16255442670537,52.29,4,3.0
Grazing,BART,Claude,No,Yes,No,0.0256696721375986,0.227335999618508,0.414096916299559,0.0985294117647058,0.167400881057269,56.45,3,2.0
Grazing,BART,Claude,No,No,Yes,0.0190743317442819,0.212288707400813,0.418502202643172,0.0735294117647058,0.167400881057269,43.53,4,3.0
Grazing,BART,Claude,No,No,No,0.0207638950203586,0.214101973724961,0.414950419527079,0.102368220015279,0.172387490465294,57.27,3.0,2.0
Grazing,BART,GPT,Yes,Yes,Yes,0.026627130849387,0.227130814861068,0.429085673146148,0.099495313626532,0.175665946724262,42.21,3,2.0
Grazing,BART,GPT,Yes,Yes,No,0.0344215722292817,0.23471059503973,0.423929098966027,0.105029585798817,0.165435745937962,41.5,4,4.0
Grazing,BART,GPT,Yes,No,Yes,0.0308760890485454,0.250038894231793,0.417391304347826,0.103148024112525,0.168561872909699,37.2,2,3.0
Grazing,BART,GPT,Yes,No,No,0.0182594673063745,0.252661709803606,0.406015037593985,0.0903387703889586,0.172932330827068,55.44,2,3.0
Grazing,BART,GPT,No,Yes,Yes,0.0219086518733554,0.255016612749265,0.431259044862518,0.0913043478260869,0.164978292329957,44.85,4,5.0
Grazing,BART,GPT,No,Yes,No,0.0326431974788546,0.241763505815562,0.441808747220163,0.0965107646622123,0.174944403261675,54.22,4,3.0
