Year,Liquid_wholemilk_ml_pppw,Skimmed_milks_ml_pppw
01/01/1974,2654.81,5.29
07/01/1975,2685.73,5.57
06/01/1976,2655.13,4.72
04/01/1977,2552.74,5.9
03/01/1978,2498.65,9.41
02/01/1979,2423.87,10.9
01/01/1980,2349.16,15.79
06/01/1981,2257.83,28.67
05/01/1982,2232.46,37.61
04/01/1983,2126.51,71.54
03/01/1984,2027.99,189.88
01/01/1985,1859.97,248.93
07/01/1986,1690.81,407.28
06/01/1987,1602.2,456.72
05/01/1988,1491.51,538.84
03/01/1989,1360.19,635.95
02/01/1990,1216.64,724.69
01/01/1991,1090.72,794.6
07/01/1992,967.73,984.99
05/01/1993,867.52,1053.14
04/01/1994,841.54,1092.48
03/01/1995,784.57,1126.54
02/01/1996,761.94,1090.38
07/01/1997,696.71,1159.44
06/01/1998,678.39,1134.47
05/01/1999,616.45,1150.16
04/01/2000,653.25,1158.98
02/01/2001,598.62,1090.76
01/01/2002,555.44,1084.61
07/01/2003,584.66,1080.58
06/01/2004,484.37,1133.2
04/01/2005,460.38,1166.87
03/01/2006,477.32,1136.55
02/01/2007,420.49,1154.36
01/01/2008,410.42,1145.22
06/01/2009,411.75,1156.21
05/01/2010,352.33,1156.17
04/01/2011,355.16,1151.06
03/01/2012,296.97,1209.47
01/01/2013,285.47,1151.55
07/01/2014,263.23,1198.27
06/01/2015,312.15,1108.17
05/01/2016,316.59,1085.27
03/01/2017,299.53,1095.15
26/12/2017,297.14,1057.62
