"count households with [household-behavioral-type = ""E-RO""]","count households with [household-behavioral-type = ""E-RO""].1","count households with [household-behavioral-type = ""E-RO""].2","count households with [household-behavioral-type = ""E-RO""].3","count households with [household-behavioral-type = ""E-RO""].4","count households with [household-behavioral-type = ""E-RO""].5","count households with [household-behavioral-type = ""E-RO""].6","count households with [household-behavioral-type = ""E-RO""].7","count households with [household-behavioral-type = ""E-RO""].8","count households with [household-behavioral-type = ""E-RO""].9","count households with [household-behavioral-type = ""E-RO""].10","count households with [household-behavioral-type = ""E-RO""].11","count households with [household-behavioral-type = ""E-RO""].12","count households with [household-behavioral-type = ""E-RO""].13","count households with [household-behavioral-type = ""E-RO""].14","count households with [household-behavioral-type = ""E-RO""].15","count households with [household-behavioral-type = ""E-RO""].16","count households with [household-behavioral-type = ""E-RO""].17","count households with [household-behavioral-type = ""E-RO""].18","count households with [household-behavioral-type = ""E-RO""].19","count households with [household-behavioral-type = ""E-RO""].20","count households with [household-behavioral-type = ""E-RO""].21","count households with [household-behavioral-type = ""E-RO""].22","count households with [household-behavioral-type = ""E-RO""].23","count households with [household-behavioral-type = ""E-RO""].24","count households with [household-behavioral-type = ""E-RO""].25","count households with [household-behavioral-type = ""E-RO""].26","count households with [household-behavioral-type = ""E-RO""].27","count households with [household-behavioral-type = ""E-RO""].28","count households with [household-behavioral-type = ""E-RO""].29"
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
23,21,20,20,20,20,20,20,21,21,20,20,20,20,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
27,22,16,20,20,20,19,22,22,18,21,14,20,20,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
32,23,16,18,19,22,21,20,22,18,25,14,22,20,23,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
32,21,13,17,15,24,21,21,18,15,29,14,24,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
28,20,18,20,13,30,24,20,20,22,39,13,28,20,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
28,20,15,20,11,27,24,21,19,27,39,11,27,19,17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
26,20,10,19,9,28,22,21,19,25,39,11,28,20,14,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
