Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
none,plot,off,off,off,0.011436,0.232369,0.190773,0.05623,0.097815,45.5532
bart,plot,off,off,off,0.013665,0.185027,0.377698,0.083032,0.18705,38.987576
bert,plot,off,off,off,0.037764,0.2612,0.464832,0.104294,0.214067,42.077994
t5,plot,off,off,off,0.019448,0.216353,0.416206,0.125693,0.206262,32.081952
longformer_ext,plot,off,off,off,0.035645,0.209035,0.392749,0.081818,0.181269,30.240663
none,table,off,off,off,0.006342,0.208715,0.150566,0.046352,0.078442,42.24138
bart,table,off,off,off,0.017879,0.210824,0.427907,0.115086,0.204651,28.553382
bert,table,off,off,off,0.027192,0.22817,0.4,0.079646,0.170588,32.202632
t5,table,off,off,off,0.01116,0.204794,0.431438,0.09396,0.187291,24.272536
longformer_ext,table,off,off,off,0.012106,0.25986,0.35654,0.07611,0.14346,30.156065
none,plot+table,off,off,off,0.010266,0.225453,0.168804,0.053118,0.084104,41.210589
bart,plot+table,off,off,off,0.047216,0.214807,0.3879,0.103571,0.185053,26.739733
bert,plot+table,off,off,off,0.034253,0.238611,0.431373,0.102874,0.177979,32.443888
t5,plot+table,off,off,off,0.015628,0.208372,0.415094,0.089501,0.154374,28.665235
longformer_ext,plot+table,off,off,off,0.009288,0.151331,0.247765,0.033291,0.094508,17.524369
none,plot,on,off,off,0.009127,0.245111,0.186735,0.053479,0.094656,40.106164
bart,plot,on,off,off,0.042106,0.196653,0.358423,0.093525,0.193548,19.950989
bert,plot,on,off,off,0.022245,0.220806,0.445161,0.087379,0.196774,37.735098
t5,plot,on,off,off,0.017784,0.213766,0.41637,0.096429,0.213523,27.241284
longformer_ext,plot,on,off,off,0.029513,0.233559,0.440341,0.074074,0.167614,38.42507
none,table,on,off,off,0.003779,0.188176,0.125027,0.038685,0.067454,38.780834
bart,table,on,off,off,0.022081,0.269279,0.451613,0.088949,0.188172,29.192273
bert,table,on,off,off,0.014875,0.238896,0.412579,0.075662,0.163522,37.460389
t5,table,on,off,off,0.016355,0.26071,0.456456,0.096386,0.207207,36.394571
longformer_ext,table,on,off,off,0.014545,0.25812,0.382932,0.059211,0.157549,47.507349
none,plot+table,on,off,off,0.008567,0.221566,0.160773,0.048093,0.082873,38.536191
bart,plot+table,on,off,off,0.030147,0.243735,0.426929,0.095552,0.200328,22.895786
bert,plot+table,on,off,off,0.022306,0.232482,0.430534,0.079632,0.170992,32.7373
t5,plot+table,on,off,off,0.022018,0.214474,0.427119,0.108844,0.19661,24.771927
longformer_ext,plot+table,on,off,off,0.017876,0.260476,0.389011,0.070485,0.169231,27.178781
none,plot,off,on,off,0.010125,0.2293,0.171152,0.051437,0.087088,39.674996
bart,plot,off,on,off,0.016269,0.225874,0.418367,0.105802,0.190476,31.470852
bert,plot,off,on,off,0.04416,0.235502,0.445183,0.103333,0.215947,40.450425
t5,plot,off,on,off,0.014691,0.212408,0.418367,0.088737,0.176871,31.539147
longformer_ext,plot,off,on,off,0.026361,0.201061,0.332886,0.064603,0.161074,9.485229
none,table,off,on,off,0.006793,0.197309,0.139678,0.042634,0.071496,34.938903
bart,table,off,on,off,0.011866,0.222542,0.392465,0.085039,0.172684,26.395726
bert,table,off,on,off,0.026971,0.261897,0.451253,0.083799,0.183844,29.401612
t5,table,off,on,off,0.014944,0.235437,0.40747,0.091993,0.166384,24.678886
longformer_ext,table,off,on,off,0.006784,0.231163,0.338983,0.050955,0.137712,26.231434
none,plot+table,off,on,off,0.008864,0.196554,0.144906,0.042553,0.070227,35.717378
bart,plot+table,off,on,off,0.02206,0.192185,0.347267,0.070968,0.173633,16.660365
bert,plot+table,off,on,off,0.032479,0.26618,0.432665,0.109195,0.194842,33.423005
t5,plot+table,off,on,off,0.017411,0.1949,0.365159,0.077311,0.167504,21.635963
longformer_ext,plot+table,off,on,off,0.023277,0.256735,0.374207,0.07839,0.167019,24.77968
none,plot,off,off,on,0.012115,0.216535,0.173516,0.054828,0.087671,37.150263
bart,plot,off,off,on,0.028321,0.250747,0.470187,0.147009,0.214651,25.06697
bert,plot,off,off,on,0.033903,0.241968,0.434084,0.112903,0.186495,32.004737
t5,plot,off,off,on,0.014214,0.174542,0.35503,0.09901,0.17357,32.664545
longformer_ext,plot,off,off,on,0.045308,0.25749,0.412533,0.128272,0.18799,20.97229
none,table,off,off,on,0.007253,0.195975,0.151163,0.047594,0.076638,37.639168
bart,table,off,off,on,0.017142,0.287277,0.461538,0.1,0.202279,18.762722
bert,table,off,off,on,0.02886,0.254194,0.431594,0.104668,0.180536,27.313981
t5,table,off,off,on,0.021293,0.204013,0.409165,0.065681,0.186579,25.068676
longformer_ext,table,off,off,on,0.007813,0.238273,0.364425,0.063043,0.140998,29.205595
none,plot+table,off,off,on,0.01044,0.226268,0.16148,0.054979,0.081301,37.078526
bart,plot+table,off,off,on,0.058742,0.256345,0.464899,0.134585,0.199688,24.927923
bert,plot+table,off,off,on,0.040262,0.262252,0.452599,0.122699,0.186544,28.565332
t5,plot+table,off,off,on,0.017331,0.223249,0.412926,0.097297,0.183124,39.182749
longformer_ext,plot+table,off,off,on,0.024702,0.210522,0.350461,0.060766,0.176548,29.473597
none,plot,on,off,on,0.008336,0.218907,0.17133,0.050216,0.088261,37.345998
bart,plot,on,off,on,0.034531,0.240242,0.441379,0.096886,0.203448,33.766212
bert,plot,on,off,on,0.025927,0.251759,0.483721,0.118196,0.189147,43.316056
t5,plot,on,off,on,0.017922,0.234051,0.39726,0.089347,0.184932,33.813852
longformer_ext,plot,on,off,on,0.020405,0.221573,0.422497,0.068776,0.159122,38.059844
none,table,on,off,on,0.004701,0.196252,0.144584,0.042952,0.074513,38.896049
bart,table,on,off,on,0.025926,0.232318,0.4032,0.096308,0.1792,25.426968
bert,table,on,off,on,0.023793,0.23811,0.425876,0.083784,0.177898,37.653782
t5,table,on,off,on,0.015126,0.208728,0.414966,0.081911,0.173469,25.124497
longformer_ext,table,on,off,on,0.015257,0.277348,0.404588,0.081505,0.158498,25.468716
none,plot+table,on,off,on,0.00859,0.208779,0.15079,0.050459,0.077942,35.381936
bart,plot+table,on,off,on,0.029064,0.268908,0.440367,0.092025,0.198777,29.671714
bert,plot+table,on,off,on,0.024706,0.257131,0.487879,0.115502,0.187879,36.650361
t5,plot+table,on,off,on,0.032413,0.244421,0.438127,0.107383,0.214047,25.024706
longformer_ext,plot+table,on,off,on,0.033382,0.264375,0.394904,0.085106,0.152866,30.547989
none,plot,on,on,off,0.007784,0.204675,0.145221,0.043489,0.076562,34.074689
bart,plot,on,on,off,0.028951,0.234386,0.4032,0.096308,0.1728,24.86844
bert,plot,on,on,off,0.020823,0.254482,0.430769,0.098177,0.19021,39.711178
t5,plot,on,on,off,0.014503,0.206636,0.395462,0.071545,0.171799,16.119373
longformer_ext,plot,on,on,off,0.018776,0.259848,0.4,0.092166,0.165517,33.654776
none,table,on,on,off,0.00431,0.179369,0.125948,0.038348,0.066976,35.781352
bart,table,on,on,off,0.022546,0.250339,0.417344,0.07337,0.173442,28.826533
bert,table,on,on,off,0.017861,0.239321,0.419817,0.075817,0.164276,27.308234
t5,table,on,on,off,0.015141,0.23985,0.429429,0.075301,0.192192,35.241753
longformer_ext,table,on,on,off,0.016398,0.258161,0.403952,0.066007,0.155873,36.715762
none,plot+table,on,on,off,0.008439,0.200056,0.143063,0.043708,0.073932,34.33467
bart,plot+table,on,on,off,0.046205,0.20649,0.36748,0.078303,0.172358,15.694203
bert,plot+table,on,on,off,0.027914,0.255099,0.456982,0.09901,0.186178,27.015156
t5,plot+table,on,on,off,0.019273,0.233589,0.417957,0.080745,0.182663,44.271247
longformer_ext,plot+table,on,on,off,0.027237,0.251711,0.443069,0.084367,0.178218,29.564437
none,plot,off,on,on,0.010837,0.203807,0.148997,0.047433,0.076061,32.32333
bart,plot,off,on,on,0.030317,0.261901,0.480118,0.121123,0.20324,27.30226
bert,plot,off,on,on,0.036381,0.258898,0.455331,0.127168,0.204611,30.063831
t5,plot,off,on,on,0.01883,0.219551,0.392491,0.10274,0.167235,34.323548
longformer_ext,plot,off,on,on,0.028324,0.255689,0.392019,0.096471,0.169014,23.179594
none,table,off,on,on,0.007075,0.201167,0.144801,0.043753,0.068999,33.880628
bart,table,off,on,on,0.016062,0.221053,0.407351,0.095238,0.183767,22.491055
bert,table,off,on,on,0.029923,0.22709,0.424153,0.088626,0.17673,26.265789
t5,table,off,on,on,0.009031,0.179038,0.376344,0.068345,0.164875,22.30042
longformer_ext,table,off,on,on,0.016401,0.214876,0.30495,0.049603,0.128713,8.476264
none,plot+table,off,on,on,0.009247,0.207281,0.151468,0.046146,0.075996,33.215289
bart,plot+table,off,on,on,0.025097,0.242503,0.445131,0.111628,0.179289,27.623125
bert,plot+table,off,on,on,0.035452,0.250516,0.470418,0.130246,0.196248,30.155499
t5,plot+table,off,on,on,0.018555,0.207135,0.396694,0.089552,0.14876,28.749545
longformer_ext,plot+table,off,on,on,0.030916,0.241794,0.373702,0.073988,0.145329,24.24837
none,plot,on,on,on,0.010944,0.205591,0.15654,0.048314,0.084373,31.412015
bart,plot,on,on,on,0.030227,0.227178,0.400641,0.093248,0.189103,24.763072
bert,plot,on,on,on,0.023648,0.243604,0.463415,0.11315,0.182927,34.754328
t5,plot,on,on,on,0.018552,0.209301,0.438687,0.097054,0.2038,23.152066
longformer_ext,plot,on,on,on,0.013036,0.189597,0.335221,0.045403,0.124575,21.143244
none,table,on,on,on,0.004626,0.191182,0.133155,0.042771,0.070808,31.925181
bart,table,on,on,on,0.022122,0.256033,0.421941,0.076164,0.177215,22.576543
bert,table,on,on,on,0.017693,0.25592,0.482094,0.099448,0.187328,32.552763
t5,table,on,on,on,0.015367,0.272172,0.451237,0.10219,0.195051,34.89865
longformer_ext,table,on,on,on,0.016026,0.236676,0.376874,0.060086,0.147752,24.55709
none,plot+table,on,on,on,0.009134,0.203828,0.136859,0.041309,0.072373,29.124989
bart,plot+table,on,on,on,0.038574,0.266237,0.467375,0.094368,0.188164,32.036063
bert,plot+table,on,on,on,0.020921,0.244936,0.468208,0.095652,0.187861,33.446215
t5,plot+table,on,on,on,0.024146,0.269136,0.446203,0.098413,0.199367,22.945811
longformer_ext,plot+table,on,on,on,0.019917,0.207692,0.389987,0.060766,0.147563,20.177016
none,plot,off,off,off,0.011436,0.242995,0.194666,0.056846,0.095601,47.041062
bart,plot,off,off,off,0.021771,0.215353,0.418848,0.105079,0.202443,30.717917
bert,plot,off,off,off,0.037475,0.265364,0.461774,0.119632,0.192661,37.526473
t5,plot,off,off,off,0.023795,0.180911,0.419048,0.095602,0.167619,28.029301
longformer_ext,plot,off,off,off,0.022995,0.234203,0.405028,0.084034,0.167598,38.474133
none,table,off,off,off,0.006065,0.209732,0.144928,0.046299,0.076278,40.138774
bart,table,off,off,off,0.016321,0.223162,0.423197,0.103774,0.194357,34.995275
bert,table,off,off,off,0.030148,0.229406,0.41847,0.078148,0.178932,39.661117
t5,table,off,off,off,0.011591,0.201348,0.400668,0.097152,0.183639,23.863655
longformer_ext,table,off,off,off,0.007057,0.234175,0.347003,0.061117,0.136698,30.04962
none,plot+table,off,off,off,0.010373,0.22097,0.165427,0.054183,0.083904,41.432915
bart,plot+table,off,off,off,0.028578,0.215778,0.425676,0.105085,0.192568,32.0308
bert,plot+table,off,off,off,0.02873,0.25111,0.430518,0.095628,0.185286,35.387502
t5,plot+table,off,off,off,0.016966,0.184559,0.373665,0.092857,0.174377,37.720221
longformer_ext,plot+table,off,off,off,0.031565,0.257657,0.42246,0.096515,0.187166,31.737981
none,plot,on,off,off,0.008812,0.238777,0.191129,0.054178,0.097195,41.997044
bart,plot,on,off,off,0.041402,0.236581,0.438221,0.115702,0.207578,32.961703
bert,plot,on,off,off,0.02602,0.249573,0.479365,0.105096,0.190476,36.998251
t5,plot,on,off,off,0.019772,0.205037,0.395869,0.08981,0.196213,28.094948
longformer_ext,plot,on,off,off,0.038448,0.23221,0.45098,0.081461,0.184874,35.226357
none,table,on,off,off,0.003842,0.184626,0.13095,0.039794,0.069274,39.646485
bart,table,on,off,off,0.027642,0.253329,0.425036,0.093431,0.195051,27.098235
bert,table,on,off,off,0.018776,0.232055,0.42953,0.067295,0.166443,37.350266
t5,table,on,off,off,0.015316,0.235228,0.429238,0.074883,0.177294,26.208205
longformer_ext,table,on,off,off,0.016585,0.219966,0.350398,0.059293,0.152446,43.081615
none,plot+table,on,off,off,0.007202,0.205545,0.149414,0.047959,0.080571,39.536759
bart,plot+table,on,off,off,0.048467,0.239782,0.407407,0.089783,0.182099,27.8447
bert,plot+table,on,off,off,0.019208,0.227675,0.425714,0.097421,0.171429,35.824203
t5,plot+table,on,off,off,0.017805,0.231466,0.439739,0.078431,0.188925,34.892032
longformer_ext,plot+table,on,off,off,0.022816,0.232532,0.359029,0.063492,0.133052,19.696799
none,plot,off,on,off,0.010639,0.207661,0.16241,0.052254,0.08264,38.110825
bart,plot,off,on,off,0.04317,0.203068,0.389262,0.104377,0.184564,22.228574
bert,plot,off,on,off,0.037254,0.239403,0.442771,0.102719,0.189759,27.756993
t5,plot,off,on,off,0.017985,0.194199,0.387755,0.085324,0.163265,29.855133
longformer_ext,plot,off,on,off,0.029509,0.148938,0.346225,0.081331,0.162063,37.818812
