Case study,Summary,LLM,Role,Example,Insight,Evidence,Repetition,Output,BLEU,METEOR,ROUGE-1,ROUGE-2,ROUGE-L,Flesch Reading Ease
milk_consumption,none,mistral-medium-latest,No,No,No,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/01_milk_consumption_none_plot_rep1/02_summaries/none.txt,0.051705,0.329172,0.414674,0.197195,0.221764,52.805135
milk_consumption,bart,mistral-medium-latest,No,No,No,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/01_milk_consumption_none_plot_rep1/02_summaries/bart.txt,0.023278,0.158896,0.359338,0.113744,0.174941,36.100455
milk_consumption,bert,mistral-medium-latest,No,No,No,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/01_milk_consumption_none_plot_rep1/02_summaries/bert.txt,0.010703,0.122445,0.313589,0.093132,0.167247,41.968169
milk_consumption,t5,mistral-medium-latest,No,No,No,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/01_milk_consumption_none_plot_rep1/02_summaries/t5.txt,0.003199,0.107221,0.291092,0.072956,0.135508,59.634000
milk_consumption,longformer_ext,mistral-medium-latest,No,No,No,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/01_milk_consumption_none_plot_rep1/02_summaries/longformer_ext.txt,0.040802,0.156780,0.407882,0.102665,0.206897,48.734646
milk_consumption,none,mistral-medium-latest,No,No,No,table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/02_milk_consumption_none_table_rep1/02_summaries/none.txt,0.023394,0.265423,0.293197,0.121333,0.153715,43.441724
milk_consumption,bart,mistral-medium-latest,No,No,No,table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/02_milk_consumption_none_table_rep1/02_summaries/bart.txt,0.030492,0.142036,0.348917,0.112000,0.193843,42.102353
milk_consumption,bert,mistral-medium-latest,No,No,No,table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/02_milk_consumption_none_table_rep1/02_summaries/bert.txt,0.015532,0.154512,0.351832,0.102833,0.173822,36.720570
milk_consumption,t5,mistral-medium-latest,No,No,No,table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/02_milk_consumption_none_table_rep1/02_summaries/t5.txt,0.010272,0.117987,0.313450,0.072685,0.133333,39.318371
milk_consumption,longformer_ext,mistral-medium-latest,No,No,No,table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/02_milk_consumption_none_table_rep1/02_summaries/longformer_ext.txt,0.007584,0.115370,0.336364,0.104784,0.134091,33.515606
milk_consumption,none,mistral-medium-latest,No,No,No,plot+table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/03_milk_consumption_none_plot_plus_table_rep1/02_summaries/none.txt,0.038582,0.302094,0.339809,0.160132,0.177149,45.755436
milk_consumption,bart,mistral-medium-latest,No,No,No,plot+table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/03_milk_consumption_none_plot_plus_table_rep1/02_summaries/bart.txt,0.012206,0.105652,0.281588,0.086852,0.154031,50.847449
milk_consumption,bert,mistral-medium-latest,No,No,No,plot+table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/03_milk_consumption_none_plot_plus_table_rep1/02_summaries/bert.txt,0.010951,0.117548,0.279270,0.073197,0.143931,32.540750
milk_consumption,t5,mistral-medium-latest,No,No,No,plot+table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/03_milk_consumption_none_plot_plus_table_rep1/02_summaries/t5.txt,0.012071,0.114897,0.301435,0.095923,0.155502,52.989705
milk_consumption,longformer_ext,mistral-medium-latest,No,No,No,plot+table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/03_milk_consumption_none_plot_plus_table_rep1/02_summaries/longformer_ext.txt,0.034566,0.155656,0.341418,0.097196,0.154851,39.335279
milk_consumption,none,mistral-medium-latest,Yes,No,No,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/04_milk_consumption_role_plot_rep1/02_summaries/none.txt,0.033044,0.277353,0.306212,0.140064,0.163313,49.749678
milk_consumption,bart,mistral-medium-latest,Yes,No,No,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/04_milk_consumption_role_plot_rep1/02_summaries/bart.txt,0.007245,0.127991,0.331415,0.071511,0.165708,40.605355
milk_consumption,bert,mistral-medium-latest,Yes,No,No,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/04_milk_consumption_role_plot_rep1/02_summaries/bert.txt,0.027485,0.167316,0.408602,0.137931,0.200000,46.359868
milk_consumption,t5,mistral-medium-latest,Yes,No,No,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/04_milk_consumption_role_plot_rep1/02_summaries/t5.txt,0.006183,0.127009,0.306433,0.075029,0.163743,46.494328
milk_consumption,longformer_ext,mistral-medium-latest,Yes,No,No,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/04_milk_consumption_role_plot_rep1/02_summaries/longformer_ext.txt,0.028998,0.118823,0.314451,0.090382,0.152601,43.081451
milk_consumption,none,mistral-medium-latest,Yes,No,No,table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/05_milk_consumption_role_table_rep1/02_summaries/none.txt,0.017947,0.233552,0.234179,0.090007,0.120838,45.728812
milk_consumption,bart,mistral-medium-latest,Yes,No,No,table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/05_milk_consumption_role_table_rep1/02_summaries/bart.txt,0.013016,0.141856,0.327273,0.081458,0.154011,47.341932
milk_consumption,bert,mistral-medium-latest,Yes,No,No,table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/05_milk_consumption_role_table_rep1/02_summaries/bert.txt,0.015510,0.152221,0.344562,0.077146,0.161694,33.223687
milk_consumption,t5,mistral-medium-latest,Yes,No,No,table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/05_milk_consumption_role_table_rep1/02_summaries/t5.txt,0.011268,0.129884,0.293987,0.080357,0.151448,49.290273
milk_consumption,longformer_ext,mistral-medium-latest,Yes,No,No,table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/05_milk_consumption_role_table_rep1/02_summaries/longformer_ext.txt,0.012385,0.108888,0.260447,0.044791,0.118562,54.529448
milk_consumption,none,mistral-medium-latest,Yes,No,No,plot+table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/06_milk_consumption_role_plot_plus_table_rep1/02_summaries/none.txt,0.027958,0.266768,0.269250,0.119335,0.140413,46.246662
milk_consumption,bart,mistral-medium-latest,Yes,No,No,plot+table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/06_milk_consumption_role_plot_plus_table_rep1/02_summaries/bart.txt,0.046162,0.151402,0.353814,0.110403,0.169492,45.630358
milk_consumption,bert,mistral-medium-latest,Yes,No,No,plot+table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/06_milk_consumption_role_plot_plus_table_rep1/02_summaries/bert.txt,0.029975,0.165409,0.399209,0.114851,0.183794,36.068061
milk_consumption,t5,mistral-medium-latest,Yes,No,No,plot+table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/06_milk_consumption_role_plot_plus_table_rep1/02_summaries/t5.txt,0.005746,0.129931,0.310615,0.071669,0.163128,48.841077
milk_consumption,longformer_ext,mistral-medium-latest,Yes,No,No,plot+table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/06_milk_consumption_role_plot_plus_table_rep1/02_summaries/longformer_ext.txt,0.050763,0.175376,0.390152,0.108159,0.170455,40.072968
milk_consumption,none,mistral-medium-latest,No,No,Yes,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/07_milk_consumption_insights_plot_rep1/02_summaries/none.txt,0.037922,0.302530,0.329122,0.159924,0.178143,42.146967
milk_consumption,bart,mistral-medium-latest,No,No,Yes,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/07_milk_consumption_insights_plot_rep1/02_summaries/bart.txt,0.025102,0.132141,0.313023,0.124551,0.181601,49.786417
milk_consumption,bert,mistral-medium-latest,No,No,Yes,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/07_milk_consumption_insights_plot_rep1/02_summaries/bert.txt,0.016215,0.151256,0.363021,0.101695,0.178129,43.694208
milk_consumption,t5,mistral-medium-latest,No,No,Yes,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/07_milk_consumption_insights_plot_rep1/02_summaries/t5.txt,0.007839,0.128489,0.292624,0.077576,0.135429,32.750000
milk_consumption,longformer_ext,mistral-medium-latest,No,No,Yes,plot,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/07_milk_consumption_insights_plot_rep1/02_summaries/longformer_ext.txt,0.016502,0.116253,0.336095,0.128114,0.146746,41.838726
milk_consumption,none,mistral-medium-latest,No,No,Yes,table,1,results/mistral_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260310_060012_222836/bundles/08_milk_consumption_insights_table_rep1/02_summaries/none.txt,0.020932,0.264326,0.280556,0.111729,0.146667,39.461714
