Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
none,plot,off,off,off,0.078981,0.078981,0.078981,0.03949,0.078981,0.0
bart,plot,off,off,off,0.157738,0.157738,0.157738,0.078869,0.157738,0.0
bert,plot,off,off,off,0.128686,0.128686,0.128686,0.064343,0.128686,0.0
t5,plot,off,off,off,0.152381,0.152381,0.152381,0.07619,0.152381,0.0
longformer_ext,plot,off,off,off,0.094176,0.094176,0.094176,0.047088,0.094176,0.0
none,table,off,off,off,0.085714,0.085714,0.085714,0.042857,0.085714,0.0
bart,table,off,off,off,0.144928,0.144928,0.144928,0.072464,0.144928,0.0
bert,table,off,off,off,0.136054,0.136054,0.136054,0.068027,0.136054,0.0
t5,table,off,off,off,0.144366,0.144366,0.144366,0.072183,0.144366,0.0
longformer_ext,table,off,off,off,0.026667,0.026667,0.026667,0.013333,0.026667,43.2
none,plot+table,off,off,off,0.074377,0.074377,0.074377,0.037189,0.074377,0.0
bart,plot+table,off,off,off,0.159754,0.159754,0.159754,0.079877,0.159754,0.0
bert,plot+table,off,off,off,0.128788,0.128788,0.128788,0.064394,0.128788,0.0
t5,plot+table,off,off,off,0.149406,0.149406,0.149406,0.074703,0.149406,0.0
longformer_ext,plot+table,off,off,off,0.120755,0.120755,0.120755,0.060377,0.120755,0.0
none,plot,on,off,off,0.065817,0.065817,0.065817,0.032908,0.065817,0.0
bart,plot,on,off,off,0.134328,0.134328,0.134328,0.067164,0.134328,0.0
bert,plot,on,off,off,0.106095,0.106095,0.106095,0.053047,0.106095,0.0
t5,plot,on,off,off,0.130031,0.130031,0.130031,0.065015,0.130031,0.0
longformer_ext,plot,on,off,off,0.107143,0.107143,0.107143,0.053571,0.107143,0.0
none,table,on,off,off,0.069847,0.069847,0.069847,0.034924,0.069847,0.0
bart,table,on,off,off,0.135252,0.135252,0.135252,0.067626,0.135252,0.0
bert,table,on,off,off,0.125156,0.125156,0.125156,0.062578,0.125156,0.0
t5,table,on,off,off,0.125196,0.125196,0.125196,0.062598,0.125196,0.0
longformer_ext,table,on,off,off,0.076809,0.076809,0.076809,0.038405,0.076809,0.0
none,plot+table,on,off,off,0.072564,0.072564,0.072564,0.036282,0.072564,0.0
bart,plot+table,on,off,off,0.149051,0.149051,0.149051,0.074526,0.149051,0.0
bert,plot+table,on,off,off,0.12766,0.12766,0.12766,0.06383,0.12766,0.0
t5,plot+table,on,off,off,0.115894,0.115894,0.115894,0.057947,0.115894,0.0
longformer_ext,plot+table,on,off,off,0.115242,0.115242,0.115242,0.057621,0.115242,0.0
none,plot,off,on,off,0.084167,0.084167,0.084167,0.042083,0.084167,0.0
bart,plot,off,on,off,0.121827,0.121827,0.121827,0.060914,0.121827,0.0
bert,plot,off,on,off,0.136947,0.136947,0.136947,0.068474,0.136947,0.0
t5,plot,off,on,off,0.137221,0.137221,0.137221,0.068611,0.137221,0.0
longformer_ext,plot,off,on,off,0.12782,0.12782,0.12782,0.06391,0.12782,0.0
none,table,off,on,off,0.078366,0.078366,0.078366,0.039183,0.078366,0.0
bart,table,off,on,off,0.131868,0.131868,0.131868,0.065934,0.131868,0.0
bert,table,off,on,off,0.136951,0.136951,0.136951,0.068475,0.136951,0.0
t5,table,off,on,off,0.138053,0.138053,0.138053,0.069027,0.138053,0.0
longformer_ext,table,off,on,off,0.107143,0.107143,0.107143,0.053571,0.107143,0.0
none,plot+table,off,on,off,0.084733,0.084733,0.084733,0.042366,0.084733,0.0
bart,plot+table,off,on,off,0.169935,0.169935,0.169935,0.084967,0.169935,0.0
bert,plot+table,off,on,off,0.131579,0.131579,0.131579,0.065789,0.131579,0.0
t5,plot+table,off,on,off,0.141818,0.141818,0.141818,0.070909,0.141818,0.0
longformer_ext,plot+table,off,on,off,0.143066,0.143066,0.143066,0.071533,0.143066,0.0
none,plot,off,off,on,0.087084,0.087084,0.087084,0.043542,0.087084,0.0
bart,plot,off,off,on,0.157303,0.157303,0.157303,0.078652,0.157303,0.0
bert,plot,off,off,on,0.131148,0.131148,0.131148,0.065574,0.131148,0.0
t5,plot,off,off,on,0.166378,0.166378,0.166378,0.083189,0.166378,0.0
longformer_ext,plot,off,off,on,0.11094,0.11094,0.11094,0.05547,0.11094,0.0
none,table,off,off,on,0.079684,0.079684,0.079684,0.039842,0.079684,0.0
bart,table,off,off,on,0.153333,0.153333,0.153333,0.076667,0.153333,0.0
bert,table,off,off,on,0.123711,0.123711,0.123711,0.061856,0.123711,0.0
t5,table,off,off,on,0.154116,0.154116,0.154116,0.077058,0.154116,0.0
longformer_ext,table,off,off,on,0.157303,0.157303,0.157303,0.078652,0.157303,0.0
none,plot+table,off,off,on,0.076229,0.076229,0.076229,0.038114,0.076229,0.0
bart,plot+table,off,off,on,0.151181,0.151181,0.151181,0.075591,0.151181,0.0
bert,plot+table,off,off,on,0.139037,0.139037,0.139037,0.069519,0.139037,0.0
t5,plot+table,off,off,on,0.14966,0.14966,0.14966,0.07483,0.14966,0.0
longformer_ext,plot+table,off,off,on,0.11994,0.11994,0.11994,0.05997,0.11994,0.0
none,plot,on,off,on,0.075776,0.075776,0.075776,0.037888,0.075776,0.0
bart,plot,on,off,on,0.153619,0.153619,0.153619,0.076809,0.153619,0.0
