Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Evidence,0.09246476,0.00913871,0.10297147,1.23453068,0.27647451,0.76065158
Evidence_AND_Example,0.20300602,0.17894081,0.11266993,1.50231797,0.28623400,2.76212229
Evidence_AND_Insights,0.49539068,0.10466609,0.17457299,1.83268126,0.54702166,4.99731800
Evidence_AND_Role,0.16120921,0.01198604,0.12677994,1.29019186,0.32303350,1.69003151
Evidence_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example,0.07200188,0.16908978,0.00869608,0.26358546,0.00421118,1.97436099
Example_AND_Insights,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example_AND_Role,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Insights,0.38024116,0.03580261,0.05510142,0.59178462,0.26357252,4.20823642
Insights_AND_Example,0.47295557,0.20619839,0.06716387,0.86253351,0.26805841,6.27191210
Insights_AND_Role,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Insights_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Role,0.01496908,0.00173446,0.01860823,0.02146811,0.04276530,0.64967277
Role_AND_Example,0.37008497,0.17446278,0.04429848,0.45843796,0.09532452,2.68053277
Role_AND_Insights,0.43572398,0.03755591,0.07750809,0.71015362,0.33562381,4.87531677
Role_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Summarizer,12.72238885,19.41987984,19.67155940,11.92675776,19.21457760,11.46542994
Summarizer_AND_Evidence,14.22009153,19.93173847,19.99918902,13.86164326,19.78533214,12.48905546
Summarizer_AND_Example,12.95688688,19.67818966,19.73986612,12.29264204,19.26742432,14.19253382
Summarizer_AND_Insights,13.94951264,19.81324666,19.81820939,12.73269996,19.56342355,16.01827877
Summarizer_AND_Role,14.16701376,20.22736979,19.98280556,12.74401094,19.72692299,14.96454682
