Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Example,0.00703729,0.01662282,0.02222520,0.04326787,0.02551099,1.00244234
Evidence,0.52693934,0.07717976,0.79436067,3.36800221,2.57201610,1.35888455
Evidence_AND_Example,0.73978760,0.09498743,0.81841607,3.44366797,2.62039207,2.48408677
Evidence_AND_Insights,0.86944457,0.16824870,1.31914625,4.48908928,4.07422825,3.03348854
Evidence_AND_Role,1.05897668,0.51001498,1.24412230,3.54817679,3.02370038,1.55800139
Insights,0.27794736,0.06585976,0.45186235,1.09629440,1.46226252,1.59698037
Insights_AND_Example,0.39532734,0.08296429,0.48113498,1.14312504,1.49217050,2.67396168
Role,0.33288713,0.40152722,0.35960112,0.01909296,0.19110179,0.13098861
Role_AND_Example,0.44480047,0.48341654,0.59649749,0.34657925,0.64041501,1.47866773
Role_AND_Insights,0.67323271,0.47065471,0.88562733,1.27371951,1.89446556,1.75580636
Summarizer,17.04723127,19.04525291,17.12286959,14.03752676,13.03300916,15.53013058
Summarizer_AND_Example,17.41594970,19.17362138,17.52756714,14.44684514,13.52575091,17.13101668
Summarizer_AND_Evidence,19.10719667,19.48076129,18.85851807,19.48282439,17.31969322,17.03017737
Summarizer_AND_Insights,18.05383941,19.43112565,18.24901889,15.65496209,15.07851522,17.32561661
Summarizer_AND_Role,23.04940246,20.49776253,21.26903257,17.60682636,23.04676832,15.90975041
