Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Example,0.00368717,0.06004684,0.06919088,0.00344040,0.00551677,1.99884820
Evidence,0.25860270,0.00318595,0.31641989,1.25528693,1.37758198,1.11605081
Evidence_AND_Example,0.26889989,0.06738143,0.41189523,1.30785644,1.44543107,3.33878787
Evidence_AND_Insights,0.26673034,0.00645615,0.34844902,1.34236297,1.66649421,3.76161257
Evidence_AND_Role,0.81479886,0.08784631,0.53649326,2.18696555,2.54371049,1.59037089
Insights,0.00228002,0.00052054,0.02420959,0.07111164,0.27913781,2.28715378
Insights_AND_Example,0.00618251,0.06123230,0.09448939,0.07455227,0.28867595,4.42510836
Role,0.47123780,0.07607847,0.16752073,0.85484091,1.09163639,0.31969101
Role_AND_Example,0.47567804,0.13613391,0.23675367,0.86091430,1.10180333,2.32460439
Role_AND_Insights,0.47463412,0.07707293,0.19621070,0.92625225,1.37091577,2.63713480
Summarizer,18.94455013,19.81910771,19.07337381,17.59014894,16.56933716,13.75191301
Summarizer_AND_Example,19.19438925,19.90744925,19.46827133,17.72558510,17.11625571,16.05552502
Summarizer_AND_Evidence,20.32253631,19.95494331,20.49201696,19.52840547,20.11221145,15.85605739
Summarizer_AND_Insights,19.00736573,19.83294904,19.23022159,17.72936261,17.04690812,16.19128506
Summarizer_AND_Role,19.48842711,19.90959586,19.33448397,18.54291422,17.98438380,14.34585682
