Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
none,plot,off,off,off,0.006947,0.253297,0.216858,0.059049,0.10728,37.657257
none,plot,off,off,off,0.018838,0.263192,0.285511,0.082651,0.128159,37.657257
none,plot,off,off,off,0.055789,0.255194,0.627051,0.235388,0.285314,37.657257
bart,plot,off,off,off,0.016813,0.173878,0.372093,0.089494,0.182171,25.0585
bart,plot,off,off,off,0.010272,0.112412,0.352448,0.086957,0.170629,25.0585
bart,plot,off,off,off,0.0,0.031837,0.101928,0.035837,0.064738,25.0585
bert,plot,off,off,off,0.009922,0.29548,0.437564,0.08273,0.167183,31.106287
bert,plot,off,off,off,0.031368,0.258451,0.5,0.109777,0.190068,31.106287
bert,plot,off,off,off,0.005656,0.105097,0.319929,0.13532,0.168007,31.106287
t5,plot,off,off,off,0.005699,0.149022,0.333333,0.075314,0.183333,37.110696
t5,plot,off,off,off,0.007453,0.109278,0.291605,0.079764,0.153166,37.110696
t5,plot,off,off,off,0.0,0.02375,0.080195,0.030007,0.058577,37.110696
longformer_ext,plot,off,off,off,0.015655,0.241133,0.415869,0.090535,0.180575,14.553863
longformer_ext,plot,off,off,off,0.02763,0.200575,0.451613,0.081897,0.167742,14.553863
longformer_ext,plot,off,off,off,0.000235,0.066603,0.205194,0.059673,0.099391,14.553863
none,table,off,off,off,0.005016,0.215941,0.155163,0.051381,0.077858,34.486473
none,table,off,off,off,0.013016,0.232389,0.208846,0.059701,0.093693,34.486473
none,table,off,off,off,0.042464,0.26029,0.507155,0.1751,0.224958,34.486473
bart,table,off,off,off,0.023409,0.20893,0.388013,0.079114,0.173502,15.984319
bart,table,off,off,off,0.020937,0.160139,0.391357,0.072202,0.153661,15.984319
bart,table,off,off,off,2.7e-05,0.043773,0.139643,0.036424,0.074123,15.984319
bert,table,off,off,off,0.009206,0.252697,0.310266,0.063976,0.138403,22.609972
bert,table,off,off,off,0.023665,0.26532,0.385733,0.093915,0.150594,22.609972
bert,table,off,off,off,0.015643,0.137431,0.351067,0.122129,0.166352,22.609972
t5,table,off,off,off,0.014148,0.184215,0.365217,0.073298,0.177391,40.020649
t5,table,off,off,off,0.016757,0.135439,0.330749,0.054404,0.147287,40.020649
t5,table,off,off,off,3e-06,0.035917,0.111374,0.025667,0.062774,40.020649
longformer_ext,table,off,off,off,0.009585,0.232338,0.392547,0.067248,0.168944,24.141471
longformer_ext,table,off,off,off,0.029273,0.195784,0.39243,0.071856,0.149402,24.141471
longformer_ext,table,off,off,off,0.000631,0.065938,0.204197,0.048261,0.093956,24.141471
none,plot+table,off,off,off,0.007519,0.234417,0.203615,0.062016,0.092955,42.777583
none,plot+table,off,off,off,0.013878,0.258937,0.27079,0.072215,0.123024,42.777583
none,plot+table,off,off,off,0.053693,0.248204,0.578937,0.204042,0.267896,42.777583
bart,plot+table,off,off,off,0.018691,0.171956,0.346225,0.096118,0.173112,29.505642
bart,plot+table,off,off,off,0.012008,0.120848,0.32345,0.062162,0.148248,29.505642
bart,plot+table,off,off,off,1e-06,0.032092,0.107131,0.033459,0.064824,29.505642
bert,plot+table,off,off,off,0.015663,0.276371,0.394394,0.084253,0.152152,30.565957
bert,plot+table,off,off,off,0.013448,0.251308,0.445743,0.086957,0.173623,30.565957
bert,plot+table,off,off,off,0.005081,0.099239,0.301151,0.112851,0.162386,30.565957
t5,plot+table,off,off,off,0.012535,0.188121,0.366906,0.083032,0.169065,37.182479
t5,plot+table,off,off,off,0.016573,0.121875,0.341722,0.074369,0.145695,37.182479
t5,plot+table,off,off,off,3e-06,0.033916,0.110054,0.03467,0.072011,37.182479
longformer_ext,plot+table,off,off,off,0.015794,0.211834,0.399425,0.07781,0.183908,13.555083
longformer_ext,plot+table,off,off,off,0.026226,0.174072,0.402235,0.06495,0.172067,13.555083
longformer_ext,plot+table,off,off,off,0.000133,0.052226,0.166667,0.048021,0.083009,13.555083
none,plot,on,off,off,0.012035,0.250436,0.228618,0.060905,0.103618,44.018909
none,plot,on,off,off,0.017789,0.253987,0.294945,0.080639,0.126188,44.018909
none,plot,on,off,off,0.050996,0.242113,0.60249,0.188045,0.282158,44.018909
bart,plot,on,off,off,0.031034,0.225294,0.430427,0.089385,0.19295,30.448
bart,plot,on,off,off,0.017938,0.156964,0.384824,0.100543,0.176152,30.448
bart,plot,on,off,off,2e-06,0.039563,0.117526,0.049915,0.075162,30.448
bert,plot,on,off,off,0.015485,0.304147,0.438525,0.094456,0.165984,25.782885
bert,plot,on,off,off,0.031972,0.246015,0.481702,0.105712,0.185532,25.782885
bert,plot,on,off,off,0.007328,0.111747,0.321641,0.108269,0.148038,25.782885
t5,plot,on,off,off,0.004188,0.109877,0.282561,0.026608,0.12362,38.615652
t5,plot,on,off,off,0.000884,0.074129,0.248466,0.027692,0.119632,38.615652
t5,plot,on,off,off,0.0,0.020578,0.071806,0.023248,0.047166,38.615652
