Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Evidence,0.61955003,0.02850611,0.85617981,2.48124988,4.18265772,0.87684600
Evidence_AND_Example,1.06702714,0.06196760,1.12485462,3.05215862,4.98643383,3.31630274
Evidence_AND_Insights,0.64652790,0.03977116,1.12036542,2.72348866,5.53210087,3.33234636
Evidence_AND_Role,5.77072576,0.20696936,1.21622421,3.98313402,5.76679917,2.26719052
Evidence_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example,0.28129103,0.00965848,0.01029485,0.23314581,0.56784863,1.84321237
Example_AND_Insights,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example_AND_Role,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Insights,0.01205149,0.01038100,0.22780602,0.21078250,1.12444017,1.98238258
Insights_AND_Example,0.34830877,0.02313570,0.24769879,0.48452411,1.75068422,3.91717064
Insights_AND_Role,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Insights_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Role,4.78991348,0.13303985,0.17645879,1.33936515,1.37093257,1.24360352
Role_AND_Example,5.07340461,0.14287060,0.18777287,1.60796149,1.95386194,3.31796315
Role_AND_Insights,4.82249448,0.14542552,0.40915849,1.55015063,2.49615898,3.34774212
Role_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Summarizer,13.19607806,19.68599716,17.79228378,14.97157352,10.77043898,13.28877656
Summarizer_AND_Evidence,16.75017355,20.04801531,20.99072878,19.27563015,20.16844453,14.90177749
Summarizer_AND_Example,14.42654897,19.79987652,18.61808109,15.44353050,12.12130560,15.16767507
Summarizer_AND_Insights,13.83692865,19.73051959,18.34287014,15.43958292,12.64974774,15.42749009
Summarizer_AND_Role,18.35897606,19.93386605,18.67922234,17.20372205,14.55814506,15.76952077
