Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Example,0.00634103,0.08258865,0.10757469,0.00393448,0.00000358,1.94591497
Evidence,0.24726985,0.00809415,0.40592221,2.17833482,2.79159066,1.11629555
Evidence_AND_Example,0.34790648,0.10121650,0.53890161,2.43325080,3.01468130,3.27104946
Evidence_AND_Insights,0.27631887,0.01856229,0.42965928,2.26916336,3.15060715,3.69962889
Evidence_AND_Role,1.44287017,0.10127166,0.61685351,3.83615699,3.96625151,1.90042116
Insights,0.00195867,0.00361731,0.01003940,0.04375465,0.34469917,2.24549561
Insights_AND_Example,0.00838503,0.08730323,0.11761484,0.04772417,0.35325685,4.33273149
Role,1.10716184,0.08877678,0.17115133,1.53705193,1.07646228,0.63135789
Role_AND_Example,1.13610583,0.17150724,0.27872619,1.54385669,1.08418874,2.57762947
Role_AND_Insights,1.11009581,0.09319194,0.18982812,1.60194976,1.42151195,2.89810134
Summarizer,17.98635448,19.75386474,18.84716044,15.76654281,14.67448259,13.48345758
Summarizer_AND_Example,18.60760189,19.88600666,19.46681272,16.00796036,15.68445545,15.78527928
Summarizer_AND_Evidence,20.17857708,19.94937875,20.58189924,18.87075412,20.62171291,15.61811691
Summarizer_AND_Insights,18.10605426,19.77671886,19.03662087,15.93106158,15.33593556,15.90053283
Summarizer_AND_Role,19.43699872,19.87790123,19.20123555,17.92850349,16.48016031,14.59398757
