plot_index,reporter_pattern,plot_description,trend_prompt_path,trend_output_path,image_path,table_csv_path,success,error,validation_status
context,,,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/02_context/context_request.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/02_context/context_output.txt,,,True,,accepted
1,num-foragers,This plot represents the number of human hunter-gatherer bands currently active in the simulation.,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_01/trend_prompt.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_01/trend_output.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_01/trend_evidence_plot.png,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_01/trend_evidence_table.txt,True,,accepted
2,sum [energy] of foragers,"This plot represents the total energy available to all forager bands, reflecting their energy status which is influenced by hunting success and movement costs.",results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_02/trend_prompt.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_02/trend_output.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_02/trend_evidence_plot.png,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_02/trend_evidence_table.txt,True,,accepted
4,females-killed,This plot represents the cumulative number of female prey animals hunted and killed by forager bands.,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_04/trend_prompt.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_04/trend_output.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_04/trend_evidence_plot.png,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_04/trend_evidence_table.txt,True,,accepted
5,ppfem-killed,This plot represents the cumulative number of postpartum female prey animals (females with offspring) hunted and killed by forager bands.,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_05/trend_prompt.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_05/trend_output.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_05/trend_evidence_plot.png,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_05/trend_evidence_table.txt,True,,accepted
6,birth-count,This plot represents the cumulative number of births among the prey animal population.,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_06/trend_prompt.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_06/trend_output.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_06/trend_evidence_plot.png,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_06/trend_evidence_table.txt,True,,accepted
7,death-count,"This plot represents the cumulative number of deaths among the prey animal population, from both natural causes and predation by foragers.",results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_07/trend_prompt.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_07/trend_output.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_07/trend_evidence_plot.png,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_07/trend_evidence_table.txt,True,,accepted
8,count animals with [species = 1],This plot represents the current number of male prey animals in the simulation.,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_08/trend_prompt.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_08/trend_output.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_08/trend_evidence_plot.png,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_08/trend_evidence_table.txt,True,,accepted
9,count animals with [species = 2],This plot represents the current number of female prey animals in the simulation.,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_09/trend_prompt.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_09/trend_output.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_09/trend_evidence_plot.png,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_09/trend_evidence_table.txt,True,,accepted
10,count animals,This plot represents the current total number of all prey animals (both males and females) in the simulation.,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_10/trend_prompt.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_10/trend_output.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_10/trend_evidence_plot.png,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_055303_236219/cases/33_fauna_insights_plot_plus_table_rep2/03_trends/plot_10/trend_evidence_table.txt,True,,accepted
