sum [energy] of animals with [species = 1],sum [energy] of animals with [species = 1].1,sum [energy] of animals with [species = 1].2,sum [energy] of animals with [species = 1].3,sum [energy] of animals with [species = 1].4,sum [energy] of animals with [species = 1].5,sum [energy] of animals with [species = 1].6,sum [energy] of animals with [species = 1].7,sum [energy] of animals with [species = 1].8,sum [energy] of animals with [species = 1].9,sum [energy] of animals with [species = 1].10,sum [energy] of animals with [species = 1].11,sum [energy] of animals with [species = 1].12,sum [energy] of animals with [species = 1].13,sum [energy] of animals with [species = 1].14,sum [energy] of animals with [species = 1].15,sum [energy] of animals with [species = 1].16,sum [energy] of animals with [species = 1].17,sum [energy] of animals with [species = 1].18,sum [energy] of animals with [species = 1].19,sum [energy] of animals with [species = 1].20,sum [energy] of animals with [species = 1].21,sum [energy] of animals with [species = 1].22,sum [energy] of animals with [species = 1].23,sum [energy] of animals with [species = 1].24,sum [energy] of animals with [species = 1].25,sum [energy] of animals with [species = 1].26,sum [energy] of animals with [species = 1].27,sum [energy] of animals with [species = 1].28,sum [energy] of animals with [species = 1].29,sum [energy] of animals with [species = 1].30,sum [energy] of animals with [species = 1].31,sum [energy] of animals with [species = 1].32,sum [energy] of animals with [species = 1].33,sum [energy] of animals with [species = 1].34,sum [energy] of animals with [species = 1].35,sum [energy] of animals with [species = 1].36,sum [energy] of animals with [species = 1].37,sum [energy] of animals with [species = 1].38,sum [energy] of animals with [species = 1].39
12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0
12369.0,12474.0,12477.0,12475.0,12483.0,12476.0,12472.0,12369.0,12469.0,12475.0,12373.0,12471.0,12474.0,12470.0,12470.0,12470.0,12471.0,12483.0,12474.0,12473.0,12472.0,12469.0,12468.0,12471.0,12473.0,12469.0,12469.0,12468.0,12470.0,12274.0,12461.0,12368.0,12365.0,12474.0,12473.0,12467.0,12468.0,12377.0,12470.0,12476.0
12361.0,12450.5,12365.0,12264.5,12462.0,12458.0,12356.5,12358.0,12448.0,12464.5,12358.5,12456.0,12358.0,12456.0,12452.5,12353.5,12354.0,12467.5,12458.5,12356.0,12364.0,12452.5,12455.5,12461.0,12459.0,12459.5,12455.0,12256.0,12460.0,12252.5,12346.0,12348.0,12362.0,12463.5,12461.5,12452.0,12449.5,12353.0,12457.5,12463.5
12242.5,12429.5,12245.5,12237.5,12330.5,12429.0,12333.5,12346.5,12421.5,12425.5,12337.5,12442.5,12335.5,12433.0,12434.0,12336.0,12326.5,12453.0,12438.0,12336.0,12142.0,12327.0,12440.5,12345.5,12440.5,12445.5,12428.5,12230.0,12436.0,12140.0,12330.0,12326.0,12341.0,12443.5,12440.5,12434.0,12428.5,12326.0,12444.0,12449.0
12239.0,12418.0,12147.5,12233.5,12321.0,12417.0,12228.5,12341.5,12406.5,12413.5,12328.5,12427.5,12324.5,12430.5,12418.0,12323.0,12319.0,12451.0,12426.0,12321.0,12137.0,12312.0,12430.0,12338.0,12433.5,12444.5,12329.0,12221.0,12429.0,12040.0,12322.0,12316.5,12338.0,12437.0,12433.0,12428.5,12422.5,12327.0,12444.5,12450.5
12236.0,12419.0,12150.5,12241.0,12317.0,12401.0,12121.5,12331.5,12402.5,12413.0,12323.5,12422.0,12330.0,12427.5,12415.5,12323.5,12315.5,12444.5,12323.0,12307.5,12131.0,12312.5,12218.0,12335.5,12429.5,12433.0,12226.0,12217.0,12426.5,12037.0,12320.5,12310.5,12335.0,12436.0,12341.0,12423.0,12414.5,12227.5,12342.5,12443.5
12230.0,12399.0,12136.5,12226.5,12301.0,12280.5,12107.5,12319.0,12379.5,12309.5,12314.5,12406.5,12322.0,12428.5,12409.0,12315.5,12300.0,12442.0,12298.5,12292.0,12113.0,12288.5,12210.0,12234.0,12414.0,12425.5,12205.5,12200.0,12420.0,12023.0,12312.5,12288.5,12320.0,12427.0,12321.0,12306.5,12395.0,12218.0,12333.5,12434.0
12227.0,12390.0,12124.5,12219.5,12297.5,12269.5,12106.0,12114.5,12365.0,12308.5,12308.0,12398.5,12321.0,12418.5,12405.5,12307.5,12291.5,12445.0,12289.0,12272.5,12115.5,12274.5,12206.5,12228.5,12404.5,12417.0,12193.0,12087.5,12413.5,12011.5,12305.5,12281.5,12316.5,12413.5,12323.0,12296.5,12393.0,12212.0,12331.5,12431.0
12221.0,12389.0,12124.5,12213.0,12303.5,12268.5,12099.0,12114.0,12349.5,12300.5,12303.0,12396.5,12316.5,12413.0,12397.5,12306.5,12279.5,12441.0,12286.0,12267.5,12119.5,12273.0,12207.5,12124.5,12390.5,12414.0,12197.0,12070.0,12409.5,12014.5,12292.5,12274.0,12321.0,12402.5,12312.5,12290.5,12380.0,12211.0,12332.5,12422.5
12213.5,12380.5,12121.5,12197.0,12295.0,12259.5,11986.5,12104.5,12341.0,12293.0,12294.5,12399.0,12315.5,12401.5,12393.5,12293.5,12275.5,12445.0,12281.5,12259.5,12109.0,12268.5,12207.0,12114.0,12377.0,12405.5,12193.5,12068.5,12408.5,12007.0,12276.5,12262.0,12314.0,12394.0,12301.5,12280.5,12378.5,12195.5,12319.0,12428.5
