run_root,request_kind,case_id,abm,evidence_mode,prompt_variant,repetition,case_dir,review_csv_path,case_summary_path,validation_state_path,request_json_path,trace_json_path,output_path,thinking_path,plot_index,reporter_pattern,plot_description,image_path,table_csv_path,success,validation_status,error,resumed_from_existing,reused_from_previous_run,reused_from_shared_context_cache,counts_toward_run_totals,context_materialization_source,provider,model,runtime_provider,runtime_precision,temperature,max_tokens,max_retries,retry_backoff_seconds,image_attached,attempts_made,trace_error_count,prompt_length,prompt_signature,usage_prompt_tokens,usage_completion_tokens,usage_total_tokens,table_downsample_stride,compression_tier,prompt_compression_applied,request_metadata_json,runtime_json,usage_json
results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112,context,01_fauna_none_plot_rep1,fauna,plot,none,1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/review.csv,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/00_case_summary.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/validation_state.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/02_context/context_request.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/02_context/context_trace.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/02_context/context_output.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/02_context/context_thinking.txt,context,,,,,True,accepted,,true,true,false,false,resumed_previous_run,openrouter,moonshotai/kimi-k2.5,NextBit,fp4,1.0,32768,2,2.0,false,1,0,13774,ad812f18f2f6a7af4e31e7af770848333d39d68a8c502ad55f2ad366c1a831a9,3028,3757,6785,,,false,"{""context_materialization_source"": ""resumed_previous_run"", ""ollama_format"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""ollama_num_ctx"": 0, ""preserve_raw_text"": true, ""structured_output_name"": ""structured_smoke_text"", ""structured_output_schema"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}}","{""precision"": ""fp4"", ""provider"": ""NextBit""}","{""completion_tokens"": 3757, ""prompt_tokens"": 3028, ""total_tokens"": 6785}"
results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112,trend,01_fauna_none_plot_rep1,fauna,plot,none,1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/review.csv,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/00_case_summary.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/validation_state.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_01/trend_request.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_01/trend_trace.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_01/trend_output.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_01/trend_thinking.txt,1,num-foragers,This plot represents the number of human hunter-gatherer bands currently active in the simulation.,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_01/trend_evidence_plot.png,,True,accepted,,true,true,false,false,,openrouter,moonshotai/kimi-k2.5,Inceptron,int4,1.0,32768,2,2.0,true,1,0,4777,86c5acae7ef8b81998da18f12733eedeca58160f8dae94726a9c69eae176e6b0,2612,1403,4015,1,0,false,"{""ollama_format"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""ollama_num_ctx"": 0, ""preserve_raw_text"": true, ""structured_output_name"": ""structured_smoke_text"", ""structured_output_schema"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""table_downsample_stride"": 1}","{""precision"": ""int4"", ""provider"": ""Inceptron""}","{""completion_tokens"": 1403, ""prompt_tokens"": 2612, ""total_tokens"": 4015}"
results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112,trend,01_fauna_none_plot_rep1,fauna,plot,none,1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/review.csv,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/00_case_summary.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/validation_state.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_02/trend_request.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_02/trend_trace.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_02/trend_output.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_02/trend_thinking.txt,2,sum [energy] of foragers,"This plot represents the total energy available to all forager bands, reflecting their energy status which is influenced by hunting success and movement costs.",results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_02/trend_evidence_plot.png,,True,accepted,,true,true,false,false,,openrouter,moonshotai/kimi-k2.5,Phala,unknown,1.0,32768,2,2.0,true,1,0,4838,dee7815f52f6774abd8640f1e8ccf6c1bd9241651d147c8d73605ac0085c9f6c,2652,2615,5267,1,0,false,"{""ollama_format"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""ollama_num_ctx"": 0, ""preserve_raw_text"": true, ""structured_output_name"": ""structured_smoke_text"", ""structured_output_schema"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""table_downsample_stride"": 1}","{""precision"": ""unknown"", ""provider"": ""Phala""}","{""completion_tokens"": 2615, ""prompt_tokens"": 2652, ""total_tokens"": 5267}"
results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112,trend,01_fauna_none_plot_rep1,fauna,plot,none,1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/review.csv,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/00_case_summary.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/validation_state.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_03/trend_request.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_03/trend_trace.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_03/trend_output.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_03/trend_thinking.txt,3,males-killed,This plot represents the cumulative number of male prey animals hunted and killed by forager bands.,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_03/trend_evidence_plot.png,,True,accepted,,true,true,false,false,,openrouter,moonshotai/kimi-k2.5,BaseTen,fp4,1.0,32768,2,2.0,true,1,0,4778,f7071b2bb9f5c5561afcdc2c989ec30736ad479736be42261d514111ffa6cfc5,2612,931,3543,1,0,false,"{""ollama_format"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""ollama_num_ctx"": 0, ""preserve_raw_text"": true, ""structured_output_name"": ""structured_smoke_text"", ""structured_output_schema"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""table_downsample_stride"": 1}","{""precision"": ""fp4"", ""provider"": ""BaseTen""}","{""completion_tokens"": 931, ""prompt_tokens"": 2612, ""total_tokens"": 3543}"
results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112,trend,01_fauna_none_plot_rep1,fauna,plot,none,1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/review.csv,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/00_case_summary.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/validation_state.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_04/trend_request.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_04/trend_trace.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_04/trend_output.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_04/trend_thinking.txt,4,females-killed,This plot represents the cumulative number of female prey animals hunted and killed by forager bands.,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_04/trend_evidence_plot.png,,True,accepted,,true,true,false,false,,openrouter,moonshotai/kimi-k2.5,Parasail,int4,1.0,32768,2,2.0,true,1,0,4780,6c36d09b54f6fbd6ce2f57a64d3655790bdb7adaf40a7e8a2c5f0693346e1942,2612,1385,3997,1,0,false,"{""ollama_format"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""ollama_num_ctx"": 0, ""preserve_raw_text"": true, ""structured_output_name"": ""structured_smoke_text"", ""structured_output_schema"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""table_downsample_stride"": 1}","{""precision"": ""int4"", ""provider"": ""Parasail""}","{""completion_tokens"": 1385, ""prompt_tokens"": 2612, ""total_tokens"": 3997}"
results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112,trend,01_fauna_none_plot_rep1,fauna,plot,none,1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/review.csv,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/00_case_summary.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/validation_state.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_05/trend_request.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_05/trend_trace.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_05/trend_output.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_05/trend_thinking.txt,5,ppfem-killed,This plot represents the cumulative number of postpartum female prey animals (females with offspring) hunted and killed by forager bands.,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_05/trend_evidence_plot.png,,True,accepted,,true,true,false,false,,openrouter,moonshotai/kimi-k2.5,Inceptron,int4,1.0,32768,2,2.0,true,1,0,4816,c2456e1cfa69644fcf01a90aed578938743a915a68a816e33a3600b24022c2a8,2621,2586,5207,1,0,false,"{""ollama_format"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""ollama_num_ctx"": 0, ""preserve_raw_text"": true, ""structured_output_name"": ""structured_smoke_text"", ""structured_output_schema"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""table_downsample_stride"": 1}","{""precision"": ""int4"", ""provider"": ""Inceptron""}","{""completion_tokens"": 2586, ""prompt_tokens"": 2621, ""total_tokens"": 5207}"
results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112,trend,01_fauna_none_plot_rep1,fauna,plot,none,1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/review.csv,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/00_case_summary.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/validation_state.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_06/trend_request.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_06/trend_trace.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_06/trend_output.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_06/trend_thinking.txt,6,birth-count,This plot represents the cumulative number of births among the prey animal population.,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_06/trend_evidence_plot.png,,True,accepted,,true,true,false,false,,openrouter,moonshotai/kimi-k2.5,Novita,unknown,1.0,32768,2,2.0,true,1,0,4765,aa6675f4cda3bddd84ada8625e935764827807499b66c0c8af24077ffce935ec,2575,2996,5571,1,0,false,"{""ollama_format"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""ollama_num_ctx"": 0, ""preserve_raw_text"": true, ""structured_output_name"": ""structured_smoke_text"", ""structured_output_schema"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""table_downsample_stride"": 1}","{""precision"": ""unknown"", ""provider"": ""Novita""}","{""completion_tokens"": 2996, ""prompt_tokens"": 2575, ""total_tokens"": 5571}"
results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112,trend,01_fauna_none_plot_rep1,fauna,plot,none,1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/review.csv,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/00_case_summary.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/validation_state.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_07/trend_request.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_07/trend_trace.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_07/trend_output.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_07/trend_thinking.txt,7,death-count,"This plot represents the cumulative number of deaths among the prey animal population, from both natural causes and predation by foragers.",results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_07/trend_evidence_plot.png,,True,accepted,,true,true,false,false,,openrouter,moonshotai/kimi-k2.5,Novita,unknown,1.0,32768,2,2.0,true,1,0,4817,72ea639a24a6e649bae02beea5e86a0b1b383aa89a1e0c6635bdbe5a3dc3ae52,2617,1015,3632,1,0,false,"{""ollama_format"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""ollama_num_ctx"": 0, ""preserve_raw_text"": true, ""structured_output_name"": ""structured_smoke_text"", ""structured_output_schema"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""table_downsample_stride"": 1}","{""precision"": ""unknown"", ""provider"": ""Novita""}","{""completion_tokens"": 1015, ""prompt_tokens"": 2617, ""total_tokens"": 3632}"
results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112,trend,01_fauna_none_plot_rep1,fauna,plot,none,1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/review.csv,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/00_case_summary.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/validation_state.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_08/trend_request.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_08/trend_trace.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_08/trend_output.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_08/trend_thinking.txt,8,count animals with [species = 1],This plot represents the current number of male prey animals in the simulation.,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_08/trend_evidence_plot.png,,True,accepted,,true,true,false,false,,openrouter,moonshotai/kimi-k2.5,Inceptron,int4,1.0,32768,2,2.0,true,1,0,4758,959a907d62bdd40e274fbd52c217a31678eae27c6bdf9817de1dfb11bb71eb7d,2608,1550,4158,1,0,false,"{""ollama_format"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""ollama_num_ctx"": 0, ""preserve_raw_text"": true, ""structured_output_name"": ""structured_smoke_text"", ""structured_output_schema"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""table_downsample_stride"": 1}","{""precision"": ""int4"", ""provider"": ""Inceptron""}","{""completion_tokens"": 1550, ""prompt_tokens"": 2608, ""total_tokens"": 4158}"
results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112,trend,01_fauna_none_plot_rep1,fauna,plot,none,1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/review.csv,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/00_case_summary.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/validation_state.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_09/trend_request.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_09/trend_trace.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_09/trend_output.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_09/trend_thinking.txt,9,count animals with [species = 2],This plot represents the current number of female prey animals in the simulation.,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260313_071158_572112/cases/01_fauna_none_plot_rep1/03_trends/plot_09/trend_evidence_plot.png,,True,accepted,,true,true,false,false,,openrouter,moonshotai/kimi-k2.5,AtlasCloud,int4,1.0,32768,2,2.0,true,1,0,4760,6ebf0f0686a587e40992dddd37d436857bcd818a43aa4c56451621af87b2f92a,2680,1070,3750,1,0,false,"{""ollama_format"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""ollama_num_ctx"": 0, ""preserve_raw_text"": true, ""structured_output_name"": ""structured_smoke_text"", ""structured_output_schema"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""table_downsample_stride"": 1}","{""precision"": ""int4"", ""provider"": ""AtlasCloud""}","{""completion_tokens"": 1070, ""prompt_tokens"": 2680, ""total_tokens"": 3750}"
