count households with [household-SL? = true],count households with [household-SL? = true].1,count households with [household-SL? = true].2,count households with [household-SL? = true].3,count households with [household-SL? = true].4,count households with [household-SL? = true].5,count households with [household-SL? = true].6,count households with [household-SL? = true].7,count households with [household-SL? = true].8,count households with [household-SL? = true].9,count households with [household-SL? = true].10,count households with [household-SL? = true].11,count households with [household-SL? = true].12,count households with [household-SL? = true].13,count households with [household-SL? = true].14,count households with [household-SL? = true].15,count households with [household-SL? = true].16,count households with [household-SL? = true].17,count households with [household-SL? = true].18,count households with [household-SL? = true].19,count households with [household-SL? = true].20,count households with [household-SL? = true].21,count households with [household-SL? = true].22,count households with [household-SL? = true].23,count households with [household-SL? = true].24,count households with [household-SL? = true].25,count households with [household-SL? = true].26,count households with [household-SL? = true].27,count households with [household-SL? = true].28,count households with [household-SL? = true].29
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2,0,0,0,3,0,2,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,10,2,2,3,5,7,8,6,6,11,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,13,7,8,8,7,15,13,14,12,17,5,3,13,3,1,3,2,8,0,1,6,9,5,6,3,7,4,9
8,11,24,11,14,13,10,19,24,22,15,21,10,4,24,7,3,6,8,9,5,7,7,12,7,11,7,10,6,12
10,11,25,11,15,13,12,19,25,24,15,23,11,4,24,9,3,6,8,9,5,7,7,12,7,11,7,10,6,12
12,11,27,12,19,15,13,20,25,27,15,27,12,4,26,10,3,6,8,9,5,8,7,12,7,11,7,10,6,12
19,16,36,16,27,22,17,23,26,27,17,31,14,8,33,10,6,6,8,10,6,10,7,12,11,12,9,10,9,15
19,16,37,16,28,23,17,23,26,28,18,33,14,8,39,11,6,6,9,10,6,10,7,12,11,12,9,10,9,15
20,20,41,19,31,24,26,25,31,29,20,38,15,22,41,11,9,6,10,11,7,11,7,14,14,13,11,12,11,17
