run_root,request_kind,case_id,abm,evidence_mode,prompt_variant,repetition,case_dir,review_csv_path,case_summary_path,validation_state_path,request_json_path,trace_json_path,output_path,thinking_path,plot_index,reporter_pattern,plot_description,image_path,table_csv_path,success,validation_status,error,resumed_from_existing,reused_from_previous_run,reused_from_shared_context_cache,counts_toward_run_totals,context_materialization_source,provider,model,runtime_provider,runtime_precision,temperature,max_tokens,max_retries,retry_backoff_seconds,image_attached,attempts_made,trace_error_count,prompt_length,prompt_signature,usage_prompt_tokens,usage_completion_tokens,usage_total_tokens,table_downsample_stride,compression_tier,prompt_compression_applied,request_metadata_json,runtime_json,usage_json
results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075,context,01_grazing_none_plot_rep1,grazing,plot,none,1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/review.csv,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/00_case_summary.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/validation_state.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/02_context/context_request.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/02_context/context_trace.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/02_context/context_output.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/02_context/context_thinking.txt,context,,,,,True,accepted,,true,true,false,false,resumed_previous_run,openrouter,moonshotai/kimi-k2.5,BaseTen,fp4,1.0,32768,2,2.0,false,1,0,7784,dcbaa4a58f72ae3430e53df489dc7a524ad287d261a339bff73e51c9979cc56c,2002,3192,5194,,,false,"{""context_materialization_source"": ""resumed_previous_run"", ""ollama_format"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""ollama_num_ctx"": 0, ""preserve_raw_text"": true, ""structured_output_name"": ""structured_smoke_text"", ""structured_output_schema"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}}","{""precision"": ""fp4"", ""provider"": ""BaseTen""}","{""completion_tokens"": 3192, ""prompt_tokens"": 2002, ""total_tokens"": 5194}"
results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075,trend,01_grazing_none_plot_rep1,grazing,plot,none,1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/review.csv,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/00_case_summary.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/validation_state.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_01/trend_request.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_01/trend_trace.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_01/trend_output.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_01/trend_thinking.txt,1,mean [household-risk-att-init] of households,"This plot represents the average initial risk attitude of all social learning agents, used to store and report their initial disposition to deviate from the recommended number of livestock.",results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_01/trend_evidence_plot.png,,True,accepted,,true,true,false,false,,openrouter,moonshotai/kimi-k2.5,Parasail,int4,1.0,32768,2,2.0,true,1,0,4200,eeee31430c71d984ea8e73c0e41734ac15374fe5be2ec201d61d45f929fbc105,2386,3921,6307,1,0,false,"{""ollama_format"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""ollama_num_ctx"": 0, ""preserve_raw_text"": true, ""structured_output_name"": ""structured_smoke_text"", ""structured_output_schema"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""table_downsample_stride"": 1}","{""precision"": ""int4"", ""provider"": ""Parasail""}","{""completion_tokens"": 3921, ""prompt_tokens"": 2386, ""total_tokens"": 6307}"
results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075,trend,01_grazing_none_plot_rep1,grazing,plot,none,1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/review.csv,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/00_case_summary.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/validation_state.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_02/trend_request.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_02/trend_trace.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_02/trend_output.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_02/trend_thinking.txt,2,mean [household-risk-att] of households,This plot represents the average degree of deviation from the recommended number of livestock for all extension agents during the simulation.,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_02/trend_evidence_plot.png,,True,accepted,,true,true,false,false,,openrouter,moonshotai/kimi-k2.5,Parasail,int4,1.0,32768,2,2.0,true,1,0,4152,42d8d9b479dfcef5e29614fcaade8db4bbcbaed0514774a3f8038a8c4c244805,2376,3237,5613,1,0,false,"{""ollama_format"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""ollama_num_ctx"": 0, ""preserve_raw_text"": true, ""structured_output_name"": ""structured_smoke_text"", ""structured_output_schema"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""table_downsample_stride"": 1}","{""precision"": ""int4"", ""provider"": ""Parasail""}","{""completion_tokens"": 3237, ""prompt_tokens"": 2376, ""total_tokens"": 5613}"
results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075,trend,01_grazing_none_plot_rep1,grazing,plot,none,1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/review.csv,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/00_case_summary.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/validation_state.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_03/trend_request.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_03/trend_trace.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_03/trend_output.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_03/trend_thinking.txt,3,mean-reserve-biomass,"This plot represents the average amount of reserve biomass available across all patches, indicating the overall biomass condition in the model's grazing system.",results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_03/trend_evidence_plot.png,,True,accepted,,true,true,false,false,,openrouter,moonshotai/kimi-k2.5,Inceptron,int4,1.0,32768,2,2.0,true,1,0,4171,28d148036678b09fc166853009c9834109a8c8dfbe9c471fd569b58d0f3e553f,2411,2266,4677,1,0,false,"{""ollama_format"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""ollama_num_ctx"": 0, ""preserve_raw_text"": true, ""structured_output_name"": ""structured_smoke_text"", ""structured_output_schema"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""table_downsample_stride"": 1}","{""precision"": ""int4"", ""provider"": ""Inceptron""}","{""completion_tokens"": 2266, ""prompt_tokens"": 2411, ""total_tokens"": 4677}"
results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075,trend,01_grazing_none_plot_rep1,grazing,plot,none,1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/review.csv,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/00_case_summary.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/validation_state.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_04/trend_request.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_04/trend_trace.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_04/trend_output.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_04/trend_thinking.txt,4,mean-green-biomass,"This plot represents the average amount of actual available green biomass across all patches, accounting for reductions due to grazing.",results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_04/trend_evidence_plot.png,,True,accepted,,true,true,false,false,,openrouter,moonshotai/kimi-k2.5,Inceptron,int4,1.0,32768,2,2.0,true,1,0,4146,34e84f2ddef772a121073fc668bcab5bc1d7e242f39381ec096d9265df7fab15,2376,2248,4624,1,0,false,"{""ollama_format"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""ollama_num_ctx"": 0, ""preserve_raw_text"": true, ""structured_output_name"": ""structured_smoke_text"", ""structured_output_schema"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""table_downsample_stride"": 1}","{""precision"": ""int4"", ""provider"": ""Inceptron""}","{""completion_tokens"": 2248, ""prompt_tokens"": 2376, ""total_tokens"": 4624}"
results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075,trend,01_grazing_none_plot_rep1,grazing,plot,none,1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/review.csv,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/00_case_summary.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/validation_state.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_05/trend_request.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_05/trend_trace.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_05/trend_output.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_05/trend_thinking.txt,5,mean [livestock + destock] of households,"This plot represents the average total number of livestock, including both healthy livestock and those that have been destocked, across all households.",results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_05/trend_evidence_plot.png,,True,accepted,,true,true,false,false,,openrouter,moonshotai/kimi-k2.5,Inceptron,int4,1.0,32768,2,2.0,true,1,0,4162,43fe8465e1525a1938181912e980db35dc8854a1b0b0066d6d818d03ebf3588d,2349,3648,5997,1,0,false,"{""ollama_format"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""ollama_num_ctx"": 0, ""preserve_raw_text"": true, ""structured_output_name"": ""structured_smoke_text"", ""structured_output_schema"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""table_downsample_stride"": 1}","{""precision"": ""int4"", ""provider"": ""Inceptron""}","{""completion_tokens"": 3648, ""prompt_tokens"": 2349, ""total_tokens"": 5997}"
results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075,trend,01_grazing_none_plot_rep1,grazing,plot,none,1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/review.csv,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/00_case_summary.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/validation_state.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_06/trend_request.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_06/trend_trace.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_06/trend_output.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_06/trend_thinking.txt,6,mean [destock] of households,"This plot represents the average number of livestock that have been destocked, or removed due to insufficient resources, across all households.",results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_06/trend_evidence_plot.png,,True,accepted,,true,true,false,false,,openrouter,moonshotai/kimi-k2.5,Parasail,int4,1.0,32768,2,2.0,true,1,0,4154,7b3d2b5a082425e8ffd8c7e9626fad7cb1c060326115fa8f39f151e0a9ef83e6,2348,2379,4727,1,0,false,"{""ollama_format"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""ollama_num_ctx"": 0, ""preserve_raw_text"": true, ""structured_output_name"": ""structured_smoke_text"", ""structured_output_schema"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""table_downsample_stride"": 1}","{""precision"": ""int4"", ""provider"": ""Parasail""}","{""completion_tokens"": 2379, ""prompt_tokens"": 2348, ""total_tokens"": 4727}"
results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075,trend,01_grazing_none_plot_rep1,grazing,plot,none,1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/review.csv,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/00_case_summary.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/validation_state.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_07/trend_request.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_07/trend_trace.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_07/trend_output.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_07/trend_thinking.txt,7,gini-coef-total-livestock-healthy,This plot represents the inequality in the distribution of healthy livestock across all households.,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_07/trend_evidence_plot.png,,True,accepted,,true,true,false,false,,openrouter,moonshotai/kimi-k2.5,Phala,unknown,1.0,32768,2,2.0,true,1,0,4110,a86965b7c3d5c4b4b2b0c38618fbfbdfdbe8a0637f62c819ef6f72875a6e610c,2369,2188,4557,1,0,false,"{""ollama_format"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""ollama_num_ctx"": 0, ""preserve_raw_text"": true, ""structured_output_name"": ""structured_smoke_text"", ""structured_output_schema"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""table_downsample_stride"": 1}","{""precision"": ""unknown"", ""provider"": ""Phala""}","{""completion_tokens"": 2188, ""prompt_tokens"": 2369, ""total_tokens"": 4557}"
results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075,trend,01_grazing_none_plot_rep1,grazing,plot,none,1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/review.csv,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/00_case_summary.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/validation_state.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_08/trend_request.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_08/trend_trace.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_08/trend_output.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_08/trend_thinking.txt,8,count households with [household-SL? = true],"This plot represents the number of households that have engaged in social learning, indicated by the variable household-SL being true.",results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_08/trend_evidence_plot.png,,True,accepted,,true,true,false,false,,openrouter,moonshotai/kimi-k2.5,BaseTen,fp4,1.0,32768,2,2.0,true,1,0,4145,b8f8ce0d9cf7be1085a99419e5ddfe297c5217d93594e6693dd8815e43492955,2347,1922,4269,1,0,false,"{""ollama_format"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""ollama_num_ctx"": 0, ""preserve_raw_text"": true, ""structured_output_name"": ""structured_smoke_text"", ""structured_output_schema"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""table_downsample_stride"": 1}","{""precision"": ""fp4"", ""provider"": ""BaseTen""}","{""completion_tokens"": 1922, ""prompt_tokens"": 2347, ""total_tokens"": 4269}"
results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075,trend,01_grazing_none_plot_rep1,grazing,plot,none,1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/review.csv,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/00_case_summary.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/validation_state.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_09/trend_request.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_09/trend_trace.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_09/trend_output.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_09/trend_thinking.txt,9,mean [destock-total] of households,This plot represents the average cumulative number of livestock that have been destocked across all households.,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/grazing/runs/run_20260313_103706_325075/cases/01_grazing_none_plot_rep1/03_trends/plot_09/trend_evidence_plot.png,,True,accepted,,true,true,false,false,,openrouter,moonshotai/kimi-k2.5,BaseTen,fp4,1.0,32768,2,2.0,true,1,0,4122,a91c32573f0260eba392fe4bd8f720d4a0a4522ecd4988a38fa85e384a570bdb,2372,2367,4739,1,0,false,"{""ollama_format"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""ollama_num_ctx"": 0, ""preserve_raw_text"": true, ""structured_output_name"": ""structured_smoke_text"", ""structured_output_schema"": {""description"": ""Structured smoke output schema for one text response."", ""properties"": {""response_text"": {""title"": ""Response Text"", ""type"": ""string""}}, ""required"": [""response_text""], ""title"": ""StructuredSmokeText"", ""type"": ""object""}, ""table_downsample_stride"": 1}","{""precision"": ""fp4"", ""provider"": ""BaseTen""}","{""completion_tokens"": 2367, ""prompt_tokens"": 2372, ""total_tokens"": 4739}"
