mean-incum,mean-incum.1,mean-incum.2,mean-incum.3,mean-incum.4,mean-incum.5,mean-incum.6,mean-incum.7,mean-incum.8,mean-incum.9,mean-incum.10,mean-incum.11,mean-incum.12,mean-incum.13,mean-incum.14,mean-incum.15,mean-incum.16,mean-incum.17,mean-incum.18,mean-incum.19,mean-incum.20,mean-incum.21,mean-incum.22,mean-incum.23,mean-incum.24,mean-incum.25,mean-incum.26,mean-incum.27,mean-incum.28,mean-incum.29
2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81
2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81,2654.81
2531.2851573375497,2508.373003598511,2516.0099421743566,2526.1991594142337,2527.45936475756,2519.9747370882146,2516.7158470176237,2507.831141143605,2480.4160693693966,2493.632837150792,2520.4726522453607,2497.8672704719593,2531.627142300301,2518.100071725723,2502.125528502447,2491.5887372972015,2524.611447205962,2532.2291386449087,2519.3195701226714,2514.228119988809,2531.045252097063,2493.6473454168454,2527.2833112574804,2521.0411283367885,2531.6012880137596,2504.7829093140344,2515.4704888353417,2525.951742019822,2554.559528236586,2517.142452276025
2390.4245602017154,2347.0402598698747,2391.3846384639046,2383.357583306158,2412.6550133155656,2354.61998282805,2387.0502797461295,2347.203666963991,2325.771338665468,2306.7366065834008,2387.449977187534,2337.0790511587898,2373.911043776362,2355.1407056296325,2332.286349101318,2352.5107479706094,2371.1555974768535,2393.9914825292863,2370.5785937306823,2396.2932337100906,2426.470199113881,2340.793676857684,2390.641076104226,2366.6341405554367,2408.580719689808,2361.527934223712,2391.07438893857,2384.5994809511067,2432.910746682372,2406.856861100683
2201.4802179347835,2136.5573549298297,2200.797788905633,2168.1389851914387,2244.2364414693275,2155.710803571918,2213.704157318748,2178.847180751905,2137.4889534509543,2130.7557822874764,2159.3539981017157,2116.7406841535612,2215.526648907372,2165.236993187017,2144.7980882631387,2158.1968661547494,2167.3568717166772,2188.7703581230576,2178.284591355773,2210.579419855251,2237.843497123398,2095.441178342545,2232.040798098218,2201.446633878013,2178.9416453870795,2222.8318290908996,2221.353446365372,2165.872785576602,2227.123138335239,2227.503076924006
1968.0252007576744,1912.645491587859,1969.672069357826,1920.7705059820132,2028.9119871189496,1948.26229225418,1962.4482425351264,1988.6210521253045,1883.384221012907,1917.4529644363329,1918.5655513614545,1858.83107771401,2017.964324215375,1932.435072699116,1904.2297511073807,1943.0900832276052,1967.6888655075372,1992.7975694525203,1999.722680792151,1977.482587886264,2046.600891360314,1835.4310987494775,2047.8446950004688,2039.4171456414972,1937.776677388008,2068.79950037267,2004.3472309173935,1937.483035773188,2010.379446892824,2025.51402469781
1692.9936801865583,1645.968336859701,1697.032685742275,1659.8879291218082,1788.2231627844774,1699.061445682465,1736.6577122256049,1725.9980208388754,1616.9498662340727,1688.1634749716611,1658.8554389434432,1640.6191482405438,1785.1025912015907,1682.6972160822986,1684.5113485679558,1683.495174152122,1737.1407855155546,1765.0626344072527,1778.1837657635415,1715.827467209819,1842.6730415524803,1584.7675615532885,1783.601451478099,1817.5831880078547,1721.9799434987483,1835.8707951182737,1758.7456918079174,1710.7454510469986,1742.6181495029196,1792.346010335068
1422.6257132361652,1400.9570709585737,1431.8554476946667,1405.730648965457,1559.7303749712016,1401.6298802768565,1527.1333901790424,1444.1893047217125,1379.121198919875,1470.6987235809383,1411.1400960646956,1446.601998813284,1553.6580685466354,1418.379193251429,1473.0263287107311,1445.2320693410982,1495.8025689482167,1524.268448690235,1537.503561486017,1443.7518278562336,1595.5419585804796,1380.26083233584,1533.689778494129,1570.0094813592868,1465.4498567485846,1570.0510159931123,1473.9415326667647,1516.7762021165784,1463.1387394414696,1559.416323466405
1266.5105351061325,1232.599808583445,1220.8529739168027,1200.923704270834,1372.242109659156,1208.2708353955052,1321.973686260228,1218.6475226753837,1204.6767835374512,1219.0050867557727,1209.9683743262626,1269.7907280126392,1353.4295825856518,1222.930697756059,1303.5448771418048,1245.9067472886754,1289.3476431048712,1310.1337395197595,1296.4027370699475,1221.7383881455576,1324.8809753193043,1191.6696560316325,1297.3153181407963,1308.5360828221192,1251.6851702955107,1296.5040259879722,1246.0527400541705,1294.5385911091662,1234.786883053298,1292.70862270225
1129.6961795346378,1091.9017706082948,1092.4136790963144,1073.536899410851,1236.9789623355523,1103.7034993489185,1163.2391190560063,1072.565671048416,1088.5353559925918,1096.5070148022842,1080.7276118715172,1123.7275146685165,1197.178585726879,1090.9910610962888,1163.7947223575782,1091.773134730596,1140.6707097501603,1167.1221625888031,1118.2980921758665,1109.481270947613,1141.411704000708,1067.7688844840811,1137.8809704896382,1112.1181027974308,1129.6039171599973,1098.4879499784256,1113.0908508376278,1145.9880303936384,1104.1281808575554,1142.3527799679482
985.460384752676,988.387139683056,1001.1573787118546,953.1264110751596,1106.8997954382817,983.6964832887046,1028.9786533589725,987.4187541060326,987.3398585201196,991.3840789250726,975.657364044514,1000.6367916668132,1061.22737785337,986.7382800815968,1020.0790642403144,997.1823614525998,1019.9464378606222,1019.2600224432032,1011.6586143702318,1026.3331796364666,1014.0913595594228,966.3784864473514,1023.5008139773968,967.3330578286096,1007.9221663739194,984.3797378901472,1013.0595759862877,1029.3545550789534,1014.8883886429572,1035.225198414516
956.8096975851154,962.4454586615648,964.8289006745812,949.2559938800978,1014.9738848915024,951.4326605778948,969.1580753282614,961.8045506870704,951.8897992307976,955.2601685107344,946.642358112089,961.974917167786,994.9483967926424,961.4363327165375,969.3937763543992,966.3062042614466,970.87347115954,974.4329230825056,972.5155937075684,970.1279983035854,966.1107668539888,945.7603169340756,981.6220726896672,957.4752535922051,954.2384314772198,955.2360276840092,961.505869758268,984.3313333580256,981.0714079748044,988.3672023871062
908.448367537623,897.8478553185436,900.2698805325017,897.6307909374784,924.3168680175036,898.8377248997184,904.21592018885,900.8372664721404,904.3672813104506,902.0477869675368,893.4913232902089,896.7580425053646,910.5227999377538,899.8649073453003,905.4308857673976,903.4552742858382,901.5230722760796,908.1973472954252,905.5755397647814,898.4836308482677,911.3079763006,893.419824687151,906.201874435878,907.1716737112388,893.3865725901563,901.6482674664868,903.3144168334394,903.4285699726476,912.097999393128,923.9981196366542
891.0356907659792,880.3499639313826,882.6469133903299,880.7341728878029,887.3554093616721,880.1599360851542,885.3066331943617,881.1295241149226,887.1058033920082,885.313205064076,875.0690661939908,880.2066486043508,885.2905667217337,882.5982457226606,887.3430302816823,886.859773575633,886.4365557552532,887.9916962484018,886.7810485905093,883.1914064104698,893.2307974458818,875.4293790386844,887.0424960114024,889.9704584164454,877.0645319314245,883.7626109888841,885.8108816030872,884.7050423426007,884.0996392521929,900.3315116094335
868.2272242801807,856.4612097172609,856.710751822923,856.5833611128097,862.8172059198203,855.5587810847386,861.1330121660998,857.4719571437138,865.0326055836456,860.5913096042603,850.391014957965,854.6966018651452,861.3762387506257,858.0966111664803,861.6016371656349,861.9995621186349,858.1598498519302,863.149700168009,861.2874152708459,858.0052279869358,867.9719907792187,849.2389644377969,861.0176320680102,865.0976999265644,851.98330258841,857.9398299104564,860.2032792489351,859.337239758244,859.7576012310437,860.632754283052
847.418842905387,834.0874394050672,836.6796592633542,836.3043002622979,842.5304897438904,834.0978589447543,839.4257358968016,835.2640775020081,844.9672898606022,840.6631052638468,829.4651661637463,834.8477189143588,840.5806547832573,837.2998622035345,841.3661755225188,843.7068495554691,838.8879825007132,841.1060515064977,841.5775601147491,836.8302384927191,847.219215408068,828.7196352238169,839.8629040969527,845.1490838175407,830.2390565155486,835.9740098644136,840.0814566234668,838.1154113692968,839.3482427062191,839.3321172186984
827.2426422125368,811.7819086051159,815.009069533617,814.681830362257,820.2596756710652,813.0548925236013,817.2433217838712,814.1134924164799,823.9916592868736,820.0828459205402,807.9801734344344,813.423054114772,819.026029867518,816.0485624381625,820.1995222927771,822.0374474341907,815.1200838899625,819.7245847467306,819.3020682559979,813.8311543664578,827.3161902144157,805.8016600769416,816.924419594956,823.9519469162689,807.2763360229575,813.3442754013865,817.5141630267398,814.7262182021666,817.1318795471628,817.5024617735312
800.800401602902,782.5528319258785,787.3321297748122,787.5496161825653,792.5450599000924,784.684590018722,788.2169123774128,786.2663057031278,798.6607470981912,792.0348516766663,781.5714358690029,785.4620866645121,791.4043439092591,789.1890136340786,792.7968079577155,795.0166571301717,788.6976031273663,791.4453484088397,791.2819303068654,788.5209187327736,799.068147074409,779.2970792699097,788.6636710837943,797.1081152021069,778.4901229716257,784.8812967855425,789.6195600061969,788.7267483890681,790.0768532831767,786.9326355455527
775.3293088925232,755.0852887512015,758.8096758808476,756.4677891739741,761.783781640652,757.9264074762549,759.5028816956549,757.966724271102,768.3285449098129,763.7061618286052,751.8638657617971,757.8433154770945,760.7056957066666,759.7886080939077,761.9945986226537,766.9489459259453,757.0000350599306,762.4916574846425,760.7778651458538,758.480656834209,771.1459558202232,749.8499964525345,757.3975787218645,768.5544811415396,748.1642465735148,755.9218041672418,761.708299985238,756.6169879712195,759.6339514166988,758.3143823211757
787.9005252371419,769.6801452829798,772.0512764308726,770.9210320359732,775.3613674367936,770.8525895637292,773.6225584270553,771.1487429962822,784.9593879724217,777.0591803594815,765.9030404216314,770.5134804388192,775.2083204176,774.214525931495,777.2906566064436,779.5997678033426,770.9517101798372,776.0314713677944,775.3029058165014,772.7713192965095,783.4390561835947,764.2409047854997,771.9701734056048,781.0962493234709,761.7852486932927,770.9265769667929,774.162140364287,772.7211282634696,775.4435564050688,771.5877896604114
769.3402555177906,750.050570116129,753.415110730163,749.5346698081369,757.2182444191649,752.5589421472621,754.3891059178505,752.7688748747628,765.1846418647802,760.9116331031267,746.5312281683499,750.0957409684448,754.9218747216526,754.7107796663221,759.2444862168322,761.6448308634726,751.0418773666823,758.8001243128738,756.5644439531708,754.1843967516381,763.9600193368447,745.2359087788336,750.8707494993148,758.4147383928947,739.604936395482,748.1107346234716,756.5746472157272,751.8899317399697,753.9529822480177,754.7245511641944
764.8150327170675,747.7537587240115,750.0187818966929,748.0375166846378,752.4595308170618,749.5211078582594,750.2199824682632,749.2413149566097,761.5029479213749,756.2959103300528,742.9706801229568,747.277533742345,750.56659283714,751.9956464432694,754.752106359954,759.2079551339201,748.7713285399525,754.8274678243398,753.1557898363058,750.0766872592097,760.1850370826179,742.554832333962,748.9683845629979,757.5963634063683,738.4308920227431,746.9262321699866,751.8130095642542,749.3782949854129,749.6994508604787,750.5627893969636
749.5529606038185,730.0219699529459,732.1835958909782,728.7000887019319,736.8978180470258,728.5756143119669,732.9557526943025,734.7997769446523,745.0275782826793,741.7002646701144,725.5105090943651,729.5951311541951,733.8008512139577,736.4875483290477,739.7388169083648,741.6503187520665,731.3872245390346,738.9236840018855,737.0896815573487,733.5835906158052,744.7607431537949,728.0957347279506,733.1116855835272,741.6885045618695,721.0071863247312,727.8893171621381,735.242375917399,731.4576753211402,730.4012266692383,734.7254815759993
715.1498712984036,691.0797555130232,697.1270104266541,692.1817838814356,703.9909323321763,691.0472140807594,701.4502821157326,697.4574591528888,710.7172407513793,707.335770459888,691.7757335956118,692.8306083595116,698.5418171467982,703.4274983741373,706.6569605731784,713.177717239829,694.0341387638448,704.3857484527896,707.5021023459859,701.2432370653637,708.15959948129,692.2786240286382,701.7864618016541,708.5074005135472,684.3126376698311,692.2730989126081,704.0355600616332,695.9823814388094,694.3854706612881,701.664483672586
706.2843854548807,683.0252131281326,685.9589811113791,681.7814584433504,692.2014834160357,685.3798761958021,697.535296097914,690.9053423514774,702.6546588270337,701.2412486209921,686.4579351636984,684.4465541029673,690.433825847754,695.9451698250961,698.6632147426943,705.0559112165965,688.7671664428046,695.0474946099159,697.7228784733471,688.3948639194972,699.2105922044852,687.4265045243167,696.4384139275226,697.4802926693371,671.3761206306168,686.3292857513594,696.1886088637054,686.2222699849708,691.6711635524117,690.9552553896941
670.5629812321049,640.5827607521534,647.4430075718287,645.3370403881323,654.589806901903,645.1210561205685,657.6668654362702,650.8917426968512,668.0379969536469,664.0504882130883,646.6234049208373,649.3131098991603,650.4317873956203,654.1954627948744,662.0627973486141,677.3628999219734,651.1226121943673,655.9613602132167,662.0718916713679,652.1393548282683,662.7677492970868,638.3956214737354,655.3174493165822,667.7414776327851,632.3157735823436,650.7359298010837,653.8591570606139,653.2167760772012,654.7656249004049,649.9582288405219
615.7628262916397,583.7188023707369,587.5922811548372,583.7268085324228,599.589596061188,583.5807509478424,597.8610949854822,587.2518987567389,607.7109461021278,597.8967201681884,587.4196687169814,583.3027940393935,587.0408233024341,588.7069133519141,598.4313001339975,625.8934084880731,595.5922001026177,603.0389460711632,595.9606255973696,588.4798552472996,607.0655329974738,577.2698456026973,598.631318874311,615.087181423987,564.6525513939888,586.4876318524387,595.3234484100864,593.9160894803438,598.8352511910948,594.56538372086
642.8120439193599,609.6043663403224,614.3387677759208,617.8567920417466,624.5891629753197,611.2459097554326,623.6150022066479,608.8017072691813,635.5284515891873,622.7737190794712,613.8651109032844,611.6177052675815,611.9039402139218,620.4339980113617,620.1429017873252,651.9051020498704,621.8176934175059,628.0795519168315,626.819246265025,620.4017257261798,628.4736993550482,609.1455490436263,621.1075713495687,633.5381490940271,600.7194235963584,613.2410871856437,621.3806566326003,622.3641775466813,623.7689931440902,617.3853261863344
444.8758522827507,415.1742712564993,419.3696860054489,422.4871712964053,431.37111963056753,424.3756173603497,424.3559592425068,403.0779300001234,449.35582096447814,440.9289736095226,402.4818880532856,415.7804790228445,413.29960746003775,431.6732050313293,431.2048756646316,466.6982789364964,424.19414595017065,438.147594473022,432.2925439669201,407.6002417718826,438.83128298203906,411.06409993462074,421.9732030040881,441.3852242572617,399.5337087375391,417.63822560370846,432.5333946505298,422.1892378764843,425.549672162171,436.88789501325664
353.1704682583247,303.85740322475016,316.7704880620874,313.38269832822573,332.23984155715436,300.8998335368942,317.16282056479145,311.44241976602956,357.4181503869128,356.04213442063264,301.5966900484318,316.84183540262353,316.21213773550033,327.8366468480395,333.09665217399936,362.13915126603473,314.1794082500701,330.52858090735936,325.3611217677549,312.3263169523634,340.14615403311655,300.10420484641844,329.9169969142651,329.33593195640617,289.47008643860113,310.82236139831093,325.14122869407447,319.99153616319524,324.1944279628427,332.1746769861466
357.24929290206063,319.73455765469436,328.4063700044259,328.4254651137743,347.55876784038685,320.82978740374597,335.40902504161005,320.4644489521132,359.99575967408276,369.7664688325559,315.9127531457784,324.21273184203665,326.3609198541052,339.5857467964932,342.7487239836141,375.49263004132257,322.60250805215657,341.14736981603374,332.9005520259612,328.01676658286937,352.49024043448435,303.03755624278995,332.8391886276277,341.1714176511907,308.9137504522426,326.9381990759009,343.77680156624695,332.76043867280276,331.6794036201518,344.9343883412644
284.99759522080484,240.6963597870329,256.9420697675549,253.55371364788607,268.94663167468156,247.02884873126376,244.66059998119027,248.39637620745737,287.0593604292274,296.8624443286352,232.7871518749281,249.4924170004201,259.1565048399285,265.56387989246804,263.9529000111296,308.27257131015693,249.24774737491785,264.77849639070155,269.02847797131176,250.46402978527777,279.3676738782032,235.7590116507096,256.27413708182706,274.4983994872018,224.6859142849083,239.92336522389468,264.3355781360549,258.80659659796476,258.4488284147287,265.68602421865404
280.3972175931437,240.71336610684483,251.94700875840735,245.80582271870472,263.19658198363743,245.74128003801192,241.17352429159905,236.63771230875813,276.4593757998958,288.9191635665531,230.88573965204327,243.01485982890057,242.4157674101388,258.3552135569156,253.4511938505899,293.2165191008849,235.54240132312424,260.1496795758515,266.41407537653816,244.8779727346123,264.7695498301071,230.70804565483311,256.20471993073613,263.55798148095516,223.2975015648633,236.97869789679655,258.7646626238259,251.82628765348412,255.49601778936477,252.2029839571013
