incum-total-try,incum-total-try.1,incum-total-try.2,incum-total-try.3,incum-total-try.4,incum-total-try.5,incum-total-try.6,incum-total-try.7,incum-total-try.8,incum-total-try.9,incum-total-try.10,incum-total-try.11,incum-total-try.12,incum-total-try.13,incum-total-try.14,incum-total-try.15,incum-total-try.16,incum-total-try.17,incum-total-try.18,incum-total-try.19,incum-total-try.20,incum-total-try.21,incum-total-try.22,incum-total-try.23,incum-total-try.24,incum-total-try.25,incum-total-try.26,incum-total-try.27,incum-total-try.28,incum-total-try.29
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,72,71,71,69,71,73,71,68,73,71,70,70,68,72,71,72,72,72,71,71,68,69,70,74,68,74,71,74,71
147,145,140,143,136,139,146,143,134,144,141,140,141,134,140,143,144,142,144,142,142,137,138,137,148,137,144,140,148,142
219,217,213,218,201,207,215,216,204,218,212,212,209,202,210,211,213,212,217,212,212,206,207,206,224,208,215,210,220,211
289,291,288,292,270,276,288,289,272,293,283,287,282,274,280,276,279,285,291,282,286,278,282,276,302,283,283,282,293,283
359,359,361,370,341,346,362,356,339,372,355,362,355,345,352,341,353,356,367,356,355,354,356,350,380,361,356,356,363,358
426,440,437,444,415,421,440,430,407,445,434,443,433,421,429,409,422,429,444,434,426,435,432,420,463,442,427,439,440,432
498,513,511,524,487,494,517,500,478,525,515,517,509,493,504,478,499,502,519,516,494,512,508,491,542,524,505,517,515,509
572,594,594,601,568,575,593,578,555,597,597,599,588,573,585,548,568,577,604,597,564,593,585,567,620,609,583,595,596,587
639,672,669,678,646,648,664,649,623,678,680,673,663,644,658,619,648,650,682,681,631,670,664,643,696,689,660,671,673,668
709,752,745,753,724,728,742,728,699,752,760,750,745,717,735,688,716,725,759,754,703,745,739,714,773,777,735,749,747,746
778,827,817,828,802,800,811,797,765,828,837,828,818,786,806,758,796,799,836,831,768,821,813,781,853,855,813,827,819,826
846,902,887,900,875,878,885,870,837,896,913,901,897,857,881,822,863,871,910,900,836,893,887,847,928,934,887,900,889,900
906,970,955,969,948,949,953,936,902,966,985,976,969,925,952,886,939,943,985,973,901,965,961,912,1002,1008,960,972,958,974
971,1043,1023,1038,1016,1025,1024,1005,972,1031,1056,1048,1043,994,1021,946,1004,1016,1055,1041,967,1036,1032,977,1076,1085,1029,1041,1025,1049
1030,1109,1088,1106,1085,1093,1091,1069,1036,1095,1125,1121,1111,1061,1090,1008,1078,1084,1126,1113,1030,1105,1105,1042,1150,1156,1100,1112,1093,1122
1093,1179,1152,1173,1151,1168,1161,1137,1100,1159,1194,1192,1181,1126,1156,1067,1143,1155,1196,1181,1094,1176,1174,1106,1224,1230,1169,1178,1160,1194
1152,1245,1217,1239,1219,1235,1226,1201,1163,1223,1261,1263,1248,1192,1222,1127,1211,1220,1266,1250,1155,1245,1246,1171,1296,1300,1240,1247,1226,1263
1214,1314,1281,1305,1284,1308,1295,1266,1226,1287,1329,1334,1315,1256,1287,1185,1276,1287,1334,1316,1218,1314,1312,1234,1370,1374,1308,1313,1292,1333
1273,1380,1345,1370,1351,1375,1360,1330,1289,1349,1395,1402,1381,1320,1353,1243,1343,1352,1403,1385,1278,1383,1381,1298,1440,1444,1377,1382,1359,1400
1334,1446,1409,1435,1415,1445,1428,1393,1352,1412,1463,1473,1448,1383,1417,1301,1407,1417,1470,1450,1340,1451,1447,1360,1512,1514,1444,1447,1423,1468
1393,1511,1473,1498,1481,1512,1493,1457,1415,1472,1529,1541,1514,1446,1483,1359,1473,1481,1537,1519,1400,1518,1513,1423,1580,1584,1512,1513,1490,1535
1453,1576,1536,1562,1544,1580,1560,1520,1477,1534,1596,1611,1581,1509,1547,1417,1537,1546,1605,1584,1462,1585,1579,1485,1651,1654,1578,1577,1554,1603
1512,1640,1599,1625,1608,1646,1625,1584,1540,1594,1661,1679,1646,1572,1612,1475,1603,1610,1672,1653,1522,1651,1644,1548,1719,1723,1644,1643,1620,1670
1572,1705,1662,1689,1671,1714,1692,1647,1602,1656,1727,1749,1712,1635,1676,1532,1667,1675,1740,1718,1584,1717,1710,1610,1790,1793,1709,1708,1684,1737
1631,1769,1725,1752,1735,1780,1757,1711,1665,1715,1791,1817,1777,1698,1741,1589,1731,1739,1806,1787,1644,1783,1775,1673,1857,1862,1775,1773,1750,1804
1691,1833,1788,1815,1798,1848,1823,1774,1726,1776,1856,1886,1842,1761,1804,1646,1794,1803,1874,1852,1706,1849,1840,1735,1928,1932,1840,1838,1814,1870
1750,1897,1851,1879,1862,1914,1887,1838,1788,1835,1920,1954,1907,1824,1869,1703,1858,1867,1940,1920,1766,1914,1905,1798,1995,2001,1905,1903,1879,1935
1810,1961,1914,1942,1925,1981,1952,1901,1849,1894,1984,2023,1972,1887,1932,1760,1921,1931,2008,1985,1828,1980,1969,1860,2065,2071,1970,1968,1943,2000
1869,2025,1977,2006,1989,2047,2016,1965,1910,1953,2048,2089,2038,1950,1996,1817,1985,1995,2074,2052,1888,2045,2034,1923,2132,2140,2035,2033,2008,2065
1929,2089,2040,2069,2051,2114,2081,2028,1971,2011,2112,2157,2102,2013,2059,1874,2048,2059,2141,2118,1949,2110,2097,1985,2201,2209,2099,2098,2072,2129
1988,2153,2103,2133,2114,2180,2145,2092,2031,2071,2176,2223,2167,2076,2123,1931,2112,2123,2207,2184,2009,2175,2161,2048,2268,2278,2163,2163,2137,2194
2048,2217,2166,2196,2176,2247,2209,2155,2093,2129,2240,2291,2231,2139,2186,1987,2175,2187,2273,2250,2070,2240,2224,2110,2337,2347,2227,2228,2201,2258
