Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Example,0.03458200,0.00493873,0.01624152,0.07311591,0.04882212,0.66851477
Evidence,0.33015535,0.10162645,0.70960644,0.77555387,0.28595817,1.04072969
Evidence_AND_Example,0.66411298,0.13691300,0.84755033,1.08188323,0.42441337,1.75131822
Evidence_AND_Insights,0.46191220,0.15733215,1.74480241,1.85955661,1.30580957,2.71154256
Evidence_AND_Role,7.13513349,0.15032270,1.37201232,4.38720630,2.25701222,1.66574902
Insights,0.02056020,0.04145743,0.98503717,0.97783262,0.95455973,0.89041308
Insights_AND_Example,0.05964409,0.06178517,1.00362184,1.05666585,1.01356224,1.73316065
Role,6.79820753,0.01411451,0.63509505,3.58709507,1.95109172,0.08934777
Role_AND_Example,6.91936722,0.01963556,0.65142505,3.66295000,2.00891517,0.76192519
Role_AND_Insights,6.82013650,0.05911186,1.62290974,4.57399447,2.90684373,1.05253646
Summarizer,12.60089033,19.65969090,17.03625440,14.18299278,16.61410073,16.19149322
Summarizer_AND_Example,12.73150006,19.69001828,17.10151986,14.44344488,16.76947514,19.34935091
Summarizer_AND_Evidence,13.01416569,20.02311665,18.89366672,15.15889620,17.03118576,17.79266320
Summarizer_AND_Insights,12.95628210,19.94060551,19.56195311,15.33722883,17.76839637,17.18485664
Summarizer_AND_Role,19.45335025,19.93933111,17.81830404,18.84158339,18.65985396,17.11639863
