Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Evidence,0.32877340,0.10162645,0.66137413,0.77555387,0.28595817,0.61712879
Evidence_AND_Example,0.66133317,0.13691300,0.78994191,1.08188323,0.42441337,1.03849145
Evidence_AND_Insights,0.45997875,0.15733215,1.62620732,1.85955661,1.30580957,1.60788241
Evidence_AND_Role,7.10526757,0.15032270,1.27875595,4.38720630,2.25701222,0.98775088
Evidence_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example,0.03443725,0.00493873,0.01513757,0.07311591,0.04882212,0.39641389
Example_AND_Insights,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example_AND_Role,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Insights,0.02047414,0.04145743,0.91808370,0.97783262,0.95455973,0.52799449
Insights_AND_Example,0.05939444,0.06178517,0.93540516,1.05666585,1.01356224,1.02772442
Insights_AND_Role,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Insights_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Role,6.76975189,0.01411451,0.59192732,3.58709507,1.95109172,0.05298117
Role_AND_Example,6.89040444,0.01963556,0.60714736,3.66295000,2.00891517,0.45180412
Role_AND_Insights,6.79158908,0.05911186,1.51259975,4.57399447,2.90684373,0.62412992
Role_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Summarizer,12.54814608,19.65969090,15.87829163,14.18299278,16.61410073,9.60118328
Summarizer_AND_Evidence,12.95969157,20.02311665,17.60945471,15.15889620,17.03118576,10.55064027
Summarizer_AND_Example,12.67820911,19.69001828,15.93912096,14.44344488,16.76947514,11.47372030
Summarizer_AND_Insights,12.90205026,19.94060551,18.23231733,15.33722883,17.76839637,10.19022496
Summarizer_AND_Role,19.37192327,19.93933111,16.60718497,18.84158339,18.65985396,10.14963093
