Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
bart,plot,off,off,off,0.028514,0.25356,0.462197,0.114449,0.168331,26.775795
bert,plot,off,off,off,0.008424,0.261892,0.286388,0.053097,0.107248,6.510098
t5,plot,off,off,off,0.02053,0.235663,0.464555,0.08472,0.177979,29.07557
longformer_ext,plot,off,off,off,0.020651,0.170805,0.343284,0.02994,0.116418,26.993056
bart,table,off,off,off,0.014912,0.234101,0.417553,0.085333,0.159574,9.805321
bert,table,off,off,off,0.007063,0.253366,0.252331,0.057111,0.098738,-1.205506
t5,table,off,off,off,0.017834,0.242958,0.394872,0.082262,0.161538,14.367826
longformer_ext,table,off,off,off,0.005042,0.156995,0.266515,0.015982,0.091116,23.779147
bart,plot+table,off,off,off,0.023767,0.244677,0.443526,0.088398,0.179063,13.593698
bert,plot+table,off,off,off,0.007519,0.270937,0.289044,0.047841,0.107226,6.698876
t5,plot+table,off,off,off,0.019731,0.24904,0.428571,0.081461,0.159664,35.429825
longformer_ext,plot+table,off,off,off,0.00643,0.197319,0.272727,0.036017,0.109937,19.463437
bart,plot,on,off,off,0.024442,0.238828,0.445055,0.096419,0.164835,11.482778
bert,plot,on,off,off,0.00608,0.264628,0.289011,0.051705,0.110989,0.832293
t5,plot,on,off,off,0.008755,0.1763,0.402536,0.031797,0.142631,17.80981
longformer_ext,plot,on,off,off,0.014564,0.241251,0.370198,0.077013,0.160652,14.476476
bart,table,on,off,off,0.011498,0.223041,0.387097,0.043114,0.145759,7.237159
bert,table,on,off,off,0.003384,0.236652,0.248996,0.044221,0.096386,-0.293034
t5,table,on,off,off,0.006804,0.20108,0.403622,0.020752,0.14489,13.847575
longformer_ext,table,on,off,off,0.012,0.24848,0.322517,0.039409,0.145526,25.440394
bart,plot+table,on,off,off,0.013358,0.264983,0.42503,0.080473,0.165289,33.191625
bert,plot+table,on,off,off,0.003336,0.251766,0.260267,0.043586,0.103909,10.574225
t5,plot+table,on,off,off,0.013031,0.223168,0.405914,0.051213,0.145161,30.405826
longformer_ext,plot+table,on,off,off,0.008344,0.219612,0.356322,0.064516,0.149425,23.037206
bart,plot,off,on,off,0.015191,0.233368,0.421053,0.083897,0.17274,16.661918
bert,plot,off,on,off,0.007506,0.275611,0.283791,0.052779,0.108805,-3.509089
t5,plot,off,on,off,0.019568,0.245808,0.434415,0.076379,0.163611,10.835
longformer_ext,plot,off,on,off,0.018022,0.21516,0.372093,0.053988,0.124847,-3.529899
bart,table,off,on,off,0.010307,0.246618,0.375536,0.060215,0.145923,3.12551
bert,table,off,on,off,0.003266,0.245385,0.209462,0.030757,0.081682,-3.317693
t5,table,off,on,off,0.015513,0.26847,0.38273,0.077193,0.147025,5.93119
longformer_ext,table,off,on,off,0.005705,0.153137,0.258974,0.023136,0.107692,20.114555
bart,plot+table,off,on,off,0.018654,0.237071,0.406139,0.08284,0.153483,17.607869
bert,plot+table,off,on,off,0.008795,0.246944,0.218935,0.049915,0.087912,-3.12363
t5,plot+table,off,on,off,0.022002,0.259793,0.421053,0.081535,0.148325,14.818764
longformer_ext,plot+table,off,on,off,0.011995,0.2004,0.257475,0.03827,0.093023,-34.661915
bart,plot,off,off,on,0.029182,0.257241,0.482353,0.123894,0.197059,28.171486
bert,plot,off,off,on,0.007253,0.282177,0.324718,0.067684,0.117959,1.032115
t5,plot,off,off,on,0.046716,0.231277,0.446841,0.126739,0.187982,16.876765
longformer_ext,plot,off,off,on,0.011885,0.161706,0.341216,0.057627,0.148649,20.921847
bart,table,off,off,on,0.019232,0.225379,0.407514,0.075362,0.17341,14.945832
bert,table,off,off,on,0.003974,0.262052,0.276923,0.040665,0.107077,0.902565
t5,table,off,off,on,0.020834,0.222534,0.413793,0.089337,0.172414,8.975596
longformer_ext,table,off,off,on,0.0,0.010194,0.022831,0.004587,0.018265,-753.355
bart,plot+table,off,off,on,0.017745,0.261473,0.439086,0.096692,0.177665,16.104468
bert,plot+table,off,off,on,0.00724,0.272511,0.276128,0.048458,0.10451,3.166697
t5,plot+table,off,off,on,0.024184,0.227555,0.394453,0.1051,0.172573,13.793962
longformer_ext,plot+table,off,off,on,0.006349,0.209637,0.355913,0.025316,0.110218,23.333593
bart,plot,on,off,on,0.020038,0.230488,0.428571,0.075676,0.172507,20.086538
bert,plot,on,off,on,0.010583,0.273315,0.308764,0.067403,0.123041,0.829567
t5,plot,on,off,on,0.012585,0.196923,0.399408,0.053412,0.156805,22.758333
longformer_ext,plot,on,off,on,0.015776,0.237925,0.325628,0.058409,0.140704,8.904442
bart,table,on,off,on,0.012798,0.268994,0.443128,0.078385,0.170616,24.672147
bert,table,on,off,on,0.005541,0.244344,0.238051,0.049678,0.096507,0.871063
t5,table,on,off,on,0.008615,0.22333,0.434555,0.034121,0.138743,29.318533
longformer_ext,table,on,off,on,0.008922,0.269294,0.357914,0.055856,0.142086,19.158184
bart,plot+table,on,off,on,0.024564,0.244663,0.411917,0.083117,0.160622,17.486153
bert,plot+table,on,off,on,0.004577,0.245109,0.261516,0.043629,0.099059,3.116649
t5,plot+table,on,off,on,0.010304,0.195241,0.40625,0.042735,0.15625,19.738686
longformer_ext,plot+table,on,off,on,0.008174,0.216197,0.353741,0.056818,0.145125,22.171176
bart,plot,on,on,off,0.018838,0.245803,0.424821,0.074163,0.157518,11.452094
bert,plot,on,on,off,0.008409,0.254401,0.254958,0.043478,0.096317,-3.901652
t5,plot,on,on,off,0.009494,0.216672,0.408,0.042781,0.125333,8.739218
longformer_ext,plot,on,on,off,0.007556,0.248225,0.386651,0.041522,0.131185,11.596099
bart,table,on,on,off,0.010871,0.25657,0.3987,0.058632,0.140845,5.655735
bert,table,on,on,off,0.004782,0.231063,0.218575,0.036316,0.085529,-4.113913
t5,table,on,on,off,0.010501,0.198249,0.358396,0.027638,0.122807,5.867654
longformer_ext,table,on,on,off,0.013412,0.247394,0.37234,0.040512,0.134043,1.283077
bart,plot+table,on,on,off,0.015401,0.23557,0.420398,0.069825,0.154229,14.917849
bert,plot+table,on,on,off,0.005588,0.252215,0.254722,0.048473,0.095884,-1.941032
t5,plot+table,on,on,off,0.007516,0.200779,0.383202,0.026316,0.139108,22.352192
longformer_ext,plot+table,on,on,off,0.007327,0.231385,0.345865,0.053821,0.139635,22.9355
bart,plot,off,on,on,0.023567,0.266453,0.410714,0.086957,0.178571,14.174755
bert,plot,off,on,on,0.006882,0.254776,0.269536,0.043084,0.100793,-5.140817
t5,plot,off,on,on,0.019351,0.207861,0.367288,0.07482,0.146341,1.283607
longformer_ext,plot,off,on,on,0.013934,0.238344,0.353939,0.065614,0.130909,6.034413
bart,table,off,on,on,0.013192,0.233661,0.37609,0.069913,0.154421,14.847167
bert,table,off,on,on,0.005895,0.250564,0.223816,0.036381,0.089909,-11.367215
t5,table,off,on,on,0.016818,0.269148,0.432234,0.073439,0.166056,5.086152
longformer_ext,table,off,on,on,0.010297,0.198567,0.303103,0.028708,0.121718,6.836334
bart,plot+table,off,on,on,0.018234,0.254696,0.438188,0.078528,0.171359,18.139231
bert,plot+table,off,on,on,0.012263,0.2852,0.244879,0.049595,0.087661,-4.647727
t5,plot+table,off,on,on,0.016225,0.259973,0.4,0.086294,0.162025,15.403529
longformer_ext,plot+table,off,on,on,0.010284,0.205876,0.349166,0.030888,0.115533,10.256345
bart,plot,on,on,on,0.021072,0.293053,0.452467,0.091677,0.170878,20.088685
bert,plot,on,on,on,0.007171,0.274869,0.25847,0.051357,0.100678,-6.17608
t5,plot,on,on,on,0.009076,0.211852,0.394218,0.031621,0.134034,9.785245
