Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Example,0.02802402,0.00039363,0.00054480,0.01681932,0.03661865,0.73600267
Evidence,0.41958595,0.11286446,2.14638146,1.87952348,0.95107861,1.45321358
Evidence_AND_Example,0.59832445,0.12112131,2.29968063,1.98553314,1.11646973,2.20754400
Evidence_AND_Insights,0.44132335,0.22274048,2.66622864,2.92009393,2.09079978,3.11324004
Evidence_AND_Role,3.86960330,0.15804442,2.48979614,5.40029533,2.86187162,2.11633844
Insights,0.01027762,0.10101948,0.46186894,0.96905896,1.08451680,0.78581700
Insights_AND_Example,0.11763734,0.11991124,0.54869883,1.04384825,1.16724623,1.76427012
Role,3.40207997,0.02695097,0.27679135,3.50390062,1.88542031,0.01119314
Role_AND_Example,3.46210842,0.02735021,0.29011036,3.52187970,1.95368154,0.78752356
Role_AND_Insights,3.42160322,0.12901798,0.74540899,4.49490909,2.96998512,0.85499692
Summarizer,15.47431231,19.64497678,15.55783040,13.19707651,15.70179537,15.82965499
Summarizer_AND_Example,15.56918523,19.65778441,15.59139671,13.39019013,15.85351297,19.09828540
Summarizer_AND_Evidence,16.41468401,19.90912392,19.96820515,15.55556866,16.98873827,18.21397841
Summarizer_AND_Insights,16.69273086,19.91425605,19.84766460,14.52057123,17.24422648,16.82530464
Summarizer_AND_Role,20.07851996,19.85444467,17.10939300,17.60073166,18.09403852,16.20263708
