Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
bart,plot,off,off,off,0.028514,0.25356,0.462197,0.114449,0.168331,26.775795
bart,plot,off,off,off,0.021378,0.14253,0.370983,0.086477,0.165289,26.775795
bart,plot,off,off,off,0.027578,0.193771,0.435556,0.095768,0.184444,26.775795
bert,plot,off,off,off,0.008424,0.261892,0.286388,0.053097,0.107248,6.510098
bert,plot,off,off,off,0.02342,0.283616,0.433573,0.096976,0.16211,6.510098
bert,plot,off,off,off,0.008563,0.279483,0.386076,0.074974,0.132911,6.510098
t5,plot,off,off,off,0.02053,0.235663,0.464555,0.08472,0.177979,29.07557
t5,plot,off,off,off,0.014956,0.128113,0.323501,0.062917,0.14843,29.07557
t5,plot,off,off,off,0.033839,0.192735,0.452436,0.083721,0.183295,29.07557
longformer_ext,plot,off,off,off,0.020651,0.170805,0.343284,0.02994,0.116418,26.993056
longformer_ext,plot,off,off,off,0.011041,0.119096,0.274102,0.047348,0.122873,26.993056
longformer_ext,plot,off,off,off,0.012957,0.162183,0.388953,0.066897,0.135788,26.993056
bart,table,off,off,off,0.014912,0.234101,0.417553,0.085333,0.159574,9.805321
bart,table,off,off,off,0.018769,0.136311,0.331579,0.063269,0.150877,9.805321
bart,table,off,off,off,0.02974,0.2067,0.473186,0.092729,0.168244,9.805321
bert,table,off,off,off,0.007063,0.253366,0.252331,0.057111,0.098738,-1.205506
bert,table,off,off,off,0.016646,0.28031,0.399819,0.069715,0.148349,-1.205506
bert,table,off,off,off,0.010267,0.275245,0.352127,0.082178,0.118694,-1.205506
t5,table,off,off,off,0.017834,0.242958,0.394872,0.082262,0.161538,14.367826
t5,table,off,off,off,0.017827,0.148498,0.357877,0.049743,0.15411,14.367826
t5,table,off,off,off,0.040677,0.192129,0.40858,0.073695,0.159346,14.367826
longformer_ext,table,off,off,off,0.005042,0.156995,0.266515,0.015982,0.091116,23.779147
longformer_ext,table,off,off,off,0.005928,0.103432,0.244866,0.02057,0.096367,23.779147
longformer_ext,table,off,off,off,0.00661,0.130295,0.287837,0.026047,0.096565,23.779147
bart,plot+table,off,off,off,0.023767,0.244677,0.443526,0.088398,0.179063,13.593698
bart,plot+table,off,off,off,0.021936,0.14792,0.357271,0.07554,0.152603,13.593698
bart,plot+table,off,off,off,0.029837,0.194794,0.445405,0.086674,0.181622,13.593698
bert,plot+table,off,off,off,0.007519,0.270937,0.289044,0.047841,0.107226,6.698876
bert,plot+table,off,off,off,0.027767,0.29389,0.45057,0.089439,0.159696,6.698876
bert,plot+table,off,off,off,0.01072,0.289736,0.386423,0.074229,0.131593,6.698876
t5,plot+table,off,off,off,0.019731,0.24904,0.428571,0.081461,0.159664,35.429825
t5,plot+table,off,off,off,0.011389,0.135043,0.344828,0.049091,0.15608,35.429825
t5,plot+table,off,off,off,0.033768,0.189239,0.392114,0.065862,0.170865,35.429825
longformer_ext,plot+table,off,off,off,0.00643,0.197319,0.272727,0.036017,0.109937,19.463437
longformer_ext,plot+table,off,off,off,0.018873,0.152866,0.322339,0.06006,0.152924,19.463437
longformer_ext,plot+table,off,off,off,0.00809,0.172841,0.340611,0.054243,0.122271,19.463437
bart,plot,on,off,off,0.024442,0.238828,0.445055,0.096419,0.164835,11.482778
bart,plot,on,off,off,0.024321,0.156888,0.38172,0.082585,0.175627,11.482778
bart,plot,on,off,off,0.039866,0.216434,0.461704,0.101622,0.174757,11.482778
bert,plot,on,off,off,0.00608,0.264628,0.289011,0.051705,0.110989,0.832293
bert,plot,on,off,off,0.011974,0.279845,0.435688,0.087035,0.158514,0.832293
bert,plot,on,off,off,0.011157,0.284976,0.364537,0.077343,0.137692,0.832293
t5,plot,on,off,off,0.008755,0.1763,0.402536,0.031797,0.142631,17.80981
t5,plot,on,off,off,0.004156,0.113699,0.314033,0.037365,0.129539,17.80981
t5,plot,on,off,off,0.005204,0.145455,0.4,0.045894,0.139759,17.80981
longformer_ext,plot,on,off,off,0.014564,0.241251,0.370198,0.077013,0.160652,14.476476
longformer_ext,plot,on,off,off,0.013485,0.175967,0.415397,0.072289,0.178027,14.476476
longformer_ext,plot,on,off,off,0.029199,0.194966,0.410208,0.064394,0.147448,14.476476
bart,table,on,off,off,0.011498,0.223041,0.387097,0.043114,0.145759,7.237159
bart,table,on,off,off,0.012143,0.161073,0.378776,0.05233,0.153469,7.237159
bart,table,on,off,off,0.037267,0.215355,0.447876,0.071567,0.166023,7.237159
bert,table,on,off,off,0.003384,0.236652,0.248996,0.044221,0.096386,-0.293034
bert,table,on,off,off,0.010122,0.271378,0.379832,0.065601,0.147059,-0.293034
bert,table,on,off,off,0.008217,0.260412,0.327704,0.068524,0.122319,-0.293034
t5,table,on,off,off,0.006804,0.20108,0.403622,0.020752,0.14489,13.847575
t5,table,on,off,off,0.00819,0.130273,0.339363,0.037964,0.137812,13.847575
t5,table,on,off,off,0.011102,0.175109,0.384774,0.043299,0.131687,13.847575
longformer_ext,table,on,off,off,0.012,0.24848,0.322517,0.039409,0.145526,25.440394
longformer_ext,table,on,off,off,0.014163,0.193957,0.409964,0.064148,0.162278,25.440394
longformer_ext,table,on,off,off,0.024527,0.211335,0.371711,0.056013,0.139803,25.440394
bart,plot+table,on,off,off,0.013358,0.264983,0.42503,0.080473,0.165289,33.191625
bart,plot+table,on,off,off,0.026697,0.199129,0.451822,0.092457,0.181377,33.191625
