Reference family,ABM,Summary,LLM,BLEU,METEOR,R-1,R-2,R-L,Reading ease
gpt5.2_short,fauna,bart,moonshotai/kimi-k2.5,0.05,0.25,0.50,0.13,0.21,33.19
gpt5.2_short,fauna,bert,moonshotai/kimi-k2.5,0.02,0.30,0.41,0.09,0.15,10.57
gpt5.2_short,fauna,longformer_ext,moonshotai/kimi-k2.5,0.04,0.24,0.45,0.09,0.16,37.49
gpt5.2_short,fauna,t5,moonshotai/kimi-k2.5,0.05,0.23,0.47,0.12,0.19,35.79
gpt5.2_short,grazing,bart,moonshotai/kimi-k2.5,0.02,0.19,0.47,0.11,0.17,36.98
gpt5.2_short,grazing,bert,moonshotai/kimi-k2.5,0.02,0.28,0.53,0.13,0.17,14.24
gpt5.2_short,grazing,longformer_ext,moonshotai/kimi-k2.5,0.03,0.23,0.51,0.11,0.17,38.29
gpt5.2_short,grazing,t5,moonshotai/kimi-k2.5,0.01,0.17,0.43,0.09,0.16,44.10
gpt5.2_short,milk_consumption,bart,moonshotai/kimi-k2.5,0.06,0.22,0.47,0.15,0.23,37.09
gpt5.2_short,milk_consumption,bert,moonshotai/kimi-k2.5,0.05,0.30,0.54,0.15,0.19,9.52
gpt5.2_short,milk_consumption,longformer_ext,moonshotai/kimi-k2.5,0.04,0.23,0.50,0.12,0.18,42.88
gpt5.2_short,milk_consumption,t5,moonshotai/kimi-k2.5,0.03,0.17,0.42,0.11,0.17,47.49
