Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Example,0.03203094,0.00009471,0.01166205,0.03117118,0.01440257,0.85375890
Evidence,1.12031599,0.21169591,3.27521713,4.99820212,2.63658806,2.92014103
Evidence_AND_Example,1.39533747,0.23159160,3.42383779,5.22062071,2.92999218,3.96266879
Evidence_AND_Insights,1.23455982,0.30898448,3.59206064,6.44931819,4.05695361,4.42573957
Evidence_AND_Role,5.83088826,0.51735876,4.76141318,6.09799905,3.19346024,4.15483403
Insights,0.07446303,0.08532385,0.15630701,1.41703333,1.38628406,0.42016329
Insights_AND_Example,0.43387748,0.13044886,0.54633905,1.81513525,1.68812292,1.75179159
Role,4.52389071,0.27282120,1.30607967,1.07657573,0.32873993,0.25080741
Role_AND_Example,4.56960650,0.27298194,1.35063940,1.10993914,0.53466171,1.47966993
Role_AND_Insights,4.59881304,0.35814623,1.48359726,2.58155123,1.71619413,0.68902624
Summarizer,13.23252048,19.26930530,12.24226835,11.60018238,14.13838968,13.76195881
Summarizer_AND_Example,13.31606389,19.28220459,12.31303371,11.95248527,14.56523666,16.94159545
Summarizer_AND_Evidence,15.33704259,19.58783130,18.43253607,17.73498875,17.64354057,19.21670542
Summarizer_AND_Insights,14.76263513,19.45584770,16.22205096,13.66881780,16.67704886,14.92652255
Summarizer_AND_Role,19.53795468,20.01536355,20.88295773,14.24597987,18.49038480,14.24461699
