Reference family,ABM,Summary,LLM,BLEU,METEOR,R-1,R-2,R-L,Reading ease
author,fauna,bart,moonshotai/kimi-k2.5,0.04,0.29,0.48,0.12,0.20,33.19
author,fauna,bert,moonshotai/kimi-k2.5,0.02,0.29,0.32,0.07,0.12,10.57
author,fauna,longformer_ext,moonshotai/kimi-k2.5,0.02,0.27,0.39,0.08,0.16,37.49
author,fauna,t5,moonshotai/kimi-k2.5,0.05,0.30,0.47,0.13,0.20,35.79
author,grazing,bart,moonshotai/kimi-k2.5,0.04,0.25,0.50,0.15,0.24,36.98
author,grazing,bert,moonshotai/kimi-k2.5,0.01,0.30,0.43,0.11,0.16,14.24
author,grazing,longformer_ext,moonshotai/kimi-k2.5,0.04,0.26,0.49,0.11,0.19,38.29
author,grazing,t5,moonshotai/kimi-k2.5,0.04,0.24,0.49,0.13,0.21,44.10
author,milk_consumption,bart,moonshotai/kimi-k2.5,0.09,0.26,0.51,0.21,0.26,37.09
author,milk_consumption,bert,moonshotai/kimi-k2.5,0.06,0.33,0.53,0.16,0.21,9.52
author,milk_consumption,longformer_ext,moonshotai/kimi-k2.5,0.07,0.27,0.56,0.16,0.23,42.88
author,milk_consumption,t5,moonshotai/kimi-k2.5,0.04,0.20,0.45,0.12,0.18,47.49
gpt5.2_long,fauna,none,moonshotai/kimi-k2.5,0.05,0.32,0.59,0.21,0.25,27.90
gpt5.2_long,grazing,none,moonshotai/kimi-k2.5,0.05,0.32,0.64,0.24,0.26,25.43
gpt5.2_long,milk_consumption,none,moonshotai/kimi-k2.5,0.08,0.31,0.61,0.23,0.24,28.04
gpt5.2_short,fauna,bart,moonshotai/kimi-k2.5,0.05,0.25,0.50,0.13,0.21,33.19
gpt5.2_short,fauna,bert,moonshotai/kimi-k2.5,0.02,0.30,0.41,0.09,0.15,10.57
gpt5.2_short,fauna,longformer_ext,moonshotai/kimi-k2.5,0.04,0.24,0.45,0.09,0.16,37.49
gpt5.2_short,fauna,t5,moonshotai/kimi-k2.5,0.05,0.23,0.47,0.12,0.19,35.79
gpt5.2_short,grazing,bart,moonshotai/kimi-k2.5,0.02,0.19,0.47,0.11,0.17,36.98
gpt5.2_short,grazing,bert,moonshotai/kimi-k2.5,0.02,0.28,0.53,0.13,0.17,14.24
gpt5.2_short,grazing,longformer_ext,moonshotai/kimi-k2.5,0.03,0.23,0.51,0.11,0.17,38.29
gpt5.2_short,grazing,t5,moonshotai/kimi-k2.5,0.01,0.17,0.43,0.09,0.16,44.10
gpt5.2_short,milk_consumption,bart,moonshotai/kimi-k2.5,0.06,0.22,0.47,0.15,0.23,37.09
gpt5.2_short,milk_consumption,bert,moonshotai/kimi-k2.5,0.05,0.30,0.54,0.15,0.19,9.52
gpt5.2_short,milk_consumption,longformer_ext,moonshotai/kimi-k2.5,0.04,0.23,0.50,0.12,0.18,42.88
gpt5.2_short,milk_consumption,t5,moonshotai/kimi-k2.5,0.03,0.17,0.42,0.11,0.17,47.49
modeler,fauna,bart,moonshotai/kimi-k2.5,0.04,0.20,0.45,0.11,0.19,33.19
modeler,fauna,bert,moonshotai/kimi-k2.5,0.03,0.30,0.46,0.10,0.17,10.57
modeler,fauna,longformer_ext,moonshotai/kimi-k2.5,0.04,0.24,0.47,0.11,0.20,37.49
modeler,fauna,t5,moonshotai/kimi-k2.5,0.02,0.17,0.40,0.09,0.17,35.79
modeler,milk_consumption,bart,moonshotai/kimi-k2.5,0.06,0.22,0.48,0.15,0.22,37.09
modeler,milk_consumption,bert,moonshotai/kimi-k2.5,0.05,0.29,0.48,0.17,0.18,9.52
modeler,milk_consumption,longformer_ext,moonshotai/kimi-k2.5,0.07,0.23,0.45,0.16,0.21,42.88
modeler,milk_consumption,t5,moonshotai/kimi-k2.5,0.04,0.20,0.42,0.13,0.18,47.49
