Reference family,Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
author,Example,0.03458200,0.00493873,0.01624152,0.07311591,0.04882212,0.66851477
author,Evidence,0.33015535,0.10162645,0.70960644,0.77555387,0.28595817,1.04072969
author,Evidence_AND_Example,0.66411298,0.13691300,0.84755033,1.08188323,0.42441337,1.75131822
author,Evidence_AND_Insights,0.46191220,0.15733215,1.74480241,1.85955661,1.30580957,2.71154256
author,Evidence_AND_Role,7.13513349,0.15032270,1.37201232,4.38720630,2.25701222,1.66574902
author,Insights,0.02056020,0.04145743,0.98503717,0.97783262,0.95455973,0.89041308
author,Insights_AND_Example,0.05964409,0.06178517,1.00362184,1.05666585,1.01356224,1.73316065
author,Role,6.79820753,0.01411451,0.63509505,3.58709507,1.95109172,0.08934777
author,Role_AND_Example,6.91936722,0.01963556,0.65142505,3.66295000,2.00891517,0.76192519
author,Role_AND_Insights,6.82013650,0.05911186,1.62290974,4.57399447,2.90684373,1.05253646
author,Summarizer,12.60089033,19.65969090,17.03625440,14.18299278,16.61410073,16.19149322
author,Summarizer_AND_Example,12.73150006,19.69001828,17.10151986,14.44344488,16.76947514,19.34935091
author,Summarizer_AND_Evidence,13.01416569,20.02311665,18.89366672,15.15889620,17.03118576,17.79266320
author,Summarizer_AND_Insights,12.95628210,19.94060551,19.56195311,15.33722883,17.76839637,17.18485664
author,Summarizer_AND_Role,19.45335025,19.93933111,17.81830404,18.84158339,18.65985396,17.11639863
gpt5.2_long,Example,0.33813224,0.37380173,0.15126232,0.06239955,0.06882906,1.81133311
gpt5.2_long,Evidence,8.77481547,23.97363663,13.39687541,12.15323358,6.54253733,5.76139114
gpt5.2_long,Evidence_AND_Example,9.49067629,24.48325941,13.73657560,12.34938895,6.69600221,7.85983090
gpt5.2_long,Evidence_AND_Insights,16.00919823,24.15752432,20.93238544,15.33707058,9.57666653,20.41262614
gpt5.2_long,Evidence_AND_Role,17.38071174,24.46709548,17.36391860,21.85689226,21.91935077,8.47218268
gpt5.2_long,Insights,6.99880332,0.05913102,7.41477979,2.99948046,2.98398431,14.63403064
gpt5.2_long,Insights_AND_Example,7.75660001,0.60453589,7.58782730,3.11442628,3.07248364,16.61499711
gpt5.2_long,Role,8.46181602,0.44863637,3.94564388,9.67449663,15.32380531,2.63097195
gpt5.2_long,Role_AND_Example,8.81904898,0.89343708,4.09748019,9.73831569,15.39830831,4.50795086
gpt5.2_long,Role_AND_Insights,15.97019771,0.53894207,11.37325146,12.71429602,18.41803253,17.29468546
gpt5.2_long,Summarizer,,,,,,
gpt5.2_long,Summarizer_AND_Example,,,,,,
gpt5.2_long,Summarizer_AND_Evidence,,,,,,
gpt5.2_long,Summarizer_AND_Insights,,,,,,
gpt5.2_long,Summarizer_AND_Role,,,,,,
gpt5.2_short,Example,0.00597087,0.00000010,0.00087289,0.00700900,0.02687538,0.66851477
gpt5.2_short,Evidence,0.21646753,0.06626732,1.95404739,1.75963442,1.64853177,1.04072969
gpt5.2_short,Evidence_AND_Example,0.40916025,0.06635531,2.10531830,1.81214179,1.80926034,1.75131822
gpt5.2_short,Evidence_AND_Insights,0.36822735,0.25142972,2.02150265,2.37933134,2.58876917,2.71154256
gpt5.2_short,Evidence_AND_Role,0.31716794,0.09335114,3.04245747,6.33880723,4.34166225,1.66574902
