Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease,Summarizer
plot,off,off,off,0.027578,0.193771,0.435556,0.095768,0.184444,26.775795,bart
plot,off,off,off,0.008563,0.279483,0.386076,0.074974,0.132911,6.510098,bert
plot,off,off,off,0.012957,0.162183,0.388953,0.066897,0.135788,26.993056,longformer_ext
plot,off,off,off,0.033839,0.192735,0.452436,0.083721,0.183295,29.07557,t5
plot,off,off,off,0.011841,0.148176,0.409483,0.110151,0.170259,21.952704,bart
plot,off,off,off,0.013196,0.266576,0.505351,0.110714,0.165279,13.718833,bert
plot,off,off,off,0.005625,0.114429,0.320175,0.074725,0.122807,10.99264,longformer_ext
plot,off,off,off,0.002739,0.1179,0.360691,0.071429,0.133909,19.34163,t5
plot,off,off,off,0.01437,0.121442,0.343534,0.122651,0.173741,30.400897,bart
plot,off,off,off,0.034514,0.273943,0.495818,0.142344,0.179211,-1.715341,bert
plot,off,off,off,0.000451,0.062311,0.193757,0.032362,0.111948,23.105,longformer_ext
plot,off,off,off,0.005121,0.090133,0.270103,0.072314,0.134021,34.600613,t5
table,off,off,off,0.02974,0.2067,0.473186,0.092729,0.168244,9.805321,bart
table,off,off,off,0.010267,0.275245,0.352127,0.082178,0.118694,-1.205506,bert
table,off,off,off,0.00661,0.130295,0.287837,0.026047,0.096565,23.779147,longformer_ext
table,off,off,off,0.040677,0.192129,0.40858,0.073695,0.159346,14.367826,t5
table,off,off,off,0.008519,0.137199,0.379237,0.067941,0.144068,4.450431,bart
table,off,off,off,0.013006,0.25504,0.477612,0.090909,0.160448,4.303005,bert
table,off,off,off,0.015209,0.186239,0.450308,0.09163,0.144239,6.108243,longformer_ext
table,off,off,off,0.00512,0.130669,0.373166,0.063025,0.15304,15.08457,t5
table,off,off,off,0.019914,0.15204,0.377393,0.094977,0.171376,14.958512,bart
table,off,off,off,0.025308,0.258787,0.4512,0.108916,0.178133,-4.042394,bert
table,off,off,off,0.010381,0.152654,0.38442,0.066158,0.145639,6.973336,longformer_ext
table,off,off,off,0.004868,0.119048,0.323251,0.070076,0.137996,8.282263,t5
plot+table,off,off,off,0.029837,0.194794,0.445405,0.086674,0.181622,13.593698,bart
plot+table,off,off,off,0.01072,0.289736,0.386423,0.074229,0.131593,6.698876,bert
plot+table,off,off,off,0.00809,0.172841,0.340611,0.054243,0.122271,19.463437,longformer_ext
plot+table,off,off,off,0.033768,0.189239,0.392114,0.065862,0.170865,35.429825,t5
plot+table,off,off,off,0.01177,0.1668,0.434018,0.072478,0.142717,11.266604,bart
plot+table,off,off,off,0.017696,0.26653,0.459977,0.093679,0.148816,0.669371,bert
plot+table,off,off,off,0.019586,0.197381,0.439873,0.07607,0.14557,7.772865,longformer_ext
plot+table,off,off,off,0.006225,0.150282,0.410678,0.072016,0.145791,19.134613,t5
plot+table,off,off,off,0.023501,0.181479,0.451613,0.110544,0.191851,25.706744,bart
plot+table,off,off,off,0.025555,0.280267,0.454503,0.121756,0.174446,6.205249,bert
plot+table,off,off,off,0.015938,0.18165,0.409899,0.09605,0.156226,24.076772,longformer_ext
plot+table,off,off,off,0.01434,0.12278,0.346692,0.085901,0.15657,31.131225,t5
plot,on,off,off,0.039866,0.216434,0.461704,0.101622,0.174757,11.482778,bart
plot,on,off,off,0.011157,0.284976,0.364537,0.077343,0.137692,0.832293,bert
plot,on,off,off,0.029199,0.194966,0.410208,0.064394,0.147448,14.476476,longformer_ext
plot,on,off,off,0.005204,0.145455,0.4,0.045894,0.139759,17.80981,t5
plot,on,off,off,0.008093,0.15568,0.394763,0.066599,0.136959,18.906579,bart
plot,on,off,off,0.009609,0.262682,0.485779,0.085421,0.144482,8.723529,bert
plot,on,off,off,0.010778,0.163207,0.384952,0.07362,0.134733,3.994149,longformer_ext
plot,on,off,off,0.006301,0.146032,0.403242,0.058883,0.12766,24.087808,t5
plot,on,off,off,0.015312,0.134122,0.34169,0.096744,0.159703,26.285129,bart
plot,on,off,off,0.044615,0.290243,0.489685,0.129348,0.169381,1.83876,bert
plot,on,off,off,0.019455,0.168439,0.388109,0.084367,0.146986,28.465835,longformer_ext
plot,on,off,off,0.008278,0.117859,0.319066,0.076023,0.14786,32.625019,t5
table,on,off,off,0.037267,0.215355,0.447876,0.071567,0.166023,7.237159,bart
table,on,off,off,0.008217,0.260412,0.327704,0.068524,0.122319,-0.293034,bert
table,on,off,off,0.024527,0.211335,0.371711,0.056013,0.139803,25.440394,longformer_ext
table,on,off,off,0.011102,0.175109,0.384774,0.043299,0.131687,13.847575,t5
table,on,off,off,0.005269,0.134063,0.340788,0.059765,0.121406,13.990192,bart
table,on,off,off,0.009153,0.249301,0.442857,0.073897,0.134524,5.966163,bert
table,on,off,off,0.001756,0.030095,0.080564,0.004036,0.032226,-107.755764,longformer_ext
table,on,off,off,0.004946,0.112692,0.298475,0.039301,0.117647,15.747914,t5
table,on,off,off,0.01909,0.196406,0.427914,0.113671,0.15184,17.887532,bart
table,on,off,off,0.016221,0.265294,0.391393,0.09102,0.137231,0.868906,bert
table,on,off,off,0.023991,0.16306,0.421136,0.082148,0.141956,14.982906,longformer_ext
table,on,off,off,0.014295,0.149285,0.366834,0.058725,0.134003,14.74366,t5
plot+table,on,off,off,0.037693,0.214775,0.426386,0.072797,0.164436,33.191625,bart
plot+table,on,off,off,0.008923,0.268915,0.32973,0.06853,0.126126,10.574225,bert
plot+table,on,off,off,0.030462,0.178438,0.368569,0.058107,0.142189,23.037206,longformer_ext
plot+table,on,off,off,0.017874,0.184783,0.415695,0.065887,0.148462,30.405826,t5
plot+table,on,off,off,0.004886,0.132503,0.342612,0.053648,0.124197,26.717599,bart
plot+table,on,off,off,0.010155,0.264923,0.45857,0.075,0.143019,1.758461,bert
plot+table,on,off,off,0.003402,0.087897,0.184426,0.020534,0.086066,-48.10462,longformer_ext
plot+table,on,off,off,0.004965,0.111727,0.31087,0.041394,0.108696,21.583951,t5
plot+table,on,off,off,0.021699,0.162805,0.411277,0.094684,0.155887,32.478311,bart
plot+table,on,off,off,0.022727,0.275379,0.445672,0.115207,0.144567,8.411433,bert
plot+table,on,off,off,0.023996,0.179307,0.445277,0.085586,0.164918,32.667325,longformer_ext
plot+table,on,off,off,0.015492,0.158948,0.406435,0.076336,0.162574,38.312988,t5
plot,off,on,off,0.023133,0.22498,0.457447,0.102345,0.17234,16.661918,bart
plot,off,on,off,0.009827,0.27401,0.369324,0.078788,0.130172,-3.509089,bert
plot,off,on,off,0.015792,0.174834,0.36811,0.059172,0.110236,-3.529899,longformer_ext
plot,off,on,off,0.026968,0.1904,0.436123,0.06181,0.167401,10.835,t5
plot,off,on,off,0.012182,0.173836,0.435468,0.082922,0.153695,5.555393,bart
plot,off,on,off,0.015734,0.267728,0.464187,0.105614,0.15769,1.707826,bert
plot,off,on,off,0.02294,0.207784,0.457464,0.101286,0.152488,1.911364,longformer_ext
plot,off,on,off,0.005161,0.158531,0.432909,0.070658,0.144956,4.767784,t5
plot,off,on,off,0.06209,0.212909,0.470301,0.153219,0.200163,31.506667,bart
plot,off,on,off,0.015579,0.269849,0.433269,0.107454,0.161509,-7.457076,bert
plot,off,on,off,0.003053,0.087111,0.257812,0.052838,0.113281,5.246923,longformer_ext
plot,off,on,off,0.006259,0.126996,0.312268,0.072626,0.133829,1.36195,t5
table,off,on,off,0.027321,0.2132,0.410256,0.08326,0.155615,3.12551,bart
table,off,on,off,0.007088,0.259333,0.287425,0.05618,0.095808,-3.317693,bert
table,off,on,off,0.006788,0.134792,0.273749,0.042989,0.096016,20.114555,longformer_ext
table,off,on,off,0.050146,0.230526,0.405303,0.089184,0.149621,5.93119,t5
table,off,on,off,0.014939,0.178315,0.411361,0.088322,0.146915,6.855418,bart
table,off,on,off,0.009914,0.26346,0.430899,0.092583,0.147136,-4.060455,bert
table,off,on,off,0.008883,0.148731,0.350263,0.050877,0.1331,3.783307,longformer_ext
table,off,on,off,0.007562,0.154091,0.393732,0.088322,0.148874,20.144971,t5
table,off,on,off,0.019975,0.190176,0.432759,0.127807,0.182759,18.301161,bart
table,off,on,off,0.016518,0.274932,0.408406,0.085048,0.134308,-10.469918,bert
table,off,on,off,0.029993,0.191081,0.382948,0.073806,0.131503,13.878093,longformer_ext
table,off,on,off,0.013419,0.145299,0.356575,0.079576,0.139453,20.024612,t5
plot+table,off,on,off,0.019769,0.212868,0.441683,0.070881,0.160612,17.607869,bart
plot+table,off,on,off,0.005544,0.249901,0.293957,0.071011,0.099805,-3.12363,bert
plot+table,off,on,off,0.011575,0.192931,0.306486,0.044254,0.106914,-34.661915,longformer_ext
plot+table,off,on,off,0.033364,0.222755,0.43285,0.063892,0.156522,14.818764,t5
plot+table,off,on,off,0.013718,0.160943,0.421652,0.076118,0.148148,2.37793,bart
plot+table,off,on,off,0.009155,0.259482,0.419067,0.095427,0.147964,2.599351,bert
plot+table,off,on,off,0.014416,0.160507,0.387039,0.084761,0.142214,-8.132641,longformer_ext
plot+table,off,on,off,0.005097,0.154477,0.420533,0.071217,0.140178,19.181605,t5
plot+table,off,on,off,0.033612,0.169008,0.39759,0.108621,0.175559,21.634146,bart
plot+table,off,on,off,0.025548,0.277986,0.425901,0.101324,0.155039,-2.093561,bert
plot+table,off,on,off,0.019354,0.230385,0.463768,0.100898,0.154589,18.882641,longformer_ext
plot+table,off,on,off,0.018263,0.147037,0.370896,0.081778,0.143744,20.435503,t5
plot,off,off,on,0.034768,0.191504,0.461889,0.111745,0.182025,28.171486,bart
plot,off,off,on,0.012191,0.281511,0.406323,0.087925,0.125293,1.032115,bert
plot,off,off,on,0.00773,0.139078,0.369153,0.068441,0.144121,20.921847,longformer_ext
plot,off,off,on,0.037019,0.210624,0.441038,0.115839,0.165094,16.876765,t5
plot,off,off,on,0.01035,0.145865,0.418605,0.091102,0.158562,30.010559,bart
plot,off,off,on,0.013257,0.254205,0.495086,0.110701,0.162162,2.853319,bert
plot,off,off,on,0.016961,0.177825,0.432143,0.094812,0.153571,8.213313,longformer_ext
plot,off,off,on,0.002948,0.127893,0.387027,0.065005,0.162162,28.076667,t5
plot,off,off,on,0.027887,0.165266,0.36803,0.126629,0.193309,21.975028,bart
plot,off,off,on,0.038355,0.294476,0.486815,0.130964,0.179513,-3.471241,bert
plot,off,off,on,0.020273,0.136479,0.345013,0.082808,0.149146,8.090549,longformer_ext
plot,off,off,on,0.013811,0.13221,0.352153,0.090125,0.15311,21.632222,t5
table,off,off,on,0.032374,0.19193,0.439955,0.092238,0.184063,14.945832,bart
table,off,off,on,0.009645,0.268839,0.370614,0.069155,0.118421,0.902565,bert
table,off,off,on,0.0,0.008531,0.018838,0.0,0.018838,-753.355,longformer_ext
table,off,off,on,0.041503,0.175069,0.404469,0.089586,0.165363,8.975596,t5
table,off,off,on,0.010989,0.133087,0.353798,0.079249,0.137357,21.095843,bart
table,off,off,on,0.012494,0.251606,0.467801,0.090024,0.155529,-0.327112,bert
table,off,off,on,0.024084,0.187699,0.413495,0.097054,0.1609,11.089859,longformer_ext
table,off,off,on,0.007001,0.125325,0.354911,0.076063,0.142857,22.15449,t5
table,off,off,on,0.018797,0.149681,0.355349,0.095061,0.167442,14.092538,bart
table,off,off,on,0.022958,0.272278,0.460942,0.10538,0.169529,-1.906395,bert
table,off,off,on,0.014112,0.183519,0.383225,0.066618,0.151844,25.574602,longformer_ext
table,off,off,on,0.01436,0.126901,0.337143,0.087786,0.150476,28.296707,t5
plot+table,off,off,on,0.034455,0.244846,0.486322,0.109645,0.18845,16.104468,bart
plot+table,off,off,on,0.010138,0.284956,0.366882,0.074442,0.12593,3.166697,bert
plot+table,off,off,on,0.018395,0.201737,0.431776,0.074906,0.127103,23.333593,longformer_ext
plot+table,off,off,on,0.031032,0.185838,0.415094,0.080378,0.17217,13.793962,t5
plot+table,off,off,on,0.009018,0.143736,0.38125,0.070981,0.139583,14.615521,bart
plot+table,off,off,on,0.009798,0.254551,0.461005,0.079815,0.147891,9.018875,bert
plot+table,off,off,on,0.013502,0.169659,0.405041,0.072137,0.140414,15.760889,longformer_ext
plot+table,off,off,on,0.003278,0.132406,0.371069,0.063025,0.136268,15.448899,t5
