Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease,Summarizer
plot,off,off,off,0.021378,0.14253,0.370983,0.086477,0.165289,26.775795,bart
plot,off,off,off,0.02342,0.283616,0.433573,0.096976,0.16211,6.510098,bert
plot,off,off,off,0.011041,0.119096,0.274102,0.047348,0.122873,26.993056,longformer_ext
plot,off,off,off,0.014956,0.128113,0.323501,0.062917,0.14843,29.07557,t5
plot,off,off,off,0.027782,0.144975,0.382353,0.147392,0.18552,30.400897,bart
plot,off,off,off,0.041156,0.271943,0.456958,0.143876,0.172168,-1.715341,bert
plot,off,off,off,0.001927,0.089469,0.2025,0.030075,0.1025,23.105,longformer_ext
plot,off,off,off,0.010361,0.115047,0.31629,0.092968,0.156956,34.600613,t5
table,off,off,off,0.018769,0.136311,0.331579,0.063269,0.150877,9.805321,bart
table,off,off,off,0.016646,0.28031,0.399819,0.069715,0.148349,-1.205506,bert
table,off,off,off,0.005928,0.103432,0.244866,0.02057,0.096367,23.779147,longformer_ext
table,off,off,off,0.017827,0.148498,0.357877,0.049743,0.15411,14.367826,t5
table,off,off,off,0.032764,0.160647,0.390496,0.10559,0.177686,14.958512,bart
table,off,off,off,0.035349,0.286481,0.423826,0.125,0.160367,-4.042394,bert
table,off,off,off,0.048492,0.187144,0.39924,0.104762,0.174905,6.973336,longformer_ext
table,off,off,off,0.00845,0.140078,0.329386,0.084142,0.1507,8.282263,t5
plot+table,off,off,off,0.021936,0.14792,0.357271,0.07554,0.152603,13.593698,bart
plot+table,off,off,off,0.027767,0.29389,0.45057,0.089439,0.159696,6.698876,bert
plot+table,off,off,off,0.018873,0.152866,0.322339,0.06006,0.152924,19.463437,longformer_ext
plot+table,off,off,off,0.011389,0.135043,0.344828,0.049091,0.15608,35.429825,t5
plot+table,off,off,off,0.052447,0.200668,0.467112,0.129895,0.202097,25.706744,bart
plot+table,off,off,off,0.029284,0.27569,0.414659,0.129648,0.148594,6.205249,bert
plot+table,off,off,off,0.049287,0.207167,0.40378,0.110155,0.17354,24.076772,longformer_ext
plot+table,off,off,off,0.030681,0.161919,0.398305,0.121019,0.169492,31.131225,t5
plot,on,off,off,0.024321,0.156888,0.38172,0.082585,0.175627,11.482778,bart
plot,on,off,off,0.011974,0.279845,0.435688,0.087035,0.158514,0.832293,bert
plot,on,off,off,0.013485,0.175967,0.415397,0.072289,0.178027,14.476476,longformer_ext
plot,on,off,off,0.004156,0.113699,0.314033,0.037365,0.129539,17.80981,t5
plot,on,off,off,0.024824,0.169669,0.392405,0.103594,0.181435,26.285129,bart
plot,on,off,off,0.019948,0.263845,0.437828,0.116891,0.155283,1.83876,bert
plot,on,off,off,0.021698,0.171066,0.386322,0.087037,0.162662,28.465835,longformer_ext
plot,on,off,off,0.008832,0.135642,0.32703,0.075808,0.14683,32.625019,t5
table,on,off,off,0.012143,0.161073,0.378776,0.05233,0.153469,7.237159,bart
table,on,off,off,0.010122,0.271378,0.379832,0.065601,0.147059,-0.293034,bert
table,on,off,off,0.014163,0.193957,0.409964,0.064148,0.162278,25.440394,longformer_ext
table,on,off,off,0.00819,0.130273,0.339363,0.037964,0.137812,13.847575,t5
table,on,off,off,0.019576,0.169403,0.413617,0.112532,0.163404,17.887532,bart
table,on,off,off,0.008361,0.255397,0.362468,0.090051,0.126821,0.868906,bert
table,on,off,off,0.026063,0.18211,0.410887,0.100264,0.163301,14.982906,longformer_ext
table,on,off,off,0.014235,0.158607,0.368075,0.054563,0.137089,14.74366,t5
plot+table,on,off,off,0.026697,0.199129,0.451822,0.092457,0.181377,33.191625,bart
plot+table,on,off,off,0.009866,0.280086,0.394355,0.074782,0.148609,10.574225,bert
plot+table,on,off,off,0.018502,0.151016,0.36248,0.071656,0.166932,23.037206,longformer_ext
plot+table,on,off,off,0.010391,0.147759,0.35689,0.056637,0.146643,30.405826,t5
plot+table,on,off,off,0.032568,0.176423,0.410399,0.115349,0.172702,32.478311,bart
plot+table,on,off,off,0.013289,0.257536,0.400392,0.11269,0.140969,8.411433,bert
plot+table,on,off,off,0.024136,0.200087,0.436515,0.098088,0.177593,32.667325,longformer_ext
plot+table,on,off,off,0.016622,0.178409,0.385932,0.08,0.152091,38.312988,t5
plot,off,on,off,0.009666,0.152778,0.372011,0.060337,0.152347,16.661918,bart
plot,off,on,off,0.017026,0.278708,0.423768,0.075611,0.14924,-3.509089,bert
plot,off,on,off,0.01389,0.122968,0.307054,0.0399,0.121162,-3.529899,longformer_ext
plot,off,on,off,0.010954,0.136401,0.350046,0.043836,0.153145,10.835,t5
plot,off,on,off,0.057783,0.213445,0.461818,0.136612,0.196364,31.506667,bart
plot,off,on,off,0.024421,0.256818,0.394018,0.112545,0.150593,-7.457076,bert
plot,off,on,off,0.012479,0.097178,0.263687,0.067189,0.113966,5.246923,longformer_ext
plot,off,on,off,0.009816,0.133012,0.346357,0.078307,0.145723,1.36195,t5
table,off,on,off,0.021006,0.171951,0.384848,0.056146,0.159091,3.12551,bart
table,off,on,off,0.011833,0.26937,0.334149,0.055964,0.12583,-3.317693,bert
table,off,on,off,0.007242,0.104537,0.25,0.03259,0.118151,20.114555,longformer_ext
table,off,on,off,0.0209,0.151171,0.330924,0.054706,0.142972,5.93119,t5
table,off,on,off,0.04718,0.183065,0.42677,0.124393,0.188167,18.301161,bart
table,off,on,off,0.021163,0.245851,0.350485,0.086492,0.124272,-10.469918,bert
table,off,on,off,0.018699,0.173087,0.368127,0.070231,0.129084,13.878093,longformer_ext
table,off,on,off,0.014221,0.156074,0.368526,0.081836,0.153386,20.024612,t5
plot+table,off,on,off,0.025629,0.155118,0.37085,0.074615,0.153846,17.607869,bart
plot+table,off,on,off,0.015479,0.266505,0.354394,0.070494,0.138707,-3.12363,bert
plot+table,off,on,off,0.012057,0.150144,0.312814,0.042767,0.125628,-34.661915,longformer_ext
plot+table,off,on,off,0.013829,0.154753,0.370915,0.06874,0.163399,14.818764,t5
plot+table,off,on,off,0.0453,0.165348,0.391094,0.112512,0.187803,21.634146,bart
plot+table,off,on,off,0.029127,0.281433,0.399225,0.119302,0.156008,-2.093561,bert
plot+table,off,on,off,0.056889,0.221027,0.415152,0.109256,0.166667,18.882641,longformer_ext
plot+table,off,on,off,0.030649,0.155507,0.378758,0.096386,0.178357,20.435503,t5
plot,off,off,on,0.02005,0.145283,0.376404,0.091932,0.155431,28.171486,bart
plot,off,off,on,0.019989,0.278189,0.443859,0.082322,0.161307,1.032115,bert
plot,off,off,on,0.004956,0.09678,0.269388,0.05726,0.140816,20.921847,longformer_ext
plot,off,off,on,0.017484,0.132325,0.322083,0.085024,0.154291,16.876765,t5
plot,off,off,on,0.041425,0.183986,0.409715,0.129101,0.200634,21.975028,bart
plot,off,off,on,0.037536,0.278864,0.425393,0.133623,0.164948,-3.471241,bert
plot,off,off,on,0.04279,0.171578,0.361789,0.095723,0.178862,8.090549,longformer_ext
plot,off,off,on,0.021393,0.140977,0.382096,0.118162,0.170306,21.632222,t5
table,off,off,on,0.017402,0.129172,0.32037,0.064935,0.161111,14.945832,bart
table,off,off,on,0.022112,0.26641,0.403378,0.066634,0.155986,0.902565,bert
table,off,off,on,0.0,0.006322,0.01937,0.002427,0.012107,-753.355,longformer_ext
