sum [energy] of animals with [species = 2],sum [energy] of animals with [species = 2].1,sum [energy] of animals with [species = 2].2,sum [energy] of animals with [species = 2].3,sum [energy] of animals with [species = 2].4,sum [energy] of animals with [species = 2].5,sum [energy] of animals with [species = 2].6,sum [energy] of animals with [species = 2].7,sum [energy] of animals with [species = 2].8,sum [energy] of animals with [species = 2].9,sum [energy] of animals with [species = 2].10,sum [energy] of animals with [species = 2].11,sum [energy] of animals with [species = 2].12,sum [energy] of animals with [species = 2].13,sum [energy] of animals with [species = 2].14,sum [energy] of animals with [species = 2].15,sum [energy] of animals with [species = 2].16,sum [energy] of animals with [species = 2].17,sum [energy] of animals with [species = 2].18,sum [energy] of animals with [species = 2].19,sum [energy] of animals with [species = 2].20,sum [energy] of animals with [species = 2].21,sum [energy] of animals with [species = 2].22,sum [energy] of animals with [species = 2].23,sum [energy] of animals with [species = 2].24,sum [energy] of animals with [species = 2].25,sum [energy] of animals with [species = 2].26,sum [energy] of animals with [species = 2].27,sum [energy] of animals with [species = 2].28,sum [energy] of animals with [species = 2].29,sum [energy] of animals with [species = 2].30,sum [energy] of animals with [species = 2].31,sum [energy] of animals with [species = 2].32,sum [energy] of animals with [species = 2].33,sum [energy] of animals with [species = 2].34,sum [energy] of animals with [species = 2].35,sum [energy] of animals with [species = 2].36,sum [energy] of animals with [species = 2].37,sum [energy] of animals with [species = 2].38,sum [energy] of animals with [species = 2].39
12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0
12473.0,12470.0,12483.0,12473.0,12471.0,12476.0,12364.0,12468.0,12462.0,12364.0,12470.0,12468.0,12470.0,12378.0,12464.0,12481.0,12374.0,12468.0,12474.0,12377.0,12469.0,12467.0,12475.0,12476.0,12475.0,12365.0,12471.0,12466.0,12476.0,12467.0,12474.0,12468.0,12479.0,12468.0,12475.0,12465.0,12466.0,12482.0,12477.0,12376.0
12465.0,12461.5,12467.0,12363.5,12458.5,12359.5,12242.5,12453.0,12348.0,12244.0,12461.5,12454.5,12260.5,12363.0,12353.5,12362.5,12267.5,12467.0,12358.5,12358.0,12359.0,12457.5,12458.5,12451.0,12356.5,12157.0,12356.5,12352.0,12463.5,12459.5,12360.0,12447.0,12467.0,12259.5,12361.5,12353.0,12255.0,12461.0,12362.5,12273.0
12441.0,12432.5,12356.5,12336.0,12429.0,12330.0,12220.5,12422.5,12231.5,12229.5,12442.5,12431.0,12133.0,12236.5,12131.0,12249.0,12047.5,12444.5,12329.5,12232.5,12339.5,12431.0,12335.0,12425.0,12333.0,12147.5,12322.5,12317.5,12437.5,12440.5,12233.0,12422.0,12342.0,12131.0,12338.5,12329.5,12230.0,12236.0,12340.5,12260.0
12433.0,12331.5,12360.0,12326.0,12416.5,12321.0,12201.5,12216.5,12217.0,12118.0,12429.5,12117.0,12128.0,12225.5,12120.0,12145.5,12028.5,12426.0,12219.5,12230.0,12333.5,12418.5,12238.5,12424.0,12318.0,12136.5,12322.0,12203.0,12318.0,12421.0,12228.5,12307.0,12244.0,12025.0,12236.5,12224.5,12220.5,12135.0,12334.5,11940.5
12428.5,12228.5,12360.0,12325.5,12406.0,12329.5,12196.5,12021.5,12107.0,12005.0,12332.5,12110.5,12119.0,12221.5,12104.5,12131.5,12019.0,12422.0,12117.0,12232.0,12341.0,12416.0,12229.0,12413.0,12313.0,12131.0,12326.5,12200.5,12308.0,12408.5,12127.5,12202.5,12149.0,12024.0,12236.0,12109.5,12208.5,12030.5,12329.0,11936.5
12419.0,12219.0,12354.5,12303.5,12397.0,12206.5,12175.5,12006.5,12086.5,11989.5,12224.0,12095.5,12108.5,12208.5,12094.0,12023.5,12002.0,12416.0,12103.5,12213.5,12332.0,12399.0,12215.0,12402.0,12304.5,12124.5,12226.0,12189.5,12106.5,12403.0,12118.0,12085.5,12139.5,11805.0,12120.5,12091.0,12202.0,12015.5,12327.5,11820.0
12402.5,12212.5,12251.5,12295.5,12387.0,12095.5,12065.5,11999.5,12077.0,11982.0,12217.5,12090.0,11999.5,12208.0,11988.5,12016.0,11991.0,12406.0,12090.0,12102.5,12331.5,12389.5,12214.0,12395.0,12297.0,12123.5,12118.5,12173.0,12096.5,12394.5,12108.5,12077.5,12125.0,11795.0,12107.5,12088.0,12096.5,12015.5,12316.5,11814.5
12392.5,12104.0,12150.5,12296.0,12370.5,11889.5,12056.5,11999.0,12074.0,11974.5,12004.0,11985.5,11899.0,12209.0,11980.0,12010.5,11976.0,12407.5,12082.0,11992.5,12229.5,12382.5,12206.5,12290.0,12293.0,12114.0,12112.5,12163.0,12079.5,12280.0,12103.0,12076.5,12116.5,11792.5,12011.0,12082.5,12079.5,11909.0,12210.5,11720.0
12388.0,12085.5,12050.5,12189.5,12260.5,11875.5,12049.0,11895.0,11866.0,11966.5,12003.5,11970.5,11895.0,12207.5,11959.0,12008.0,11971.0,12408.0,12064.5,11986.0,12216.5,12377.0,12196.0,12283.0,12295.5,12111.5,12106.5,12153.0,12080.0,12275.5,12096.0,12065.0,12117.0,11791.0,12003.0,12071.0,12072.0,11899.5,12205.0,11718.0
12377.5,12076.0,11949.0,12177.0,12150.5,11862.5,12042.0,11891.0,11764.5,11859.0,11991.5,11964.5,11890.0,12201.0,11947.0,12001.0,11961.0,12306.5,12054.0,11982.5,12207.0,12361.5,12092.0,12276.5,12291.0,12111.0,12106.0,12139.0,11970.5,12269.5,12084.5,12060.5,12114.0,11782.0,11993.5,11960.5,12066.5,11892.5,12189.5,11713.5
12370.5,12080.5,11946.0,12178.5,12152.5,11868.0,12039.5,11889.5,11758.5,11858.0,11985.0,11955.0,11892.5,12205.0,11953.5,12000.0,11952.5,12302.0,11947.0,11984.5,12214.5,12363.5,12082.0,12273.0,12282.5,12105.0,12106.5,12138.5,11963.5,12264.0,12094.5,12063.0,12104.5,11775.0,11989.0,11962.0,12052.0,11884.5,12187.5,11719.0
12363.5,12077.0,11952.5,12182.0,12161.0,11852.0,12030.5,11886.0,11744.5,11861.0,11979.5,11946.5,11903.0,12194.0,11946.5,11993.5,11946.0,12288.5,11941.0,11981.0,12208.0,12358.0,12084.5,12270.0,12277.5,12099.5,12105.0,12124.0,11960.0,12161.0,12085.5,12049.5,12112.5,11776.0,11980.0,11955.0,11946.0,11877.5,12186.0,11712.5
12368.5,12076.5,11959.5,12182.5,12148.0,11756.0,12028.5,11882.5,11738.5,11849.0,11974.5,11838.0,11897.0,12190.5,11937.0,11985.5,11938.5,12294.0,11834.0,11882.5,12107.5,12356.0,12082.0,12259.0,12275.0,12101.5,12107.0,12018.0,11960.0,12153.0,12080.0,12042.0,12117.5,11775.0,11977.0,11944.0,11842.0,11863.5,12184.0,11712.5
12356.5,12075.0,11963.0,12176.0,12143.0,11757.5,12030.5,11775.5,11741.0,11842.5,11968.0,11836.5,11901.0,12084.0,11932.0,11886.5,11937.0,12286.0,11832.5,11874.0,12108.5,12358.5,12079.0,12259.5,12269.5,12095.5,12100.0,12013.0,11954.5,12153.0,12076.0,12041.0,12116.0,11777.5,11974.5,11946.5,11845.5,11854.0,12186.0,11719.0
12346.0,12079.5,11963.0,12180.0,12144.5,11759.0,12035.5,11773.0,11736.5,11834.5,11964.0,11835.5,11894.5,12081.0,11937.0,11888.5,11924.5,12290.0,11825.5,11867.0,12103.5,12356.0,12076.0,12255.0,12270.0,12099.5,12088.0,12003.5,11952.0,12152.0,12082.5,12038.5,12111.0,11779.0,11965.5,11938.0,11842.0,11852.0,12194.5,11718.5
12339.0,12083.0,11971.0,12180.5,12141.0,11753.5,12033.5,11755.5,11722.0,11730.0,11952.5,11834.0,11891.5,12084.0,11935.0,11881.0,11924.0,12285.5,11722.5,11868.5,12095.5,12353.0,12073.5,12248.5,12265.5,12101.0,12087.0,12001.5,11943.0,12146.5,11976.5,12032.0,12109.0,11782.5,11973.0,11930.0,11837.0,11844.5,12196.5,11704.5
12333.0,12077.5,11974.0,12175.0,12132.5,11655.5,12030.5,11750.5,11727.0,11728.5,11950.0,11821.5,11903.5,12082.5,11935.5,11879.0,11924.5,12285.0,11719.5,11874.0,12102.5,12253.5,12063.5,12252.0,12266.0,12091.5,11980.0,12000.0,11944.5,12148.0,11971.5,12028.0,12113.5,11776.0,11973.5,11922.0,11832.5,11841.0,12191.5,11706.0
12331.0,12077.5,11976.5,12178.5,12132.0,11661.5,12037.0,11750.5,11726.5,11731.5,11949.5,11623.0,11903.0,12083.5,11941.0,11883.0,11927.5,12276.5,11717.0,11872.0,12101.0,12251.0,12070.0,12249.0,12256.0,12087.5,11972.0,11994.5,11940.5,12145.0,11970.5,12021.0,12108.5,11776.0,11974.5,11920.5,11834.5,11832.0,12196.0,11706.5
12338.5,12075.5,11972.5,12179.5,12136.5,11661.5,12032.0,11745.5,11717.0,11732.5,11941.0,11625.0,11896.5,12084.5,11949.0,11871.0,11923.5,12274.5,11618.5,11867.5,12102.0,12257.0,12065.0,12256.0,12256.0,12085.0,11976.5,12002.5,11944.0,12153.0,11960.5,12011.0,12007.5,11681.5,11970.5,11906.0,11830.5,11835.0,12190.0,11706.5
12336.5,12083.0,11868.5,12183.5,12032.5,11659.0,12022.5,11741.5,11716.5,11729.5,11939.5,11619.0,11892.0,12086.5,11941.5,11868.0,11925.5,12267.0,11620.0,11866.5,12096.0,12261.5,12057.0,12253.5,12254.0,12082.5,11971.0,12004.0,11948.5,12149.5,11957.5,12001.0,12002.5,11684.0,11979.5,11904.5,11818.0,11833.0,12185.0,11696.5
12331.0,12079.5,11866.0,12178.5,12035.0,11656.5,12025.0,11744.5,11715.0,11732.0,11937.0,11622.0,11897.5,12088.5,11937.0,11872.0,11925.5,12273.5,11617.5,11864.0,12092.5,12255.5,12059.0,12251.0,12149.5,12080.5,11969.0,12005.0,11949.0,12153.0,11955.0,12000.0,11998.0,11674.0,11973.5,11895.5,11815.5,11832.0,12184.5,11699.0
12331.5,12078.5,11866.5,12180.0,12040.5,11651.0,12021.0,11742.0,11704.0,11734.5,11933.5,11617.5,11895.5,12082.0,11944.0,11877.5,11923.5,12271.0,11619.0,11858.5,12090.5,12251.0,12054.5,12255.5,12143.5,12076.5,11975.0,12015.0,11942.0,12159.0,11946.5,11893.0,11901.5,11668.5,11969.0,11895.5,11810.0,11823.5,12087.5,11701.0
12336.0,12081.5,11871.0,12181.0,12039.0,11652.5,12011.5,11745.0,11693.0,11732.5,11932.0,11620.0,11891.0,12083.0,11940.0,11880.5,11923.0,12260.0,11616.0,11862.0,12094.0,12253.0,12050.0,12147.0,12149.0,12082.0,11864.5,12005.0,11948.5,12143.5,11949.0,11895.5,11902.0,11679.0,11966.0,11879.5,11805.0,11830.5,12084.0,11698.5
12337.0,12079.0,11874.0,12176.5,12036.0,11640.5,12005.5,11747.0,11678.0,11727.5,11923.0,11615.0,11889.0,12080.5,11941.5,11876.5,11824.5,12262.0,11614.5,11865.0,12090.5,12252.5,11943.5,12146.0,12145.5,12081.5,11870.0,12004.0,11946.5,12147.0,11952.0,11884.5,11899.5,11585.5,11969.5,11882.0,11805.5,11818.5,12084.0,11695.5
12339.5,12079.0,11869.0,12178.5,12034.0,11642.5,12009.0,11748.0,11681.5,11729.5,11910.5,11619.5,11889.0,12081.0,11941.0,11871.5,11830.0,12260.5,11606.5,11860.5,12082.5,12254.0,11939.0,12143.0,12141.0,12079.5,11869.0,12009.0,11942.0,12154.5,11945.5,11887.5,11897.0,11576.0,11969.5,11884.0,11709.0,11719.0,12084.5,11692.5
12325.0,12082.0,11873.0,12172.5,12029.5,11641.0,11912.5,11741.0,11683.0,11724.0,11819.5,11622.0,11883.0,12079.5,11940.5,11873.5,11825.5,12257.5,11610.0,11859.0,12081.5,12258.5,11939.0,12144.0,12140.5,12075.0,11864.0,12005.0,11938.0,12057.0,11943.0,11883.0,11902.0,11579.0,11970.5,11881.5,11702.5,11714.0,12081.0,11689.5
12324.5,12077.5,11877.5,12165.0,12026.5,11638.0,11914.0,11744.5,11675.0,11715.5,11815.5,11515.0,11783.5,12083.0,11935.0,11877.0,11716.0,12256.5,11605.5,11864.5,11883.0,12264.0,11936.5,12135.0,12153.0,12077.0,11764.0,11893.0,11843.0,12059.5,11846.0,11874.0,11902.0,11577.5,11963.0,11875.0,11694.0,11718.5,12084.0,11682.5
