mean [habit-factor-incum] of turtles,mean [habit-factor-incum] of turtles.1,mean [habit-factor-incum] of turtles.2,mean [habit-factor-incum] of turtles.3,mean [habit-factor-incum] of turtles.4,mean [habit-factor-incum] of turtles.5,mean [habit-factor-incum] of turtles.6,mean [habit-factor-incum] of turtles.7,mean [habit-factor-incum] of turtles.8,mean [habit-factor-incum] of turtles.9,mean [habit-factor-incum] of turtles.10,mean [habit-factor-incum] of turtles.11,mean [habit-factor-incum] of turtles.12,mean [habit-factor-incum] of turtles.13,mean [habit-factor-incum] of turtles.14,mean [habit-factor-incum] of turtles.15,mean [habit-factor-incum] of turtles.16,mean [habit-factor-incum] of turtles.17,mean [habit-factor-incum] of turtles.18,mean [habit-factor-incum] of turtles.19,mean [habit-factor-incum] of turtles.20,mean [habit-factor-incum] of turtles.21,mean [habit-factor-incum] of turtles.22,mean [habit-factor-incum] of turtles.23,mean [habit-factor-incum] of turtles.24,mean [habit-factor-incum] of turtles.25,mean [habit-factor-incum] of turtles.26,mean [habit-factor-incum] of turtles.27,mean [habit-factor-incum] of turtles.28,mean [habit-factor-incum] of turtles.29
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0205471363812453,1.0205471363812453,1.0205471363812455,1.0205471363812453,1.0205471363812453,1.0205471363812453,1.0205471363812455,1.0205471363812453,1.020547136381245,1.0205471363812453,1.0205471363812453,1.0205471363812453,1.0205471363812455,1.0205471363812453,1.020547136381245,1.0205471363812453,1.0205471363812455,1.0205471363812453,1.0205471363812453,1.0205471363812453,1.020547136381245,1.0205471363812453,1.0205471363812453,1.0205471363812453,1.0205471363812453,1.0205471363812453,1.0205471363812453,1.0205471363812453,1.0205471363812455,1.0205471363812453
1.0225757750582494,1.021858607165772,1.0219462360595812,1.022348634452724,1.0217190954540558,1.021946236059581,1.0221733766651062,1.022348634452724,1.0210019275615787,1.0221733766651062,1.0219462360595808,1.0220338649533898,1.02203386495339,1.0214043259547216,1.0226634039520583,1.021946236059581,1.0222610055589152,1.0222610055589152,1.0226634039520583,1.022348634452724,1.0223486344527242,1.0214043259547216,1.0217190954540558,1.0220338649533898,1.0224881461644404,1.0214043259547216,1.0220857477712977,1.021946236059581,1.0224881461644406,1.021946236059581
1.0245621056007574,1.023402722687643,1.0232331873587683,1.024262046899323,1.0225472809983984,1.0225043865196477,1.022927406198591,1.024262046899323,1.0226349098922072,1.0239638281341965,1.024006722612947,1.0235761405389532,1.0230579295711506,1.0222043278182134,1.023320816252577,1.0229703006773416,1.0238761992403873,1.0231902928800174,1.0238314648253293,1.0234885116451444,1.023919093719138,1.023233187358768,1.0232331873587683,1.0225472809983984,1.0237009414527698,1.0228026052847743,1.02284917963614,1.0232331873587683,1.024176257941822,1.0231026639862086
1.0244379876486578,1.0245256165424663,1.02426272986104,1.025962632703948,1.0240485479037769,1.02346041797735,1.0247008743300838,1.025222677383832,1.0236104034347326,1.0233475167533062,1.0253532007563917,1.0243950931699066,1.0238303956374084,1.0233280546684835,1.0249832230963334,1.0238303956374082,1.0247008743300838,1.0241556388824082,1.024352198691156,1.0249832230963334,1.0254408296502004,1.0250708519901426,1.024613245436275,1.0236980323285416,1.025505026150081,1.0239803810947905,1.0241556388824082,1.0249832230963334,1.0253532007563917,1.0250708519901426
1.0257782651562768,1.024234709274655,1.0258236401981855,1.026965937007709,1.0253823745391328,1.024631723524272,1.025160618077134,1.0265700463905651,1.0249864839219889,1.0240183212676102,1.026657675284374,1.0259112690919945,1.024680702761811,1.0242419176659163,1.0252947456453236,1.023402921453412,1.0252905008228426,1.0251606180771338,1.025647741783717,1.0262617846672295,1.0263947886029472,1.026086526879612,1.0253401206872323,1.025294745645324,1.0267441805457105,1.025340120687233,1.0257275216594142,1.0246807027618114,1.0252053524921916,1.0260865268796122
1.0258930771663497,1.0252197992668248,1.0276636571346351,1.0277338793280189,1.0263138149349686,1.0256816672548712,1.026263860306314,1.0273014562858682,1.02513923052292,1.0248089825124136,1.027242919366016,1.0271087917978257,1.0262673162605875,1.0259807060601585,1.0267345527035878,1.0234097807740616,1.0257107592288277,1.0254652792478265,1.0271087917978257,1.0275760282408264,1.0264890727225864,1.0268924037907805,1.0270676615783982,1.0260956626686002,1.0278626384412552,1.0262535137557929,1.0270280535002645,1.0261385571473507,1.0264890727225864,1.0260080337747914
1.0260603748214585,1.0255717762002712,1.0279326740027328,1.0286401236354616,1.026556090670076,1.0268874078760646,1.02743123841703,1.027211745737843,1.025972745927649,1.025253158075578,1.0282019791664174,1.0277074615864603,1.0268612301626072,1.0265936166938732,1.027845045108924,1.022947792494698,1.026135865495924,1.0257406155056308,1.028142001859874,1.028334342475284,1.027306434781555,1.0274945295336886,1.0269130247275693,1.026949500724062,1.0289605816964618,1.0275839983638044,1.0275124488285807,1.0263836471690857,1.026377228686828,1.0276633688390484
1.0264826425361355,1.0277473628870553,1.02903783579747,1.0290670995274187,1.0270805741076885,1.027790257365806,1.0290172241751674,1.0285290256491848,1.0265255370148867,1.0255564782457964,1.0295345077264118,1.029331478738304,1.02830754091705,1.0278056487745115,1.029505243996463,1.0236213207077762,1.026929439112827,1.0266372887014514,1.0287693814955978,1.02897947063361,1.0278984978819172,1.0293299862088456,1.027285095625255,1.0272093332209251,1.0302648026068315,1.0291118339424767,1.0278642555108128,1.0275772460366306,1.028008330355771,1.028348671136478
1.0269781390638208,1.0285049728951925,1.0291189269868126,1.0301769086450498,1.0270704386308376,1.028501368699562,1.029687594828416,1.028688355572846,1.027292195092837,1.0269822579020706,1.0297387641760058,1.0295328556379235,1.0288477654365469,1.0279875229564963,1.02929418477443,1.0236199596188904,1.0284866588981914,1.0261460327058325,1.0288150155949018,1.0299551521830512,1.0279055973494986,1.0304033357802571,1.0286195740420163,1.0281249643348016,1.0306662224616845,1.0301404490988304,1.0293448022870617,1.0289353943303556,1.0289232561110129,1.0296805346785125
