mean [habit-factor-alt] of turtles,mean [habit-factor-alt] of turtles.1,mean [habit-factor-alt] of turtles.2,mean [habit-factor-alt] of turtles.3,mean [habit-factor-alt] of turtles.4,mean [habit-factor-alt] of turtles.5,mean [habit-factor-alt] of turtles.6,mean [habit-factor-alt] of turtles.7,mean [habit-factor-alt] of turtles.8,mean [habit-factor-alt] of turtles.9,mean [habit-factor-alt] of turtles.10,mean [habit-factor-alt] of turtles.11,mean [habit-factor-alt] of turtles.12,mean [habit-factor-alt] of turtles.13,mean [habit-factor-alt] of turtles.14,mean [habit-factor-alt] of turtles.15,mean [habit-factor-alt] of turtles.16,mean [habit-factor-alt] of turtles.17,mean [habit-factor-alt] of turtles.18,mean [habit-factor-alt] of turtles.19,mean [habit-factor-alt] of turtles.20,mean [habit-factor-alt] of turtles.21,mean [habit-factor-alt] of turtles.22,mean [habit-factor-alt] of turtles.23,mean [habit-factor-alt] of turtles.24,mean [habit-factor-alt] of turtles.25,mean [habit-factor-alt] of turtles.26,mean [habit-factor-alt] of turtles.27,mean [habit-factor-alt] of turtles.28,mean [habit-factor-alt] of turtles.29
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.020547136381245,1.0205471363812453,1.0205471363812453,1.020547136381245,1.0205471363812453,1.0205471363812453,1.0205471363812453,1.0205471363812453,1.0205471363812453,1.0205471363812453,1.020547136381245,1.0205471363812453,1.0205471363812455,1.0205471363812453,1.0205471363812453,1.0205471363812453,1.0205471363812453,1.0205471363812453,1.0205471363812453,1.0205471363812453,1.0205471363812453,1.0205471363812453,1.0205471363812453,1.0205471363812453,1.0205471363812453,1.0205471363812455,1.0205471363812448,1.0205471363812453,1.0205471363812453,1.0205471363812455
1.0202974238192195,1.020034537137793,1.0200345371377928,1.0197716504563663,1.0202097949254108,1.0200345371377928,1.019946908243984,1.020034537137793,1.0195087637749398,1.0198592793501753,1.019684021562558,1.0198592793501753,1.0202974238192193,1.019946908243984,1.0197716504563663,1.0199469082439845,1.020560310500646,1.0202097949254103,1.020122166031602,1.0202097949254108,1.0198592793501748,1.019333505987322,1.0198592793501753,1.0196840215625576,1.0200345371377932,1.0200345371377928,1.0202974238192195,1.0195963926687486,1.0202974238192195,1.0196840215625578
1.019721701198208,1.0187167288238668,1.0191548732929114,1.0198148499009383,1.019153033356604,1.0189367210265428,1.0190225099840438,1.0188490921327336,1.0171896629592878,1.0172736119804815,1.0193785453682016,1.017887014237144,1.0193711856229724,1.0186738343451165,1.0181070064398197,1.0179728031946451,1.0190617245901803,1.019898798922133,1.0190672443991025,1.0186701544725014,1.0198148499009383,1.017804905152257,1.0195948576982627,1.019115658686775,1.0195930177619552,1.0181480609822633,1.0188025177813684,1.0195985375708774,1.0206856190301048,1.0188080375902906
1.0170807463464149,1.0158649814509346,1.0180465041146194,1.017737043081827,1.0183596450200258,1.0162565515686135,1.0175280904969957,1.0155555204181437,1.0157865522386622,1.0145615876616454,1.01808939859337,1.0160028645687234,1.0162099772172484,1.0158649814509348,1.015167630173078,1.0170115168156786,1.01621549702617,1.0175617852942098,1.017043371676586,1.0175317703696098,1.0194019920641957,1.016659161304136,1.0179570352845035,1.0163833950685583,1.018658066434974,1.016524958058962,1.0178786060722311,1.0179999297632545,1.0190012222649796,1.018622531701452
1.0162454066479527,1.0150580437717172,1.0164846011883368,1.0158285314838764,1.0185912231583951,1.015582052875247,1.0179368420362735,1.01760487717808,1.0162651387245492,1.0161973707452,1.0151631864208952,1.015177754557386,1.017914035502935,1.0162419538062903,1.016281471120362,1.0164883567379353,1.015075989072886,1.0160591849194751,1.0169356252115318,1.017198284862006,1.0181313778385837,1.014499832648189,1.0189775761750883,1.017980190576929,1.0153864801112649,1.0194266845849922,1.0181157040195226,1.0156406211730593,1.0166204173388658,1.0180456645580658
1.017960341271306,1.0182238465468765,1.0182899034277817,1.017490799843697,1.0199700783925278,1.0196688002139571,1.018342879352299,1.0214851634889324,1.019279399097065,1.0204373917163174,1.0173518273342197,1.0169132575445972,1.0212073958974193,1.0186527156573997,1.0197027352203951,1.0195005463027536,1.0204943044613497,1.0197113788065009,1.0209810184124737,1.0192746458405744,1.0206755306223998,1.0171913216188258,1.0213652982366852,1.0233059509559186,1.0163355056810497,1.024560564523058,1.0202777751659968,1.0180420427851882,1.017636895001791,1.0210742528578487
1.0232545622316618,1.0262555494016328,1.0238887760767497,1.0238200649463531,1.0255750034458746,1.027709324493353,1.026035458150019,1.02819736420495,1.0272911744700104,1.0287645328270991,1.025709276840702,1.0284790411425933,1.0273282577155836,1.0263110995161937,1.029399551175757,1.0262692435827918,1.027411855981288,1.025738246424859,1.028268334623054,1.025450022270318,1.0272583814192462,1.0270145111631912,1.024993952062376,1.0288506916605142,1.025814909979934,1.0282295030981277,1.025548233735477,1.0265319220677107,1.023219709035755,1.027120246052882
1.0358255825994171,1.0394650319550822,1.0352499298931834,1.0366967921418015,1.0370653288721414,1.0370803399363526,1.0386352305219964,1.0368169351684131,1.0414075851026308,1.0430473481149596,1.0383134618261454,1.0437395304043589,1.0371029962464726,1.038363069457745,1.0429769177198918,1.0388485570769546,1.0397153150452778,1.0366710062532831,1.0382118986179063,1.0361047790274025,1.036490693052936,1.0433473113082097,1.0342047244889654,1.03831963502825,1.0369645313382945,1.0363219112706956,1.0349794080722678,1.0403898175746114,1.032964884047739,1.0380355073773553
1.0577992148325357,1.0611315315132943,1.054852553988405,1.056696094438559,1.0546637465754425,1.0577897714792266,1.05595823214394,1.0561925027284,1.06386505434589,1.0583808516871247,1.0579153127753316,1.0646365793681196,1.0547768323432878,1.0597744802700506,1.0634654018662315,1.058603657228678,1.0572300883144048,1.0540192498484546,1.054507822285543,1.0542505999665857,1.049531298512778,1.0646556359979942,1.0500968719431911,1.05306785805116,1.0550768835734663,1.049775165470643,1.0529856499061114,1.0569341773636682,1.0509179405152729,1.051799341232152
