mean [incum-quantity] of turtles,mean [incum-quantity] of turtles.1,mean [incum-quantity] of turtles.2,mean [incum-quantity] of turtles.3,mean [incum-quantity] of turtles.4,mean [incum-quantity] of turtles.5,mean [incum-quantity] of turtles.6,mean [incum-quantity] of turtles.7,mean [incum-quantity] of turtles.8,mean [incum-quantity] of turtles.9,mean [incum-quantity] of turtles.10,mean [incum-quantity] of turtles.11,mean [incum-quantity] of turtles.12,mean [incum-quantity] of turtles.13,mean [incum-quantity] of turtles.14,mean [incum-quantity] of turtles.15,mean [incum-quantity] of turtles.16,mean [incum-quantity] of turtles.17,mean [incum-quantity] of turtles.18,mean [incum-quantity] of turtles.19,mean [incum-quantity] of turtles.20,mean [incum-quantity] of turtles.21,mean [incum-quantity] of turtles.22,mean [incum-quantity] of turtles.23,mean [incum-quantity] of turtles.24,mean [incum-quantity] of turtles.25,mean [incum-quantity] of turtles.26,mean [incum-quantity] of turtles.27,mean [incum-quantity] of turtles.28,mean [incum-quantity] of turtles.29
2654.810000000044,2654.810000000044,2654.810000000044,2654.810000000044,2654.810000000044,2654.810000000044,2654.810000000044,2654.810000000044,2654.810000000044,2654.810000000044,2654.810000000044,2654.810000000044,2654.810000000044,2654.810000000044,2654.810000000044,2654.810000000044,2654.810000000044,2654.810000000044,2654.810000000044,2654.810000000044,2654.810000000044,2654.810000000044,2654.810000000044,2654.810000000044,2654.810000000044,2654.810000000044,2654.810000000044,2654.810000000044,2654.810000000044,2654.810000000044
2607.821895780833,2597.0151922790287,2603.451988705136,2593.1319750090975,2610.366274969226,2603.891995575452,2601.9399771564963,2596.449066710361,2594.423159341219,2600.0040619889155,2597.9202975519347,2593.5585596204232,2610.2850807308437,2604.009058483324,2598.9673029716914,2598.6384007235797,2613.523238372386,2608.0505416271776,2605.580806822619,2605.3099872189837,2603.010689628334,2587.891276463233,2596.4668876755145,2598.9655437235033,2600.859480851994,2605.231333683301,2605.6684626972788,2596.0772196229914,2609.662155565874,2600.0694179250613
2531.2851573375506,2508.37300359851,2516.0099421743553,2526.1991594142323,2527.4593647575584,2519.9747370882155,2516.7158470176228,2507.8311411436057,2480.416069369396,2493.6328371507907,2520.47265224536,2497.8672704719597,2531.627142300301,2518.100071725723,2502.1255285024477,2491.5887372972,2524.6114472059617,2532.2291386449065,2519.319570122672,2514.2281199888066,2531.045252097063,2493.647345416845,2527.2833112574804,2521.041128336788,2531.6012880137605,2504.7829093140367,2515.470488835343,2525.951742019821,2554.559528236586,2517.1424522760276
2390.4245602017163,2347.0402598698743,2391.3846384639032,2383.357583306159,2412.655013315566,2354.61998282805,2387.050279746128,2347.2036669639906,2325.7713386654677,2306.736606583401,2387.449977187535,2337.0790511587907,2373.9110437763625,2355.140705629632,2332.28634910132,2352.5107479706076,2371.155597476853,2393.991482529288,2370.578593730683,2396.293233710089,2426.4701991138813,2340.7936768576847,2390.6410761042257,2366.6341405554354,2408.580719689808,2361.527934223712,2391.074388938571,2384.599480951106,2432.910746682374,2406.8568611006835
2201.4802179347857,2136.557354929829,2200.797788905631,2168.1389851914387,2244.236441469329,2155.71080357192,2213.7041573187475,2178.847180751906,2137.4889534509557,2130.755782287477,2159.353998101713,2116.740684153562,2215.5266489073715,2165.236993187016,2144.7980882631396,2158.196866154751,2167.356871716678,2188.77035812306,2178.284591355773,2210.5794198552485,2237.8434971233987,2095.4411783425453,2232.0407980982186,2201.4466338780135,2178.9416453870804,2222.8318290909,2221.3534463653714,2165.872785576604,2227.1231383352388,2227.5030769240075
1968.0252007576737,1912.645491587858,1969.6720693578268,1920.7705059820137,2028.9119871189491,1948.2622922541805,1962.448242535128,1988.6210521253047,1883.3842210129048,1917.4529644363329,1918.565551361455,1858.83107771401,2017.964324215374,1932.4350726991172,1904.2297511073816,1943.090083227607,1967.688865507538,1992.7975694525212,1999.722680792153,1977.4825878862653,2046.6008913603137,1835.43109874948,2047.8446950004677,2039.4171456414983,1937.776677388008,2068.799500372671,2004.3472309173944,1937.483035773188,2010.3794468928236,2025.5140246978103
1692.993680186558,1645.9683368596986,1697.0326857422751,1659.8879291218043,1788.223162784475,1699.0614456824633,1736.6577122256044,1725.9980208388738,1616.9498662340752,1688.163474971659,1658.855438943444,1640.619148240545,1785.1025912015907,1682.6972160822986,1684.5113485679558,1683.495174152125,1737.1407855155546,1765.0626344072523,1778.1837657635426,1715.827467209819,1842.673041552481,1584.7675615532887,1783.601451478098,1817.5831880078545,1721.9799434987488,1835.870795118272,1758.7456918079165,1710.7454510469968,1742.6181495029189,1792.3460103350678
1422.6257132361634,1400.9570709585746,1431.8554476946665,1405.7306489654557,1559.7303749712028,1401.6298802768565,1527.1333901790438,1444.1893047217125,1379.1211989198762,1470.6987235809377,1411.140096064693,1446.6019988132828,1553.6580685466367,1418.37919325143,1473.026328710732,1445.2320693410986,1495.802568948218,1524.268448690233,1537.5035614860185,1443.7518278562334,1595.5419585804796,1380.2608323358406,1533.6897784941273,1570.0094813592889,1465.4498567485844,1570.051015993113,1473.941532666764,1516.7762021165777,1463.1387394414703,1559.4163234664038
1266.5105351061345,1232.5998085834476,1220.8529739168043,1200.923704270837,1372.242109659157,1208.270835395504,1321.9736862602292,1218.6475226753842,1204.6767835374496,1219.0050867557738,1209.968374326263,1269.7907280126394,1353.4295825856514,1222.930697756061,1303.5448771418048,1245.906747288674,1289.3476431048691,1310.13373951976,1296.4027370699466,1221.7383881455594,1324.8809753193018,1191.669656031632,1297.315318140795,1308.5360828221185,1251.685170295513,1296.5040259879725,1246.0527400541705,1294.5385911091664,1234.7868830532984,1292.7086227022514
1129.69617953464,1091.9017706082943,1092.4136790963148,1073.536899410851,1236.978962335552,1103.703499348918,1163.2391190560074,1072.565671048418,1088.535355992592,1096.5070148022844,1080.7276118715167,1123.7275146685167,1197.1785857268806,1090.9910610962884,1163.7947223575784,1091.773134730596,1140.67070975016,1167.1221625888036,1118.298092175864,1109.4812709476123,1141.4117040007084,1067.7688844840811,1137.880970489637,1112.118102797431,1129.6039171599978,1098.4879499784251,1113.0908508376283,1145.9880303936395,1104.1281808575566,1142.3527799679478
985.4603847526746,988.3871396830576,1001.1573787118556,953.1264110751598,1106.8997954382814,983.6964832887056,1028.9786533589725,987.418754106034,987.3398585201202,991.3840789250728,975.6573640445148,1000.6367916668128,1061.2273778533718,986.7382800815976,1020.0790642403136,997.1823614526,1019.9464378606232,1019.2600224432036,1011.65861437023,1026.3331796364662,1014.091359559422,966.3784864473522,1023.5008139773976,967.3330578286104,1007.9221663739193,984.379737890148,1013.059575986288,1029.354555078953,1014.8883886429576,1035.2251984145155
956.8096975851143,962.4454586615652,964.8289006745828,949.2559938800993,1014.9738848915038,951.432660577895,969.1580753282618,961.8045506870696,951.8897992307974,955.2601685107336,946.6423581120896,961.974917167785,994.948396792643,961.4363327165372,969.3937763544,966.306204261448,970.87347115954,974.4329230825068,972.5155937075682,970.1279983035864,966.1107668539888,945.7603169340756,981.6220726896688,957.4752535922044,954.2384314772198,955.2360276840108,961.5058697582688,984.3313333580268,981.0714079748068,988.367202387106
908.4483675376238,897.8478553185436,900.2698805325031,897.6307909374777,924.3168680175036,898.837724899717,904.2159201888508,900.83726647214,904.3672813104516,902.0477869675368,893.4913232902081,896.7580425053642,910.5227999377536,899.8649073453003,905.4308857674,903.455274285837,901.5230722760784,908.1973472954246,905.5755397647824,898.4836308482683,911.3079763006,893.4198246871513,906.2018744358792,907.1716737112398,893.3865725901553,901.6482674664868,903.3144168334392,903.4285699726488,912.0979993931276,923.9981196366548
891.03569076598,880.3499639313824,882.6469133903298,880.7341728878017,887.3554093616733,880.159936085153,885.3066331943609,881.1295241149213,887.1058033920077,885.3132050640764,875.0690661939909,880.2066486043511,885.2905667217339,882.5982457226609,887.3430302816815,886.8597735756325,886.436555755254,887.9916962484025,886.7810485905097,883.191406410471,893.2307974458812,875.4293790386841,887.0424960114018,889.970458416445,877.064531931424,883.762610988885,885.8108816030875,884.7050423425993,884.0996392521926,900.3315116094336
868.2272242801807,856.4612097172618,856.7107518229237,856.583361112808,862.8172059198213,855.5587810847388,861.1330121660988,857.4719571437137,865.032605583646,860.59130960426,850.3910149579667,854.6966018651457,861.3762387506252,858.0966111664806,861.6016371656343,861.9995621186349,858.1598498519292,863.14970016801,861.2874152708441,858.0052279869349,867.9719907792197,849.2389644377952,861.0176320680097,865.0976999265623,851.9833025884095,857.9398299104556,860.2032792489347,859.3372397582443,859.7576012310444,860.6327542830523
