Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Evidence,0.00260005,0.00891574,0.00143615,0.06651951,0.00443308,0.76065158
Evidence_AND_Example,0.00382829,0.02422090,0.02297796,0.08687249,0.01826967,2.76212229
Evidence_AND_Insights,0.00493009,0.01540304,0.00469737,0.08588710,0.02137262,4.99731800
Evidence_AND_Role,0.00409178,0.02635893,0.01688418,0.06909722,0.01109621,1.69003151
Evidence_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example,0.00090163,0.01512260,0.02090736,0.01147395,0.00965865,1.97436099
Example_AND_Insights,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example_AND_Role,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Insights,0.00079728,0.00433749,0.00092101,0.01807442,0.01427111,4.20823642
Insights_AND_Example,0.00389519,0.01969967,0.02210565,0.03103483,0.02426897,6.27191210
Insights_AND_Role,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Insights_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Role,0.00148116,0.01657640,0.01287246,0.00005708,0.00363912,0.64967277
Role_AND_Example,0.00255535,0.03179026,0.03379388,0.01159635,0.01347038,2.68053277
Role_AND_Insights,0.00231034,0.02096718,0.01383008,0.01814125,0.01815862,4.87531677
Role_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Summarizer,19.93972362,19.93947694,19.90436400,19.82840664,19.91287917,11.46542994
Summarizer_AND_Evidence,20.04097398,19.97071458,20.05732139,20.15692289,20.06615322,12.48905546
Summarizer_AND_Example,19.94192586,19.95768576,19.93578355,19.84527632,19.92790834,14.19253382
Summarizer_AND_Insights,19.98124480,19.96454858,19.96700298,19.88823163,19.98310597,16.01827877
Summarizer_AND_Role,20.06874058,19.98418193,19.98510197,19.88240834,19.97131487,14.96454682
