Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
none,plot,off,off,off,0.037789,0.301393,0.352,0.128669,0.157037,46.683379
bart,plot,off,off,off,0.014935,0.120367,0.335057,0.118135,0.163392,36.825802
bert,plot,off,off,off,0.017162,0.144083,0.387476,0.105882,0.178082,41.86679
t5,plot,off,off,off,0.002506,0.084633,0.246361,0.062851,0.134378,27.577744
longformer_ext,plot,off,off,off,0.03824,0.176382,0.452797,0.129597,0.202797,32.333467
none,table,off,off,off,0.015642,0.257399,0.23854,0.079951,0.111968,37.2336
bart,table,off,off,off,0.013283,0.142245,0.362584,0.110145,0.16972,31.056627
bert,table,off,off,off,0.015616,0.167884,0.405195,0.088465,0.181818,34.201704
t5,table,off,off,off,0.010596,0.120331,0.324752,0.069444,0.158416,20.353
longformer_ext,table,off,off,off,0.031528,0.180156,0.416813,0.098246,0.187391,34.978667
none,plot+table,off,off,off,0.032509,0.275384,0.289918,0.108108,0.131211,40.249156
bart,plot+table,off,off,off,0.011625,0.123596,0.339017,0.080402,0.160481,25.438256
bert,plot+table,off,off,off,0.033152,0.153629,0.386509,0.105936,0.182315,30.270433
t5,plot+table,off,off,off,0.009051,0.105355,0.30137,0.073918,0.164384,39.9512
longformer_ext,plot+table,off,off,off,0.075098,0.231959,0.515837,0.152568,0.218703,34.864858
none,plot,on,off,off,0.034673,0.299498,0.341686,0.133903,0.156036,41.718133
bart,plot,on,off,off,0.008726,0.119849,0.308478,0.08393,0.161389,18.193846
bert,plot,on,off,off,0.037588,0.172865,0.407895,0.129944,0.206767,30.621255
t5,plot,on,off,off,0.005388,0.108678,0.315902,0.094118,0.147279,39.384022
longformer_ext,plot,on,off,off,0.022396,0.13685,0.379535,0.106244,0.171163,37.846821
none,table,on,off,off,0.011692,0.256212,0.22625,0.076718,0.107593,40.213427
bart,table,on,off,off,0.023969,0.176142,0.416816,0.109319,0.193202,29.670123
bert,table,on,off,off,0.025699,0.189047,0.420168,0.084175,0.189916,27.066149
t5,table,on,off,off,0.011698,0.133828,0.342857,0.094768,0.159606,35.764048
longformer_ext,table,on,off,off,0.020948,0.140023,0.357324,0.089907,0.176122,55.87432
none,plot+table,on,off,off,0.027496,0.273038,0.277259,0.107948,0.129752,38.916984
bart,plot+table,on,off,off,0.012137,0.138007,0.361868,0.091618,0.173152,25.678275
bert,plot+table,on,off,off,0.036446,0.195422,0.428571,0.115183,0.19338,30.119318
t5,plot+table,on,off,off,0.010945,0.118607,0.337079,0.092119,0.167518,34.3996
longformer_ext,plot+table,on,off,off,0.029948,0.195029,0.448758,0.116641,0.190994,27.284428
none,plot,off,on,off,0.031627,0.29398,0.303492,0.110728,0.133301,38.217714
bart,plot,off,on,off,0.012504,0.122501,0.30426,0.077236,0.137931,28.656728
bert,plot,off,on,off,0.034306,0.18252,0.444243,0.116258,0.201269,34.898985
t5,plot,off,on,off,0.011828,0.115035,0.3125,0.079332,0.158333,28.004303
longformer_ext,plot,off,on,off,0.043328,0.192921,0.432109,0.112917,0.186166,27.565843
none,table,off,on,off,0.014964,0.257983,0.236499,0.078731,0.110018,36.528623
bart,table,off,on,off,0.017683,0.160632,0.396444,0.087266,0.179556,26.814191
bert,table,off,on,off,0.019377,0.171123,0.4007,0.087642,0.176728,33.327033
t5,table,off,on,off,0.006014,0.115276,0.303518,0.054381,0.146734,31.026924
longformer_ext,table,off,on,off,0.039854,0.206,0.459547,0.105348,0.200647,26.021743
none,plot+table,off,on,off,0.02621,0.277,0.264087,0.098864,0.120269,36.546395
bart,plot+table,off,on,off,0.020019,0.150201,0.369485,0.084715,0.161765,26.552216
bert,plot+table,off,on,off,0.029809,0.181303,0.442895,0.115284,0.18483,36.007635
t5,plot+table,off,on,off,0.018436,0.139657,0.363813,0.083821,0.178988,30.47285
longformer_ext,plot+table,off,on,off,0.021642,0.132698,0.3,0.063903,0.134483,12.967291
none,plot,off,off,on,0.033476,0.288419,0.309457,0.115787,0.138669,40.392548
bart,plot,off,off,on,0.011953,0.134775,0.369048,0.095427,0.168651,37.869209
bert,plot,off,off,on,0.025409,0.154288,0.399614,0.106383,0.187259,39.940021
t5,plot,off,off,on,0.012655,0.126183,0.326489,0.08642,0.164271,34.842039
longformer_ext,plot,off,off,on,0.045032,0.195548,0.460331,0.132751,0.216216,21.375018
none,table,off,off,on,0.016883,0.268261,0.26378,0.085287,0.117831,37.621591
bart,table,off,off,on,0.016572,0.151743,0.390521,0.106363,0.180095,33.52708
bert,table,off,off,on,0.018568,0.16132,0.390374,0.101786,0.16934,36.153624
t5,table,off,off,on,0.004776,0.101961,0.276356,0.043077,0.137155,35.327841
longformer_ext,table,off,off,on,0.04597,0.221371,0.442504,0.109329,0.186317,21.374016
none,plot+table,off,off,on,0.030781,0.28311,0.288327,0.105948,0.129483,38.027471
bart,plot+table,off,off,on,0.012208,0.132586,0.340426,0.08731,0.168186,33.556342
bert,plot+table,off,off,on,0.035837,0.176107,0.442413,0.130037,0.193784,37.868973
t5,plot+table,off,off,on,0.009933,0.1075,0.306889,0.075314,0.150313,27.845942
longformer_ext,plot+table,off,off,on,0.064919,0.259296,0.519971,0.132364,0.219317,28.636
none,plot,on,off,on,0.028474,0.29826,0.313327,0.116539,0.141404,35.466946
bart,plot,on,off,on,0.008238,0.123023,0.323232,0.066802,0.149495,15.779872
bert,plot,on,off,on,0.028261,0.176174,0.431734,0.114603,0.193727,36.352806
t5,plot,on,off,on,0.01288,0.127114,0.356334,0.086687,0.15242,35.573575
longformer_ext,plot,on,off,on,0.009206,0.111816,0.290174,0.047838,0.141414,36.694255
none,table,on,off,on,0.012915,0.269016,0.2546,0.079195,0.117672,33.042006
bart,table,on,off,on,0.014035,0.158631,0.39777,0.108007,0.195167,28.723095
bert,table,on,off,on,0.01894,0.176729,0.413063,0.086649,0.188879,27.109279
t5,table,on,off,on,0.004677,0.111415,0.30969,0.05005,0.141858,30.725882
longformer_ext,table,on,off,on,0.014647,0.154707,0.344723,0.053232,0.171602,35.894306
none,plot+table,on,off,on,0.026271,0.274849,0.271918,0.100178,0.124611,33.470448
bart,plot+table,on,off,on,0.014798,0.136639,0.356863,0.100196,0.166667,26.335956
bert,plot+table,on,off,on,0.035046,0.181171,0.411081,0.098478,0.178731,27.087216
t5,plot+table,on,off,on,0.013328,0.12088,0.334012,0.079592,0.14664,24.977085
longformer_ext,plot+table,on,off,on,0.025122,0.138343,0.338926,0.07395,0.159396,29.363982
none,plot,on,on,off,0.029202,0.293229,0.291686,0.112643,0.133017,34.822692
bart,plot,on,on,off,0.019206,0.149195,0.375852,0.109268,0.175268,28.542145
bert,plot,on,on,off,0.024266,0.169278,0.404135,0.105461,0.18797,31.2466
t5,plot,on,on,off,0.008992,0.100891,0.283898,0.070064,0.139831,19.950989
longformer_ext,plot,on,on,off,0.023626,0.148225,0.359751,0.085638,0.16919,34.789229
none,table,on,on,off,0.011374,0.257406,0.243541,0.080946,0.110555,33.496253
bart,table,on,on,off,0.016266,0.150078,0.370776,0.087832,0.180822,18.318197
bert,table,on,on,off,0.020598,0.164542,0.394391,0.080773,0.171779,25.174335
t5,table,on,on,off,0.008679,0.118391,0.317269,0.070423,0.15261,23.212556
longformer_ext,table,on,on,off,0.009001,0.142937,0.357401,0.072333,0.15704,42.334065
none,plot+table,on,on,off,0.027129,0.268872,0.253936,0.103089,0.118994,34.743309
bart,plot+table,on,on,off,0.006477,0.133438,0.325494,0.05655,0.15428,10.13132
bert,plot+table,on,on,off,0.045213,0.192668,0.46456,0.126604,0.201537,35.973005
t5,plot+table,on,on,off,0.017345,0.120001,0.332657,0.093496,0.1643,31.182267
longformer_ext,plot+table,on,on,off,0.013418,0.091282,0.248303,0.048591,0.128031,40.584398
none,plot,off,on,on,0.026583,0.284092,0.284651,0.103769,0.128372,35.063318
bart,plot,off,on,on,0.01279,0.122769,0.331337,0.088,0.155689,21.951011
bert,plot,off,on,on,0.024892,0.163937,0.412297,0.099638,0.180832,37.496316
t5,plot,off,on,on,0.005574,0.111928,0.30303,0.071204,0.15256,28.252328
longformer_ext,plot,off,on,on,0.05264,0.212942,0.458394,0.105263,0.192701,28.388766
none,table,off,on,on,0.016484,0.264757,0.245434,0.07596,0.111225,30.611239
bart,table,off,on,on,0.026466,0.180151,0.427083,0.107826,0.192708,35.889532
bert,table,off,on,on,0.019196,0.166285,0.403897,0.086957,0.175376,33.863731
t5,table,off,on,on,0.005852,0.113447,0.295858,0.047431,0.134122,22.745721
