Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Example,0.07135200,0.21720891,0.30565402,0.19503318,0.11405749,2.04139325
Evidence,0.07929164,0.14755431,0.13062357,1.66000591,0.73255034,1.04658386
Evidence_AND_Example,0.27278397,0.37061623,0.43694368,1.87464104,0.86311533,3.10201728
Evidence_AND_Insights,0.26647862,0.24893590,0.36829433,2.42898094,2.24547010,5.90758184
Evidence_AND_Role,0.13710336,0.28060176,0.27987191,1.69934066,0.80613810,2.28306138
Insights,0.12048624,0.00120277,0.06509391,0.70692320,1.35249526,4.84722424
Insights_AND_Example,0.23945259,0.21862603,0.37376825,0.90478950,1.48311828,6.99701370
Role,0.00231932,0.12983104,0.12135234,0.01004905,0.00804021,0.84081156
Role_AND_Example,0.23305118,0.36247013,0.51850170,0.39829610,0.52467471,2.98678248
Role_AND_Insights,0.16375631,0.13211712,0.21515693,0.90406189,1.71810955,5.71702269
Summarizer,18.76845250,19.15900537,18.46120247,16.46546417,15.56510561,9.74836525
Summarizer_AND_Example,19.12132392,19.42705046,19.01805091,16.83061429,16.01627768,13.11857014
Summarizer_AND_Evidence,19.91887154,19.52530706,19.72999747,19.40366962,18.29840094,11.15018931
Summarizer_AND_Insights,19.95363701,19.57225004,19.26315466,17.92945489,18.15313158,15.07937080
Summarizer_AND_Role,20.65163980,20.20722284,20.71233384,18.58867557,22.11931483,15.13401221
