Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
bart,plot,off,off,off,0.042512,0.219819,0.431779,0.097054,0.186528,36.825802
bert,plot,off,off,off,0.019402,0.229156,0.460568,0.091772,0.189274,41.86679
longformer_ext,plot,off,off,off,0.043453,0.261752,0.449735,0.114058,0.193122,32.333467
t5,plot,off,off,off,0.027334,0.174599,0.39604,0.099404,0.190099,27.577744
bart,plot,off,off,off,0.036642,0.187431,0.462069,0.121107,0.213793,45.338411
bert,plot,off,off,off,0.035375,0.228506,0.457711,0.139767,0.228856,35.109852
longformer_ext,plot,off,off,off,0.03671,0.227722,0.460025,0.123305,0.218942,25.68116
t5,plot,off,off,off,0.007396,0.138356,0.374312,0.103131,0.190826,33.382091
bart,plot,off,off,off,0.021035,0.138028,0.380165,0.186982,0.214876,44.771205
bert,plot,off,off,off,0.071831,0.271255,0.549342,0.189456,0.243421,41.084119
longformer_ext,plot,off,off,off,0.08368,0.22185,0.54358,0.22723,0.25492,45.230694
t5,plot,off,off,off,0.008244,0.110673,0.314251,0.1221,0.180268,51.168564
bart,table,off,off,off,0.028616,0.210735,0.409861,0.080371,0.16641,31.056627
bert,table,off,off,off,0.01284,0.251605,0.430248,0.078431,0.172099,34.201704
longformer_ext,table,off,off,off,0.040895,0.266756,0.445623,0.103723,0.196286,34.978667
t5,table,off,off,off,0.037241,0.215565,0.440514,0.090323,0.18328,20.353
bart,table,off,off,off,0.061477,0.235898,0.463902,0.157165,0.227343,32.074908
bert,table,off,off,off,0.015146,0.206547,0.434783,0.0937,0.196457,28.819787
longformer_ext,table,off,off,off,0.030668,0.213189,0.425693,0.098485,0.186398,45.369092
t5,table,off,off,off,0.022379,0.169721,0.421955,0.120482,0.226415,45.906538
bart,table,off,off,off,0.063733,0.197631,0.464774,0.206533,0.243954,47.521479
bert,table,off,off,off,0.062408,0.272824,0.496877,0.173732,0.226232,28.637145
longformer_ext,table,off,off,off,0.064808,0.20333,0.443203,0.13806,0.214153,32.954592
t5,table,off,off,off,0.004289,0.092856,0.240397,0.086957,0.131351,44.676144
bart,plot+table,off,off,off,0.023425,0.216915,0.394089,0.079077,0.16092,25.438256
bert,plot+table,off,off,off,0.030556,0.252561,0.417489,0.093352,0.172073,30.270433
longformer_ext,plot+table,off,off,off,0.026275,0.29193,0.424307,0.09188,0.183369,34.864858
t5,plot+table,off,off,off,0.036747,0.217334,0.445633,0.110912,0.192513,39.9512
bart,plot+table,off,off,off,0.051288,0.244428,0.512195,0.125382,0.22561,39.809787
bert,plot+table,off,off,off,0.032017,0.225453,0.460857,0.112593,0.218612,30.585648
longformer_ext,plot+table,off,off,off,0.040105,0.228786,0.449878,0.093137,0.168704,44.739475
t5,plot+table,off,off,off,0.022021,0.187899,0.446982,0.111293,0.205546,46.033322
bart,plot+table,off,off,off,0.034301,0.168884,0.437363,0.189427,0.213187,45.463655
bert,plot+table,off,off,off,0.077254,0.298192,0.559557,0.212205,0.238227,25.980828
longformer_ext,plot+table,off,off,off,0.036957,0.215895,0.484461,0.153846,0.212066,43.727103
t5,plot+table,off,off,off,0.009009,0.118284,0.329723,0.13269,0.173285,52.144286
bart,plot,on,off,off,0.041988,0.221505,0.406091,0.098472,0.182741,18.193846
bert,plot,on,off,off,0.031177,0.259456,0.452663,0.094955,0.192308,30.621255
longformer_ext,plot,on,off,off,0.022416,0.188002,0.372635,0.064234,0.139738,37.846821
t5,plot,on,off,off,0.027736,0.214013,0.444444,0.120658,0.200364,39.384022
