Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Example,0.16968216,0.24218865,0.18852932,0.76416561,0.15157126,1.98791954
Evidence,0.03744781,0.09105606,0.40469829,2.36409259,1.79972020,0.89824837
Evidence_AND_Example,0.32650905,0.33925907,0.59368091,3.14947487,1.96003634,2.91170437
Evidence_AND_Insights,0.75552109,0.22466270,0.95167597,3.88815759,4.65428520,5.58251152
Evidence_AND_Role,0.16103912,0.15507921,0.47241316,2.50952492,1.88139670,2.18074347
Insights,0.64524545,0.00725215,0.28181900,1.44640327,2.78854934,4.66115808
Insights_AND_Example,0.89013077,0.24947743,0.50061998,2.21505466,2.94039840,6.74779229
Role,0.01954288,0.06191787,0.00740623,0.03692008,0.03738870,0.89144364
Role_AND_Example,0.82309540,0.30921259,0.39361034,1.41988948,1.02414858,2.96960220
Role_AND_Insights,0.74691059,0.07009316,0.33759109,1.84325422,3.35538303,5.57066059
Summarizer,17.50930176,19.26035623,17.95982894,14.30803160,12.76561747,10.15078491
Summarizer_AND_Example,17.97623012,19.58004646,18.66491327,15.33870560,13.52172370,13.18244228
Summarizer_AND_Evidence,20.15376073,19.64056279,20.19491828,18.50508737,17.80479225,11.45182309
Summarizer_AND_Insights,19.83979381,19.65882355,19.10424518,16.38548389,16.77743236,15.23802272
Summarizer_AND_Role,19.94578925,20.11001209,19.94405002,15.82575426,18.53755646,15.57514292
