Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
plot,off,off,off,0.047482,0.247561,0.547349,0.190583,0.264186,46.683379
plot,off,off,off,0.060157,0.265458,0.575835,0.215602,0.264781,43.109375
plot,off,off,off,0.066913,0.26471,0.595666,0.201636,0.257563,51.446576
table,off,off,off,0.032619,0.256583,0.448196,0.140589,0.212698,37.2336
table,off,off,off,0.044707,0.242153,0.502984,0.173358,0.235851,42.578585
table,off,off,off,0.060391,0.246932,0.496416,0.153819,0.219355,42.289114
plot+table,off,off,off,0.041174,0.248704,0.480638,0.155599,0.22779,40.249156
plot+table,off,off,off,0.048628,0.250847,0.504707,0.179924,0.236331,43.328072
plot+table,off,off,off,0.058767,0.265007,0.535721,0.181238,0.224428,44.864262
plot,on,off,off,0.052579,0.257509,0.55479,0.194555,0.264877,41.718133
plot,on,off,off,0.051586,0.263575,0.557782,0.194371,0.257843,40.901987
plot,on,off,off,0.062694,0.286334,0.582855,0.209186,0.240316,46.728237
table,on,off,off,0.032416,0.258409,0.446562,0.135635,0.205468,40.213427
table,on,off,off,0.041813,0.239225,0.491315,0.146649,0.226379,42.728727
table,on,off,off,0.051132,0.272287,0.506032,0.150447,0.209933,42.595247
plot+table,on,off,off,0.037612,0.266417,0.50086,0.160538,0.236822,38.916984
plot+table,on,off,off,0.047489,0.257252,0.511725,0.172531,0.241301,40.714288
plot+table,on,off,off,0.050407,0.280922,0.514109,0.179238,0.216191,41.121822
plot,off,on,off,0.044175,0.264543,0.51731,0.181728,0.242334,38.217714
plot,off,on,off,0.05225,0.274225,0.550679,0.20319,0.249164,34.334052
plot,off,on,off,0.074531,0.262031,0.564793,0.197189,0.245511,42.295839
table,off,on,off,0.033586,0.259345,0.448073,0.137556,0.208566,36.528623
table,off,on,off,0.055548,0.266566,0.517572,0.17539,0.234824,35.202333
table,off,on,off,0.070874,0.253787,0.505727,0.165055,0.210093,37.578729
plot+table,off,on,off,0.035087,0.267139,0.488455,0.153391,0.219065,36.546395
plot+table,off,on,off,0.053545,0.266267,0.530339,0.184864,0.233255,36.95792
plot+table,off,on,off,0.05408,0.264121,0.537995,0.175584,0.213259,40.152941
plot,off,off,on,0.044449,0.270099,0.543306,0.177335,0.24751,40.392548
plot,off,off,on,0.053704,0.279267,0.582969,0.209123,0.253592,40.134895
plot,off,off,on,0.070198,0.261091,0.577821,0.202238,0.241413,41.488268
table,off,off,on,0.039411,0.269839,0.489431,0.152184,0.228051,37.621591
table,off,off,on,0.059082,0.255937,0.530382,0.181742,0.245563,37.540587
table,off,off,on,0.06788,0.259583,0.511743,0.168168,0.211549,37.319451
plot+table,off,off,on,0.037066,0.267833,0.514703,0.162197,0.243379,38.027471
plot+table,off,off,on,0.061044,0.267599,0.53823,0.199157,0.246037,35.884518
plot+table,off,off,on,0.059554,0.27223,0.553756,0.187866,0.226396,42.972496
plot,on,off,on,0.045843,0.269039,0.547539,0.182462,0.241403,35.466946
plot,on,off,on,0.056165,0.273847,0.568681,0.195917,0.256279,37.356538
plot,on,off,on,0.05169,0.280329,0.54361,0.194467,0.22975,42.735401
table,on,off,on,0.037451,0.272121,0.484267,0.155576,0.222355,33.042006
table,on,off,on,0.04887,0.267232,0.520227,0.177005,0.245369,36.156179
table,on,off,on,0.054757,0.279662,0.509611,0.161821,0.207596,40.005802
plot+table,on,off,on,0.035913,0.276792,0.506006,0.162046,0.23437,33.470448
plot+table,on,off,on,0.054596,0.258803,0.525641,0.186553,0.25641,37.26815
plot+table,on,off,on,0.052469,0.285411,0.509492,0.183767,0.207593,39.870794
plot,on,on,off,0.044191,0.275982,0.529469,0.181057,0.241224,34.822692
plot,on,on,off,0.045361,0.27052,0.535367,0.183422,0.244351,35.657604
plot,on,on,off,0.05258,0.284744,0.542699,0.189436,0.222621,39.090464
table,on,on,off,0.033094,0.258322,0.449306,0.135317,0.208494,33.496253
table,on,on,off,0.047288,0.254058,0.501733,0.161708,0.227696,37.606195
table,on,on,off,0.052886,0.269155,0.475125,0.156949,0.200177,39.372185
plot+table,on,on,off,0.032407,0.273809,0.485851,0.155901,0.218546,34.743309
plot+table,on,on,off,0.047962,0.274145,0.513869,0.170402,0.233997,36.691101
plot+table,on,on,off,0.054043,0.283175,0.5054,0.177298,0.206835,39.438962
plot,off,on,on,0.042117,0.266547,0.507302,0.167355,0.239683,35.063318
plot,off,on,on,0.055019,0.280563,0.564226,0.205765,0.244498,34.520408
plot,off,on,on,0.062971,0.268216,0.54386,0.192693,0.22807,38.396839
table,off,on,on,0.032244,0.270156,0.45977,0.140882,0.215917,30.611239
table,off,on,on,0.057149,0.265892,0.518141,0.181892,0.239706,32.809969
table,off,on,on,0.054292,0.263131,0.487635,0.161116,0.202283,38.195496
plot+table,off,on,on,0.03994,0.268679,0.479012,0.162597,0.231617,31.838647
plot+table,off,on,on,0.054238,0.269426,0.537958,0.195122,0.241824,32.236649
plot+table,off,on,on,0.051575,0.276557,0.522074,0.176313,0.211706,37.87891
plot,on,on,on,0.041914,0.271446,0.521138,0.170728,0.234481,32.302922
plot,on,on,on,0.044425,0.2708,0.527958,0.178406,0.24373,34.076591
plot,on,on,on,0.043676,0.275498,0.494479,0.168955,0.204118,36.576052
table,on,on,on,0.035645,0.275028,0.474801,0.152535,0.218917,31.489478
table,on,on,on,0.04759,0.255289,0.500279,0.164465,0.238795,35.825404
table,on,on,on,0.05015,0.276047,0.477118,0.158117,0.204271,37.685638
plot+table,on,on,on,0.033864,0.271365,0.460377,0.150986,0.218029,28.267082
plot+table,on,on,on,0.0487,0.27057,0.502912,0.172286,0.233633,32.434568
plot+table,on,on,on,0.047099,0.279643,0.475546,0.171089,0.198397,38.069692
plot,off,off,off,0.052151,0.24892,0.547884,0.194579,0.27023,44.596579
plot,off,off,off,0.059532,0.261398,0.581488,0.216659,0.26395,44.57667
plot,off,off,off,0.057853,0.257375,0.589581,0.201512,0.25618,51.705179
table,off,off,off,0.037836,0.258425,0.459201,0.144399,0.215773,39.012924
table,off,off,off,0.049125,0.24978,0.515139,0.173966,0.236088,39.036078
table,off,off,off,0.063497,0.243151,0.505006,0.154303,0.210604,42.59546
plot+table,off,off,off,0.03673,0.258479,0.483527,0.149718,0.224976,41.239106
plot+table,off,off,off,0.052308,0.258908,0.5277,0.185805,0.24153,41.840314
