Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Evidence,0.78656643,0.18064979,0.02166241,2.80509924,0.47570180,1.23049236
Evidence_AND_Example,0.91946039,0.34866971,0.25579727,2.83078453,0.49658139,2.93563532
Evidence_AND_Insights,0.86252605,0.30921651,0.35421898,3.72963286,1.39036225,5.22656945
Evidence_AND_Role,0.81795005,0.48017254,0.19169718,2.95596298,0.66556184,2.05194285
Evidence_AND_Summarizer,19.98169532,19.25538597,19.26242287,19.36064836,19.08185173,8.91130384
Example,0.02995853,0.15163480,0.20904965,0.00712551,0.01244459,1.60684843
Example_AND_Insights,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example_AND_Role,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example_AND_Summarizer,18.70908727,19.11470984,18.80447461,15.69879529,17.36563043,10.91312378
Insights,0.01273595,0.00058743,0.08731289,0.86131186,0.75588456,3.96615073
Insights_AND_Example,0.14121402,0.16584251,0.32722688,0.86844156,0.81936582,5.67673902
Insights_AND_Role,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Insights_AND_Summarizer,18.97172048,19.27981831,19.03692749,16.59928778,18.42719983,11.94879965
Role,0.00028133,0.28584541,0.14490997,0.09635847,0.06136711,0.49486899
Role_AND_Example,0.06915840,0.46876822,0.44909907,0.17404693,0.22972429,2.21687592
Role_AND_Insights,0.03416530,0.28670906,0.25899849,1.07983018,1.03651319,4.52116178
Role_AND_Summarizer,20.27055718,20.84578716,22.32736209,17.65176493,22.31044350,11.32172253
Summarizer,18.39292331,18.82620274,18.26884017,15.28090952,16.87136768,7.44458692
