plot_index,reporter_pattern,plot_description,trend_prompt_path,trend_output_path,image_path,table_csv_path,success,error,validation_status
context,,,results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/02_context/context_request.json,results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/02_context/context_output.txt,,,True,,accepted
1,num-foragers,This plot represents the number of human hunter-gatherer bands currently active in the simulation.,results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/03_trends/plot_01/trend_prompt.txt,results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/03_trends/plot_01/trend_output.txt,results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/03_trends/plot_01/trend_evidence_plot.png,,True,,accepted
2,sum [energy] of foragers,"This plot represents the total energy available to all forager bands, reflecting their energy status which is influenced by hunting success and movement costs.",results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/03_trends/plot_02/trend_prompt.txt,results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/03_trends/plot_02/trend_output.txt,results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/03_trends/plot_02/trend_evidence_plot.png,,True,,accepted
3,males-killed,This plot represents the cumulative number of male prey animals hunted and killed by forager bands.,results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/03_trends/plot_03/trend_prompt.txt,results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/03_trends/plot_03/trend_output.txt,results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/03_trends/plot_03/trend_evidence_plot.png,,True,,accepted
4,females-killed,This plot represents the cumulative number of female prey animals hunted and killed by forager bands.,results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/03_trends/plot_04/trend_prompt.txt,results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/03_trends/plot_04/trend_output.txt,results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/03_trends/plot_04/trend_evidence_plot.png,,True,,accepted
5,ppfem-killed,This plot represents the cumulative number of postpartum female prey animals (females with offspring) hunted and killed by forager bands.,results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/03_trends/plot_05/trend_prompt.txt,results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/03_trends/plot_05/trend_output.txt,results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/03_trends/plot_05/trend_evidence_plot.png,,True,,accepted
6,birth-count,This plot represents the cumulative number of births among the prey animal population.,results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/03_trends/plot_06/trend_prompt.txt,results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/03_trends/plot_06/trend_output.txt,results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/03_trends/plot_06/trend_evidence_plot.png,,True,,accepted
7,death-count,"This plot represents the cumulative number of deaths among the prey animal population, from both natural causes and predation by foragers.",results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/03_trends/plot_07/trend_prompt.txt,results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/03_trends/plot_07/trend_output.txt,results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/03_trends/plot_07/trend_evidence_plot.png,,True,,accepted
8,count animals with [species = 1],This plot represents the current number of male prey animals in the simulation.,results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/03_trends/plot_08/trend_prompt.txt,results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/03_trends/plot_08/trend_output.txt,results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/03_trends/plot_08/trend_evidence_plot.png,,True,,accepted
9,count animals with [species = 2],This plot represents the current number of female prey animals in the simulation.,results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/03_trends/plot_09/trend_prompt.txt,results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/03_trends/plot_09/trend_output.txt,results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/03_trends/plot_09/trend_evidence_plot.png,,True,,accepted
10,count animals,This plot represents the current total number of all prey animals (both males and females) in the simulation.,results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/03_trends/plot_10/trend_prompt.txt,results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/03_trends/plot_10/trend_output.txt,results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/03_trends/plot_10/trend_evidence_plot.png,,True,,accepted
11,sum [energy] of animals with [species = 1],This plot represents the combined total energy available in the population of male prey animals.,results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/03_trends/plot_11/trend_prompt.txt,results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/03_trends/plot_11/trend_output.txt,results/qwen3.5-27b_openrouter_all_abms_chain/04_generation_smoke_latest/abms/fauna/runs/run_20260312_094139_759006/cases/70_fauna_all_three_plot_rep3/03_trends/plot_11/trend_evidence_plot.png,,True,,accepted
