generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1773316493-nDYA1JZ1lDGO7GiZlzRJ,2026-03-12 11:54:53.768,0.00595,,,0,0,1680,3643,3337,0,qwen/qwen3.5-27b-20260224,Alibaba,standard,false,true,,stop,stop,44869,1294,,qwen
gen-1773316493-R7VRLrmsxuHNFNLFLlka,2026-03-12 11:54:53.624,0.012348,,,0,0,1407,5599,5384,0,qwen/qwen3.5-27b-20260224,AtlasCloud,standard,false,true,,stop,stop,79929,1162,,qwen
gen-1773316493-qhwlg4EAJ24V6aRvtBol,2026-03-12 11:54:53.372,0.006536,,,0,0,1693,4021,3816,0,qwen/qwen3.5-27b-20260224,Alibaba,standard,false,true,,stop,stop,48555,906,,qwen
gen-1773316426-Y0pp42u0v6JRc6bAYfhQ,2026-03-12 11:53:46.251,0.00933,,,0,0,1994,4114,3745,0,qwen/qwen3.5-27b-20260224,AtlasCloud,standard,false,true,,stop,stop,50258,1607,,qwen
gen-1773316425-2QF7be0LVRZLQsTkfgbV,2026-03-12 11:53:45.913,0.002681,,,0,0,1680,1044,1,0,qwen/qwen3.5-27b-20260224,AtlasCloud,standard,false,true,,stop,stop,17723,1346,,qwen
gen-1773316416-hr7VpNqx8sq2wlWCfQXZ,2026-03-12 11:53:36.334,0.009119,,,0,0,2065,3580,3326,0,qwen/qwen3.5-27b-20260224,Novita,standard,false,true,,stop,stop,53535,1187,,qwen
gen-1773316375-mlzngnqQ4vMcPPvfN4P5,2026-03-12 11:52:55.057,0.005476,,,0,0,1984,3298,2847,0,qwen/qwen3.5-27b-20260224,Alibaba,standard,false,true,,stop,stop,38671,1688,,qwen
gen-1773316374-vSfj6lwvmBgumbWLUvo4,2026-03-12 11:52:54.760,0.005249,,,0,0,2017,3147,2825,0,qwen/qwen3.5-27b-20260224,Alibaba,standard,false,true,,stop,stop,36961,1113,,qwen
gen-1773316365-BrFJXY4jSBbCHeQDWu9q,2026-03-12 11:52:45.327,0.010266,,,0,0,1977,4074,3827,0,qwen/qwen3.5-27b-20260224,Novita,standard,false,true,,stop,stop,53795,2181,,qwen
gen-1773316364-0J0QDa8hV45298wL51jc,2026-03-12 11:52:44.855,0.010266,,,0,0,2049,4545,4153,0,qwen/qwen3.5-27b-20260224,AtlasCloud,standard,false,true,,stop,stop,58575,1799,,qwen
gen-1773316364-HfiEFHogBtUsjX3Bog8C,2026-03-12 11:52:44.744,0.007866,,,0,0,2350,4800,4401,0,qwen/qwen3.5-27b-20260224,Alibaba,standard,false,true,,stop,stop,54225,1183,,qwen
gen-1773316320-vEkMB8eepR0ZNVQ0pGkH,2026-03-12 11:52:00.973,0.010367,,,0,0,2132,4097,3850,0,qwen/qwen3.5-27b-20260224,Novita,standard,false,true,,stop,stop,51679,2052,,qwen
gen-1773316315-xQJz7FlVeS7mObHSyOoh,2026-03-12 11:51:55.771,0.015838,,,0,0,1621,7204,6862,0,qwen/qwen3.5-27b-20260224,AtlasCloud,standard,false,true,,stop,stop,111182,1264,,qwen
gen-1773316294-HGOpTWZUBgC6UliMLffE,2026-03-12 11:51:34.502,0.00355,,,0,0,1436,1481,1219,0,qwen/qwen3.5-27b-20260224,AtlasCloud,standard,false,true,,stop,stop,24296,1276,,qwen
gen-1773316272-d3Dj3HOsv4vWNkRoX2l4,2026-03-12 11:51:12.471,0.005129,,,0,0,2389,3023,2730,0,qwen/qwen3.5-27b-20260224,Alibaba,standard,false,true,,stop,stop,36220,1387,,qwen
gen-1773316272-1e7bL4fAHjLmuLRkJ6ae,2026-03-12 11:51:12.412,0.005706,,,0,0,2234,3416,3083,0,qwen/qwen3.5-27b-20260224,Alibaba,standard,false,true,,stop,stop,40538,762,,qwen
gen-1773316255-io0THs0rBWO7xdPRUhSV,2026-03-12 11:50:55.790,0.007813,,,0,0,2000,4809,4451,0,qwen/qwen3.5-27b-20260224,Alibaba,standard,false,true,,stop,stop,68889,1259,,qwen
gen-1773316255-ZF1NNfeYVND9umvSyXJW,2026-03-12 11:50:55.092,0.017389,,,0,0,1693,7107,6680,0,qwen/qwen3.5-27b-20260224,Novita,standard,false,true,,stop,stop,106980,1224,,qwen
gen-1773316192-3g3EnS6VdiAI5jKNsUZv,2026-03-12 11:49:52.246,0.007957,,,0,0,2109,4889,4627,0,qwen/qwen3.5-27b-20260224,Alibaba,standard,false,true,,stop,stop,60056,1232,,qwen
gen-1773316191-3jCUVAYelCSPXwNScZJT,2026-03-12 11:49:51.963,0.011877,,,0,0,2350,4705,4424,0,qwen/qwen3.5-27b-20260224,Novita,standard,false,true,,stop,stop,59031,3929,,qwen
gen-1773316191-BmHQLDjiu8XviJCDAhCr,2026-03-12 11:49:51.946,0.015384,,,0,0,1407,6299,5943,0,qwen/qwen3.5-27b-20260224,Novita,standard,false,true,,stop,stop,99727,1000,,qwen
gen-1773316191-GDcdP2VXp0KYV6mmW2Hl,2026-03-12 11:49:51.517,0.009903,,,0,0,2234,6133,5786,0,qwen/qwen3.5-27b-20260224,Alibaba,standard,false,true,,stop,stop,74328,1381,,qwen
gen-1773316191-nh6ZwkmJkNbBQ472x1Vd,2026-03-12 11:49:51.245,0.009685,,,0,0,1977,6024,5708,0,qwen/qwen3.5-27b-20260224,Alibaba,standard,false,true,,stop,stop,77280,1068,,qwen
gen-1773316135-nrTNaDGbzYkJYoxZdnCO,2026-03-12 11:48:55.690,0.006483,,,0,0,2033,3944,3541,0,qwen/qwen3.5-27b-20260224,Alibaba,standard,false,true,,stop,stop,46266,1155,,qwen
gen-1773316127-NpdcspuGCmngP0r0Rnmj,2026-03-12 11:48:47.671,0.007728,,,0,0,1696,4792,4454,0,qwen/qwen3.5-27b-20260224,Alibaba,standard,false,true,,stop,stop,57510,1291,,qwen
gen-1773316106-tiky9Y4B4aiIUaadwB4k,2026-03-12 11:48:26.127,0.005085,,,0,0,1693,3081,2713,0,qwen/qwen3.5-27b-20260224,Alibaba,standard,false,true,,stop,stop,43303,650,,qwen
gen-1773316103-c8vCmoawcUHdVqnm1HPp,2026-03-12 11:48:23.815,0.00842,,,0,0,1680,3334,2684,0,qwen/qwen3.5-27b-20260224,Novita,standard,false,true,,stop,stop,55185,1073,,qwen
gen-1773316100-87nfIqmiokbciG8l7ccx,2026-03-12 11:48:20.950,0.005877,,,0,0,1703,3593,3170,0,qwen/qwen3.5-27b-20260224,Alibaba,standard,false,true,,stop,stop,40884,1224,,qwen
gen-1773316086-625KC8UlnblLUkxSx6Dq,2026-03-12 11:48:06.500,0.008137,,,0,0,2000,3175,2903,0,qwen/qwen3.5-27b-20260224,Novita,standard,false,true,,stop,stop,52958,1607,,qwen
gen-1773316037-xOSZCZXytt4Vt6XxsbNd,2026-03-12 11:47:17.474,0.001471,,,0,0,3130,297,0,0,qwen/qwen3.5-27b-20260224,AtlasCloud,standard,false,true,,stop,stop,7657,2520,,qwen
gen-1773316034-XB4LlAi8rCTizNdvbguh,2026-03-12 11:47:14.948,0.001095,,,0,0,2820,357,0,0,qwen/qwen3.5-27b-20260224,Alibaba,standard,false,true,,stop,stop,6082,1543,,qwen
gen-1773316033-9D9NEkpvGSjILN9x5uA0,2026-03-12 11:47:13.868,0.001178,,,0,0,2817,199,0,0,qwen/qwen3.5-27b-20260224,AtlasCloud,standard,false,true,,stop,stop,8333,3117,,qwen
gen-1773316033-dj1PjnMn522W7yIRW6Mt,2026-03-12 11:47:13.393,0.000876,,,0,0,2804,217,0,0,qwen/qwen3.5-27b-20260224,Alibaba,standard,false,true,,stop,stop,3927,1018,,qwen
gen-1773316033-v7i19bhHUxAyZ9YB6rY5,2026-03-12 11:47:13.077,0.000936,,,0,0,2827,253,0,0,qwen/qwen3.5-27b-20260224,Alibaba,standard,false,true,,stop,stop,4084,850,,qwen
gen-1773316031-aI7QTNtFaIihAC9uRvgD,2026-03-12 11:47:11.181,0.001299,,,0,0,3124,451,0,0,qwen/qwen3.5-27b-20260224,Alibaba,standard,false,true,,stop,stop,7349,904,,qwen
gen-1773316028-84Jn2zF1e3qkUfqMPKpB,2026-03-12 11:47:07.994,0.000794,,,0,0,2745,171,0,0,qwen/qwen3.5-27b-20260224,Alibaba,standard,false,true,,stop,stop,2785,788,,qwen
gen-1773316028-ihQngAjddcBtaYpuydnv,2026-03-12 11:47:07.986,0.001003,,,0,0,3008,274,0,0,qwen/qwen3.5-27b-20260224,Alibaba,standard,false,true,,stop,stop,5011,1192,,qwen
gen-1773316028-fRqQhVagrBECqZss7G7a,2026-03-12 11:47:07.921,0.000783,,,0,0,2738,165,0,0,qwen/qwen3.5-27b-20260224,Alibaba,standard,false,true,,stop,stop,5555,3489,,qwen
gen-1773316027-l8f1MAbFPK39ZmxCqRCi,2026-03-12 11:47:07.866,0.000928,,,0,0,2754,257,0,0,qwen/qwen3.5-27b-20260224,Alibaba,standard,false,true,,stop,stop,6975,3315,,qwen
