Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
none,plot,off,off,off,0.006947,0.253297,0.216858,0.059049,0.10728,37.657257
bart,plot,off,off,off,0.016813,0.173878,0.372093,0.089494,0.182171,25.0585
bert,plot,off,off,off,0.009922,0.29548,0.437564,0.08273,0.167183,31.106287
t5,plot,off,off,off,0.005699,0.149022,0.333333,0.075314,0.183333,37.110696
longformer_ext,plot,off,off,off,0.015655,0.241133,0.415869,0.090535,0.180575,14.553863
none,table,off,off,off,0.005016,0.215941,0.155163,0.051381,0.077858,34.486473
bart,table,off,off,off,0.023409,0.20893,0.388013,0.079114,0.173502,15.984319
bert,table,off,off,off,0.009206,0.252697,0.310266,0.063976,0.138403,22.609972
t5,table,off,off,off,0.014148,0.184215,0.365217,0.073298,0.177391,40.020649
longformer_ext,table,off,off,off,0.009585,0.232338,0.392547,0.067248,0.168944,24.141471
none,plot+table,off,off,off,0.007519,0.234417,0.203615,0.062016,0.092955,42.777583
bart,plot+table,off,off,off,0.018691,0.171956,0.346225,0.096118,0.173112,29.505642
bert,plot+table,off,off,off,0.015663,0.276371,0.394394,0.084253,0.152152,30.565957
t5,plot+table,off,off,off,0.012535,0.188121,0.366906,0.083032,0.169065,37.182479
longformer_ext,plot+table,off,off,off,0.015794,0.211834,0.399425,0.07781,0.183908,13.555083
none,plot,on,off,off,0.012035,0.250436,0.228618,0.060905,0.103618,44.018909
bart,plot,on,off,off,0.031034,0.225294,0.430427,0.089385,0.19295,30.448
bert,plot,on,off,off,0.015485,0.304147,0.438525,0.094456,0.165984,25.782885
t5,plot,on,off,off,0.004188,0.109877,0.282561,0.026608,0.12362,38.615652
longformer_ext,plot,on,off,off,0.033432,0.2571,0.427236,0.085676,0.173565,20.175102
none,table,on,off,off,0.00425,0.188324,0.142893,0.040847,0.067712,38.759364
bart,table,on,off,off,0.019608,0.206936,0.417722,0.07619,0.161392,29.05875
bert,table,on,off,off,0.007906,0.248367,0.300635,0.056537,0.127029,16.653333
t5,table,on,off,off,0.013564,0.164346,0.341625,0.056572,0.15257,44.901403
longformer_ext,table,on,off,off,0.013027,0.22767,0.36758,0.059497,0.139269,38.472201
none,plot+table,on,off,off,0.008315,0.212212,0.168675,0.048221,0.076991,42.232965
bart,plot+table,on,off,off,0.022096,0.168797,0.396396,0.083183,0.169369,16.973267
bert,plot+table,on,off,off,0.01668,0.27036,0.321278,0.072452,0.144659,22.119945
t5,plot+table,on,off,off,0.011416,0.150155,0.352087,0.043716,0.137931,46.358471
longformer_ext,plot+table,on,off,off,0.020179,0.209557,0.371968,0.056757,0.142857,37.092452
none,plot,off,on,off,0.006787,0.250378,0.211148,0.059106,0.099668,31.224839
bart,plot,off,on,off,0.00719,0.168752,0.365422,0.071006,0.165029,25.339375
bert,plot,off,on,off,0.00981,0.260247,0.386572,0.087666,0.162767,22.549474
t5,plot,off,on,off,0.006849,0.173407,0.345098,0.066929,0.160784,21.361627
longformer_ext,plot,off,on,off,0.013165,0.218139,0.360053,0.065876,0.165572,20.649877
none,table,off,on,off,0.004375,0.205626,0.145689,0.046871,0.071557,31.732938
bart,table,off,on,off,0.022239,0.199735,0.4,0.085526,0.167213,22.203114
bert,table,off,on,off,0.008961,0.257603,0.317337,0.060465,0.117647,13.937084
t5,table,off,on,off,0.007737,0.154963,0.347015,0.059925,0.156716,31.381538
longformer_ext,table,off,on,off,0.007971,0.222817,0.305122,0.064732,0.146993,26.071629
none,plot+table,off,on,off,0.007411,0.239434,0.194862,0.052087,0.088088,32.952598
bart,plot+table,off,on,off,0.010077,0.200808,0.420863,0.083032,0.190647,28.54743
bert,plot+table,off,on,off,0.014913,0.264175,0.377033,0.080537,0.147368,19.940166
t5,plot+table,off,on,off,0.012881,0.194158,0.408163,0.074488,0.19295,30.600205
longformer_ext,plot+table,off,on,off,0.014612,0.230655,0.366158,0.058414,0.147018,21.397648
none,plot,off,off,on,0.006991,0.233423,0.188312,0.053931,0.088961,29.527717
bart,plot,off,off,on,0.018524,0.222273,0.408163,0.102389,0.193878,25.560569
bert,plot,off,off,on,0.006599,0.247621,0.351731,0.071228,0.14406,17.314848
t5,plot,off,off,on,0.013032,0.159199,0.342412,0.078125,0.18677,31.434889
longformer_ext,plot,off,off,on,0.014009,0.213562,0.36612,0.071233,0.174863,4.120691
none,table,off,off,on,0.004244,0.212933,0.150521,0.042731,0.071875,32.682336
bart,table,off,off,on,0.010755,0.213603,0.380165,0.076285,0.161983,18.677448
bert,table,off,off,on,0.009715,0.248794,0.314088,0.069391,0.12933,15.747365
t5,table,off,off,on,0.015331,0.198128,0.367776,0.080844,0.185639,18.393406
longformer_ext,table,off,off,on,0.013353,0.261587,0.362851,0.075758,0.161987,29.444515
none,plot+table,off,off,on,0.005854,0.222779,0.169551,0.050484,0.083309,33.700942
bart,plot+table,off,off,on,0.029555,0.197691,0.407346,0.093802,0.200334,26.173663
bert,plot+table,off,off,on,0.01381,0.282568,0.363336,0.081059,0.151941,18.079783
t5,plot+table,off,off,on,0.020389,0.194276,0.378092,0.106383,0.187279,42.65206
longformer_ext,plot+table,off,off,on,0.013151,0.229682,0.367847,0.060109,0.174387,34.327427
none,plot,on,off,on,0.008836,0.219433,0.169213,0.051734,0.081081,35.360567
bart,plot,on,off,on,0.038548,0.212915,0.427184,0.087662,0.171521,30.261295
bert,plot,on,off,on,0.012554,0.273548,0.367647,0.086743,0.147059,12.719389
t5,plot,on,off,on,0.015991,0.155756,0.375,0.070588,0.160156,32.152184
longformer_ext,plot,on,off,on,0.012985,0.165594,0.337143,0.048711,0.12,16.670882
none,table,on,off,on,0.004102,0.185644,0.13478,0.03879,0.062774,31.584237
bart,table,on,off,on,0.019276,0.204758,0.409375,0.056426,0.165625,29.489799
bert,table,on,off,on,0.007622,0.250972,0.282401,0.057377,0.11869,12.775
t5,table,on,off,on,0.013655,0.165839,0.339315,0.032733,0.153344,31.541078
longformer_ext,table,on,off,on,0.011618,0.228536,0.3361,0.047817,0.13278,16.581456
none,plot+table,on,off,on,0.006349,0.234295,0.170725,0.048723,0.078029,34.293252
bart,plot+table,on,off,on,0.013973,0.191469,0.427536,0.087273,0.166667,27.627641
bert,plot+table,on,off,on,0.012559,0.280098,0.353039,0.073394,0.136553,13.262634
t5,plot+table,on,off,on,0.023714,0.193704,0.402174,0.087273,0.177536,33.71081
longformer_ext,plot+table,on,off,on,0.016149,0.219553,0.379679,0.058981,0.160428,16.272705
none,plot,on,on,off,0.009944,0.226225,0.196503,0.055983,0.092308,37.297417
bart,plot,on,on,off,0.017734,0.187941,0.381125,0.080146,0.163339,27.959595
bert,plot,on,on,off,0.020037,0.274672,0.411163,0.091333,0.154419,20.572202
t5,plot,on,on,off,0.012706,0.179936,0.423892,0.065764,0.157996,43.585909
longformer_ext,plot,on,on,off,0.020511,0.192925,0.373293,0.070015,0.182094,10.872149
none,table,on,on,off,0.004039,0.185972,0.12684,0.035946,0.060606,31.828394
bart,table,on,on,off,0.019524,0.214443,0.372159,0.065527,0.164773,26.205215
bert,table,on,on,off,0.00543,0.247222,0.267788,0.045337,0.109961,14.962191
t5,table,on,on,off,0.011847,0.175287,0.367067,0.034423,0.147513,34.162806
longformer_ext,table,on,on,off,0.013167,0.242711,0.391061,0.06047,0.149721,35.700131
none,plot+table,on,on,off,0.007392,0.21624,0.180586,0.05057,0.078891,33.685718
bart,plot+table,on,on,off,0.017712,0.187768,0.416382,0.071918,0.16041,26.89232
bert,plot+table,on,on,off,0.015335,0.266556,0.343186,0.069079,0.142857,3.929147
t5,plot+table,on,on,off,0.009047,0.136766,0.325581,0.038911,0.155039,20.625432
longformer_ext,plot+table,on,on,off,0.016089,0.192424,0.373444,0.061026,0.141079,30.485864
none,plot,off,on,on,0.008941,0.236355,0.175223,0.054137,0.090378,30.899606
bart,plot,off,on,on,0.014312,0.189719,0.402116,0.088496,0.176367,23.893753
bert,plot,off,on,on,0.014166,0.269086,0.359019,0.080702,0.150613,22.121866
t5,plot,off,on,on,0.020932,0.218271,0.432727,0.113139,0.178182,34.012423
longformer_ext,plot,off,on,on,0.022098,0.241471,0.410995,0.089239,0.175393,20.299312
none,table,off,on,on,0.004073,0.206648,0.143029,0.038545,0.070792,29.866856
bart,table,off,on,on,0.017263,0.21107,0.373457,0.083591,0.17284,17.108824
bert,table,off,on,on,0.006364,0.268891,0.308989,0.053446,0.122191,16.72658
t5,table,off,on,on,0.01189,0.211067,0.378717,0.072214,0.169014,24.99669
longformer_ext,table,off,on,on,0.012284,0.244977,0.359447,0.064665,0.156682,-0.040079
none,plot+table,off,on,on,0.00741,0.230348,0.166238,0.049728,0.075978,26.682389
bart,plot+table,off,on,on,0.015529,0.21668,0.437177,0.082902,0.182444,29.156872
bert,plot+table,off,on,on,0.01168,0.28223,0.363636,0.066225,0.128926,18.855201
t5,plot+table,off,on,on,0.021026,0.193393,0.382403,0.078098,0.169205,24.244825
longformer_ext,plot+table,off,on,on,0.016754,0.112588,0.226528,0.029895,0.09538,-10.332589
none,plot,on,on,on,0.009726,0.226253,0.173836,0.054245,0.083677,31.819134
bart,plot,on,on,on,0.034223,0.220409,0.438625,0.08867,0.180033,31.970418
bert,plot,on,on,on,0.019907,0.291401,0.357616,0.086235,0.135762,13.779002
t5,plot,on,on,on,0.011356,0.153109,0.36965,0.046875,0.163424,32.300934
longformer_ext,plot,on,on,on,0.017969,0.247824,0.434548,0.073072,0.164642,24.295845
none,table,on,on,on,0.003996,0.185573,0.129706,0.040061,0.061371,28.377852
bart,table,on,on,on,0.019561,0.223186,0.424699,0.07855,0.168675,17.790518
bert,table,on,on,on,0.007899,0.258635,0.285342,0.056099,0.109446,11.348891
t5,table,on,on,on,0.019753,0.187475,0.403279,0.059211,0.157377,21.59198
longformer_ext,table,on,on,on,0.014479,0.235341,0.399519,0.055489,0.146811,21.582963
none,plot+table,on,on,on,0.005011,0.208357,0.156159,0.044339,0.069111,31.883015
bart,plot+table,on,on,on,0.021179,0.212716,0.4096,0.070626,0.1632,18.767838
bert,plot+table,on,on,on,0.012626,0.277634,0.326967,0.073451,0.128342,13.506227
t5,plot+table,on,on,on,0.011521,0.157443,0.35524,0.039216,0.145648,30.645135
longformer_ext,plot+table,on,on,on,0.014475,0.267083,0.397927,0.068536,0.140933,26.655478
none,plot,off,off,off,0.006336,0.264084,0.223932,0.06315,0.100808,38.144518
bart,plot,off,off,off,0.009822,0.160777,0.361446,0.076613,0.176707,22.493326
bert,plot,off,off,off,0.012412,0.280849,0.447451,0.10219,0.17898,30.434322
t5,plot,off,off,off,0.005633,0.158219,0.360996,0.075,0.170124,26.415
longformer_ext,plot,off,off,off,0.00989,0.225991,0.370757,0.068063,0.169713,19.243369
none,table,off,off,off,0.005512,0.217029,0.151939,0.049617,0.073859,35.208799
bart,table,off,off,off,0.020072,0.177428,0.35503,0.04451,0.136095,19.631786
bert,table,off,off,off,0.009236,0.26485,0.302521,0.064269,0.13751,19.05641
t5,table,off,off,off,0.009647,0.190106,0.401361,0.061433,0.173469,26.156204
longformer_ext,table,off,off,off,0.018038,0.211095,0.327645,0.054732,0.129693,27.800862
none,plot+table,off,off,off,0.007416,0.238499,0.210565,0.053974,0.10048,42.909995
bart,plot+table,off,off,off,0.013063,0.172988,0.316522,0.059337,0.166957,38.471693
bert,plot+table,off,off,off,0.014345,0.268801,0.400411,0.084362,0.162218,26.300708
t5,plot+table,off,off,off,0.012461,0.184786,0.386617,0.08209,0.174721,41.449381
longformer_ext,plot+table,off,off,off,0.015145,0.223307,0.388966,0.080221,0.182069,26.142959
none,plot,on,off,off,0.008715,0.246642,0.21863,0.053929,0.102386,43.609187
bart,plot,on,off,off,0.015019,0.204699,0.452611,0.085437,0.174081,21.469124
bert,plot,on,off,off,0.013903,0.30067,0.424671,0.087133,0.165824,21.322888
t5,plot,on,off,off,0.005577,0.123004,0.334783,0.043668,0.152174,40.054836
longformer_ext,plot,on,off,off,0.015884,0.20405,0.423704,0.056464,0.171852,28.965471
none,table,on,off,off,0.003613,0.189566,0.134113,0.034669,0.062106,35.910943
bart,table,on,off,off,0.01717,0.198873,0.397101,0.049419,0.156522,22.314001
bert,table,on,off,off,0.0072,0.254197,0.287173,0.053674,0.11104,10.490843
t5,table,on,off,off,0.012152,0.161654,0.362676,0.04947,0.151408,39.749142
longformer_ext,table,on,off,off,0.016638,0.209115,0.36253,0.056098,0.155718,31.128385
none,plot+table,on,off,off,0.006671,0.224767,0.183739,0.049327,0.081946,40.59379
bart,plot+table,on,off,off,0.018421,0.199405,0.42404,0.083752,0.160267,29.090632
bert,plot+table,on,off,off,0.015857,0.261395,0.354521,0.064574,0.137869,22.918167
t5,plot+table,on,off,off,0.008929,0.140584,0.346457,0.039526,0.141732,33.3352
longformer_ext,plot+table,on,off,off,0.010397,0.181375,0.386707,0.051515,0.141994,38.536765
none,plot,off,on,off,0.009075,0.248186,0.216258,0.061397,0.10046,31.796648
bart,plot,off,on,off,0.012563,0.142837,0.318898,0.083004,0.161417,3.557804
bert,plot,off,on,off,0.012687,0.255415,0.383023,0.072614,0.149068,24.079965
t5,plot,off,on,off,0.00798,0.157605,0.322581,0.064762,0.166983,26.203
longformer_ext,plot,off,on,off,0.017803,0.249868,0.42649,0.10093,0.177483,26.749283
none,table,off,on,off,0.003594,0.196501,0.141312,0.041356,0.067772,29.627206
bart,table,off,on,off,0.016289,0.205546,0.425727,0.070661,0.177642,26.948156
bert,table,off,on,off,0.006423,0.251674,0.293128,0.067416,0.124825,15.337952
t5,table,off,on,off,0.010723,0.191813,0.38861,0.070588,0.174204,24.80679
longformer_ext,table,off,on,off,0.007521,0.244889,0.375924,0.067725,0.156283,5.830558
none,plot+table,off,on,off,0.007087,0.227839,0.178857,0.05433,0.084318,30.703985
bart,plot+table,off,on,off,0.019362,0.166861,0.358696,0.08,0.166667,8.866204
bert,plot+table,off,on,off,0.010094,0.276633,0.384191,0.066298,0.141544,19.766745
t5,plot+table,off,on,off,0.015661,0.212867,0.447099,0.099315,0.187713,26.207973
longformer_ext,plot+table,off,on,off,0.018773,0.199971,0.354167,0.080597,0.166667,9.12947
none,plot,off,off,on,0.010422,0.247028,0.18843,0.056897,0.092562,33.480918
bart,plot,off,off,on,0.019066,0.224711,0.441781,0.116838,0.184932,23.788487
bert,plot,off,off,on,0.01508,0.298774,0.391421,0.094897,0.153709,18.283336
t5,plot,off,off,on,0.016503,0.212909,0.41651,0.116761,0.198874,35.387299
longformer_ext,plot,off,off,on,0.009793,0.229047,0.372523,0.060927,0.153236,19.344446
none,table,off,off,on,0.005628,0.198798,0.1436,0.045578,0.070314,29.244648
bart,table,off,off,on,0.012821,0.224817,0.43299,0.091581,0.17673,16.315074
bert,table,off,off,on,0.011811,0.263453,0.330816,0.055976,0.138973,11.851591
t5,table,off,off,on,0.023379,0.229308,0.429054,0.094915,0.185811,35.560522
longformer_ext,table,off,off,on,0.012281,0.239866,0.385064,0.074854,0.165694,18.084174
none,plot+table,off,off,on,0.007039,0.244413,0.179277,0.051687,0.087511,28.359479
