Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Example,0.00001453,0.04558192,0.02654529,0.01088288,0.00424507,1.94591497
Evidence,0.03190590,0.02028056,0.00385628,0.18569508,0.06066556,1.11629555
Evidence_AND_Example,0.04349468,0.07170481,0.03381683,0.20869799,0.06952364,3.27104946
Evidence_AND_Insights,0.03291734,0.02583303,0.00622912,0.20603692,0.07260140,3.69962889
Evidence_AND_Role,0.07966222,0.03146702,0.02616853,0.39885692,0.14219362,1.90042116
Insights,0.00017018,0.00394817,0.00063993,0.01430208,0.00991821,2.24549561
Insights_AND_Example,0.00325815,0.05090978,0.02810638,0.02520442,0.01433731,4.33273149
Role,0.04574140,0.01024249,0.01986011,0.20593028,0.07668126,0.63135789
Role_AND_Example,0.04650915,0.05583958,0.04640638,0.21694376,0.08096461,2.57762947
Role_AND_Insights,0.04608377,0.01423882,0.02062139,0.22024476,0.08685420,2.89810134
Summarizer,19.82610355,19.90418061,19.90645758,19.50902554,19.77051127,13.48345758
Summarizer_AND_Example,19.83056204,19.97478303,19.94044298,19.52903481,19.79886733,15.78527928
Summarizer_AND_Evidence,20.23490604,19.95515124,20.09696985,19.97060754,20.13150610,15.61811691
Summarizer_AND_Insights,19.82876475,19.91279351,19.91527880,19.54312885,19.79898651,15.90053283
Summarizer_AND_Role,19.94990629,19.92304541,19.92860056,19.75540818,19.88214393,14.59398757
