Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Example,0.00138319,0.17538018,0.26658014,0.06763825,0.01232761,1.71960528
Evidence,0.14497641,0.05592148,0.11922399,2.46837209,1.25205448,0.81916773
Evidence_AND_Example,0.17237504,0.23833792,0.41224971,2.65012940,1.36376521,2.70071373
Evidence_AND_Insights,0.17486421,0.06727557,0.15453520,2.75667430,2.05311142,3.41961100
Evidence_AND_Role,1.13374093,0.22197024,0.49987608,5.31343100,4.25055312,1.15348673
Insights,0.00575068,0.00083879,0.01581551,0.23644814,0.78703555,2.21726712
Insights_AND_Example,0.00818163,0.17639760,0.28464664,0.30408796,0.80106398,4.06946978
Role,0.79456827,0.14461373,0.29733001,2.55022964,2.83415672,0.19550158
Role_AND_Example,0.80396997,0.32036535,0.56393371,2.62545761,2.87915519,1.92167653
Role_AND_Insights,0.80032905,0.14642955,0.31797220,2.78743755,3.63018580,2.45536562
Summarizer,18.35634463,19.56788862,18.90748237,14.17553488,13.97681094,14.45755259
Summarizer_AND_Example,19.15178236,19.80540135,19.58131904,14.73009893,15.43700643,16.51418426
Summarizer_AND_Evidence,20.56924427,19.71613324,20.20575063,17.56651275,17.90621193,16.44838051
Summarizer_AND_Insights,18.60472453,19.60781087,19.13751147,14.62925706,15.29274607,16.84986528
Summarizer_AND_Role,19.27776484,19.75523551,19.23577330,17.13869044,17.52381556,15.05815226
