Summarizer,Evidence,Role,Insights,Example,BLEU,METEOR,R-1,R-2,R-L,Reading ease
bart,plot,off,off,off,0.016813,0.173878,0.372093,0.089494,0.182171,25.0585
bert,plot,off,off,off,0.009922,0.29548,0.437564,0.08273,0.167183,31.106287
longformer_ext,plot,off,off,off,0.015655,0.241133,0.415869,0.090535,0.180575,14.553863
t5,plot,off,off,off,0.005699,0.149022,0.333333,0.075314,0.183333,37.110696
bart,plot,off,off,off,0.012449,0.146077,0.349727,0.09872,0.174863,28.452177
bert,plot,off,off,off,0.03931,0.311616,0.515847,0.159912,0.214208,32.757753
longformer_ext,plot,off,off,off,0.043859,0.25662,0.471033,0.136364,0.188917,25.654444
t5,plot,off,off,off,0.007439,0.147491,0.364964,0.095238,0.193431,40.349283
bart,plot,off,off,off,0.012049,0.128967,0.364706,0.136792,0.188235,56.09558
bert,plot,off,off,off,0.052324,0.261234,0.563725,0.160393,0.212418,37.230228
longformer_ext,plot,off,off,off,0.048489,0.201126,0.465116,0.152842,0.186047,57.647439
t5,plot,off,off,off,0.003069,0.087282,0.256345,0.117048,0.149746,59.4643
bart,table,off,off,off,0.023409,0.20893,0.388013,0.079114,0.173502,15.984319
bert,table,off,off,off,0.009206,0.252697,0.310266,0.063976,0.138403,22.609972
longformer_ext,table,off,off,off,0.009585,0.232338,0.392547,0.067248,0.168944,24.141471
t5,table,off,off,off,0.014148,0.184215,0.365217,0.073298,0.177391,40.020649
bart,table,off,off,off,0.011588,0.164038,0.388158,0.079208,0.190789,23.193398
bert,table,off,off,off,0.026477,0.26297,0.39196,0.105705,0.164154,25.28611
longformer_ext,table,off,off,off,0.018708,0.231257,0.42928,0.08209,0.17866,28.222011
t5,table,off,off,off,0.013258,0.15378,0.329372,0.061329,0.156197,31.691813
bart,table,off,off,off,0.016897,0.154838,0.403135,0.150393,0.212766,50.809563
bert,table,off,off,off,0.073188,0.304095,0.567797,0.182461,0.224576,18.222012
longformer_ext,table,off,off,off,0.045092,0.200087,0.441261,0.137799,0.192932,47.743913
t5,table,off,off,off,0.004564,0.101467,0.26538,0.072551,0.149578,64.888567
bart,plot+table,off,off,off,0.018691,0.171956,0.346225,0.096118,0.173112,29.505642
bert,plot+table,off,off,off,0.015663,0.276371,0.394394,0.084253,0.152152,30.565957
longformer_ext,plot+table,off,off,off,0.015794,0.211834,0.399425,0.07781,0.183908,13.555083
t5,plot+table,off,off,off,0.012535,0.188121,0.366906,0.083032,0.169065,37.182479
bart,plot+table,off,off,off,0.011906,0.153922,0.331492,0.099815,0.173112,24.509728
bert,plot+table,off,off,off,0.023765,0.276094,0.477273,0.126294,0.198347,37.067814
