Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Example,0.03056266,0.18058061,0.25726794,0.11269084,0.01897881,1.72781601
Evidence,0.32328514,0.01723332,0.64984846,3.62547645,1.84973618,0.95502388
Evidence_AND_Example,0.55177350,0.19936529,0.93114369,3.88485909,2.03701055,2.88236249
Evidence_AND_Insights,0.36833986,0.02826035,0.70449281,3.93580738,2.92750132,3.50232352
Evidence_AND_Role,0.84007037,0.36268567,1.60846366,7.18621687,8.58618893,1.77800176
Insights,0.00294258,0.00072341,0.02360699,0.29271221,1.06387632,2.15829053
Insights_AND_Example,0.03352565,0.18199129,0.29921214,0.42150769,1.08579140,4.02578156
Role,0.13512871,0.31300466,0.73783472,3.09673888,6.44364152,0.65134933
Role_AND_Example,0.17068473,0.49382467,1.00012863,3.22861869,6.48667782,2.37974857
Role_AND_Insights,0.13809853,0.31686675,0.78465287,3.39923669,7.51041345,2.84629402
Summarizer,18.58385565,19.39625138,17.53363141,12.12790168,8.83424914,13.82037450
Summarizer_AND_Example,19.77665188,19.68104270,18.70651787,13.25307984,11.66837960,15.94989201
Summarizer_AND_Evidence,21.33393377,19.57819667,20.42418584,17.16003108,14.13848789,16.04111973
Summarizer_AND_Insights,18.79064519,19.44661466,17.87131428,12.60337391,10.40927688,16.18233172
Summarizer_AND_Role,18.92050179,19.80335859,18.46769868,15.67174870,16.93979019,15.09929037
