Reference family,Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
author,Example,0.03056266,0.18058061,0.25726794,0.11269084,0.01897881,1.72781601
author,Evidence,0.32328514,0.01723332,0.64984846,3.62547645,1.84973618,0.95502388
author,Evidence_AND_Example,0.55177350,0.19936529,0.93114369,3.88485909,2.03701055,2.88236249
author,Evidence_AND_Insights,0.36833986,0.02826035,0.70449281,3.93580738,2.92750132,3.50232352
author,Evidence_AND_Role,0.84007037,0.36268567,1.60846366,7.18621687,8.58618893,1.77800176
author,Insights,0.00294258,0.00072341,0.02360699,0.29271221,1.06387632,2.15829053
author,Insights_AND_Example,0.03352565,0.18199129,0.29921214,0.42150769,1.08579140,4.02578156
author,Role,0.13512871,0.31300466,0.73783472,3.09673888,6.44364152,0.65134933
author,Role_AND_Example,0.17068473,0.49382467,1.00012863,3.22861869,6.48667782,2.37974857
author,Role_AND_Insights,0.13809853,0.31686675,0.78465287,3.39923669,7.51041345,2.84629402
author,Summarizer,18.58385565,19.39625138,17.53363141,12.12790168,8.83424914,13.82037450
author,Summarizer_AND_Example,19.77665188,19.68104270,18.70651787,13.25307984,11.66837960,15.94989201
author,Summarizer_AND_Evidence,21.33393377,19.57819667,20.42418584,17.16003108,14.13848789,16.04111973
author,Summarizer_AND_Insights,18.79064519,19.44661466,17.87131428,12.60337391,10.40927688,16.18233172
author,Summarizer_AND_Role,18.92050179,19.80335859,18.46769868,15.67174870,16.93979019,15.09929037
gpt5.2_long,Example,0.10703127,17.00992821,0.14322421,0.01038863,0.34738130,8.85572657
gpt5.2_long,Evidence,18.65129738,0.75826962,23.50288248,19.88534565,23.19423349,5.75540512
gpt5.2_long,Evidence_AND_Example,20.25320694,20.63785988,24.05380441,20.59010680,24.34217096,15.38224640
gpt5.2_long,Evidence_AND_Insights,18.81233845,3.02170138,24.32882537,20.45147434,24.31996798,14.50372653
gpt5.2_long,Evidence_AND_Role,24.51471867,4.98210234,24.07000871,24.42629818,23.64997119,7.92756900
gpt5.2_long,Insights,0.02265070,1.87237138,0.71022868,0.41450895,1.03976930,8.04180476
gpt5.2_long,Insights_AND_Example,0.77699850,20.14414665,1.11910720,0.49226364,1.39030719,17.35814922
gpt5.2_long,Role,5.44883864,4.19615711,0.32476868,4.42779627,0.09412858,1.75895850
gpt5.2_long,Role_AND_Example,5.92775460,21.26615572,0.69727666,4.45938049,0.47000908,10.61468508
gpt5.2_long,Role_AND_Insights,5.48516485,6.11130771,1.04987361,4.84243706,1.15206093,9.80172882
gpt5.2_long,Summarizer,,,,,,
gpt5.2_long,Summarizer_AND_Example,,,,,,
gpt5.2_long,Summarizer_AND_Evidence,,,,,,
gpt5.2_long,Summarizer_AND_Insights,,,,,,
gpt5.2_long,Summarizer_AND_Role,,,,,,
gpt5.2_short,Example,0.00635736,0.20285154,0.34838950,0.07382598,0.11369624,1.72781601
gpt5.2_short,Evidence,0.05567745,0.07379489,0.08033838,1.44874897,1.02829653,0.95502388
gpt5.2_short,Evidence_AND_Example,0.11875882,0.29465126,0.45588461,1.81087744,1.31612477,2.88236249
gpt5.2_short,Evidence_AND_Insights,0.09877875,0.09694456,0.10158952,1.54827526,1.25836419,3.50232352
gpt5.2_short,Evidence_AND_Role,1.38716223,0.25184531,0.48809527,4.17758579,2.81598913,1.77800176
gpt5.2_short,Insights,0.00179777,0.00990334,0.00003458,0.02290726,0.20866700,2.15829053
gpt5.2_short,Insights_AND_Example,0.00965538,0.21423373,0.34924381,0.09690544,0.32532174,4.02578156
gpt5.2_short,Role,1.25021775,0.16558348,0.36576747,2.57392534,1.72141868,0.65134933
gpt5.2_short,Role_AND_Example,1.27198691,0.37082605,0.71473923,2.64837628,1.84135365,2.37974857
gpt5.2_short,Role_AND_Insights,1.25204446,0.17781119,0.37988993,2.62820035,1.93018028,2.84629402
gpt5.2_short,Summarizer,18.16408813,19.49370829,18.92196831,15.55954950,16.24620922,13.82037450
gpt5.2_short,Summarizer_AND_Example,18.72023811,19.73921746,19.51092454,15.74902116,17.02840020,15.94989201
gpt5.2_short,Summarizer_AND_Evidence,19.71051170,19.65699940,19.90097632,17.39761369,18.95807797,16.04111973
gpt5.2_short,Summarizer_AND_Insights,18.25885834,19.53602741,19.08122825,15.72562501,16.76536260,16.18233172
gpt5.2_short,Summarizer_AND_Role,19.69386684,19.71560210,19.30093028,18.53856252,18.44253781,15.09929037
modeler,Example,0.02908358,0.13065195,0.16029461,0.01120053,0.00037788,1.55463941
modeler,Evidence,0.26170580,0.12726271,0.00003595,2.65555028,0.40538726,0.48430152
modeler,Evidence_AND_Example,0.40768162,0.26772352,0.19266835,2.97418571,0.49423953,2.12185001
modeler,Evidence_AND_Insights,0.32761846,0.13959650,0.09085902,3.51343621,1.53509280,3.01314707
modeler,Evidence_AND_Role,1.86180717,0.16097050,0.08309792,4.38092223,0.95142219,0.88915692
modeler,Insights,0.05177641,0.00461755,0.07778970,0.76439260,1.10765448,2.19229675
modeler,Insights_AND_Example,0.10085928,0.13688512,0.23822476,0.81613973,1.12168528,3.85072250
modeler,Role,1.44928379,0.00766356,0.01986958,1.36466971,0.43709364,0.34066866
