Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Example,0.10703127,17.00992821,0.14322421,0.01038863,0.34738130,8.85572657
Evidence,18.65129738,0.75826962,23.50288248,19.88534565,23.19423349,5.75540512
Evidence_AND_Example,20.25320694,20.63785988,24.05380441,20.59010680,24.34217096,15.38224640
Evidence_AND_Insights,18.81233845,3.02170138,24.32882537,20.45147434,24.31996798,14.50372653
Evidence_AND_Role,24.51471867,4.98210234,24.07000871,24.42629818,23.64997119,7.92756900
Insights,0.02265070,1.87237138,0.71022868,0.41450895,1.03976930,8.04180476
Insights_AND_Example,0.77699850,20.14414665,1.11910720,0.49226364,1.39030719,17.35814922
Role,5.44883864,4.19615711,0.32476868,4.42779627,0.09412858,1.75895850
Role_AND_Example,5.92775460,21.26615572,0.69727666,4.45938049,0.47000908,10.61468508
Role_AND_Insights,5.48516485,6.11130771,1.04987361,4.84243706,1.15206093,9.80172882
Summarizer,,,,,,
Summarizer_AND_Example,,,,,,
Summarizer_AND_Evidence,,,,,,
Summarizer_AND_Insights,,,,,,
Summarizer_AND_Role,,,,,,
