Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Example,0.02908358,0.13065195,0.16029461,0.01120053,0.00037788,1.55463941
Evidence,0.26170580,0.12726271,0.00003595,2.65555028,0.40538726,0.48430152
Evidence_AND_Example,0.40768162,0.26772352,0.19266835,2.97418571,0.49423953,2.12185001
Evidence_AND_Insights,0.32761846,0.13959650,0.09085902,3.51343621,1.53509280,3.01314707
Evidence_AND_Role,1.86180717,0.16097050,0.08309792,4.38092223,0.95142219,0.88915692
Insights,0.05177641,0.00461755,0.07778970,0.76439260,1.10765448,2.19229675
Insights_AND_Example,0.10085928,0.13688512,0.23822476,0.81613973,1.12168528,3.85072250
Role,1.44928379,0.00766356,0.01986958,1.36466971,0.43709364,0.34066866
Role_AND_Example,1.48311723,0.13861742,0.18744058,1.38631901,0.52681721,1.95035968
Role_AND_Insights,1.50155153,0.01304947,0.10427812,2.18880117,1.61509320,2.59000053
Summarizer,17.40915394,19.69019314,19.44254108,14.37535807,17.15744111,15.02238715
Summarizer_AND_Example,18.13758219,19.86725668,19.87682990,14.95525113,17.94178685,16.74537282
Summarizer_AND_Evidence,20.01244532,19.87168882,20.26972189,18.42466322,19.67879414,16.37444817
Summarizer_AND_Insights,18.04370159,19.73221519,19.72569489,15.60550969,18.91940275,17.35221227
Summarizer_AND_Role,18.92263207,19.71160787,19.53065366,16.58360071,18.10771168,15.51843654
